Localidade;Ano;PopulacaoEstimada0-4;PopulacaoEstimada5-9;PopulacaoEstimada10-14;PopulacaoEstimada15-19;PopulacaoEstimada20-29;PopulacaoEstimada30-39;PopulacaoEstimada40-49;PopulacaoEstimada50-59;PopulacaoEstimada60-69;PopulacaoEstimada70-79;PopulacaoEstimada80
Campo Limpo de Goiás;2011;;;;;;;;;;;
Campo Limpo de Goiás;2012;;;;;;;;;;;
Campo Limpo de Goiás;2013;;;;;;;;;;;
Campo Limpo de Goiás;2014;;;;;;;;;;;
Campo Limpo de Goiás;2015;;;;;;;;;;;
Campo Limpo de Goiás;2016;;;;;;;;;;;
Campo Limpo de Goiás;2017;;;;;;;;;;;
Campo Limpo de Goiás;2018;;;;;;;;;;;
Campo Limpo de Goiás;2019;;;;;;;;;;;
Campos Belos;1992;;;;;;;;;;;
Campos Belos;1993;;;;;;;;;;;
Campos Belos;1994;;;;;;;;;;;
Campos Belos;1995;;;;;;;;;;;
Campos Belos;1997;;;;;;;;;;;
Campos Belos;1998;;;;;;;;;;;
Campos Belos;1999;;;;;;;;;;;
Campos Belos;2001;1747;1948;2249;2252;2966;2317;1642;1032;665;380;119
Campos Belos;2002;1768;1971;2278;2279;3003;2346;1662;1045;672;384;120
Campos Belos;2003;1792;1998;2307;2309;3041;2376;1684;1058;681;389;122
Campos Belos;2004;1813;2023;2336;2339;3080;2405;1705;1072;690;394;123
Campos Belos;2005;1866;2080;2401;2404;3167;2474;1752;1102;709;406;127
Campos Belos;2006;1892;2110;2435;2437;3212;2508;1777;1117;720;411;129
Campos Belos;2008;1902;1913;1799;1901;3830;2579;2101;1377;873;485;224
Campos Belos;2009;1864;1965;1774;1841;3868;2644;2139;1435;900;502;236
Campos Belos;2011;;;;;;;;;;;
Campos Belos;2012;;;;;;;;;;;
Campos Belos;2013;;;;;;;;;;;
Campos Belos;2014;;;;;;;;;;;
Campos Belos;2015;;;;;;;;;;;
Campos Belos;2016;;;;;;;;;;;
Campos Belos;2017;;;;;;;;;;;
Campos Belos;2018;;;;;;;;;;;
Campos Belos;2019;;;;;;;;;;;
Campos Verdes;1992;;;;;;;;;;;
Campos Verdes;1993;;;;;;;;;;;
Campos Verdes;1994;;;;;;;;;;;
Campos Verdes;1995;;;;;;;;;;;
Campos Verdes;1997;;;;;;;;;;;
Campos Verdes;1998;;;;;;;;;;;
Campos Verdes;1999;;;;;;;;;;;
Campos Verdes;2001;735;809;847;735;1176;1127;739;441;248;118;37
Campos Verdes;2002;654;721;755;655;1048;1005;659;392;221;105;33
Campos Verdes;2003;566;624;654;568;907;870;570;339;192;92;29
Campos Verdes;2004;478;528;552;479;768;736;483;287;162;77;24
Campos Verdes;2005;279;308;323;280;449;430;282;168;95;46;14
Campos Verdes;2006;178;197;206;179;286;274;180;107;61;29;9
Campos Verdes;2008;551;544;553;588;1036;822;828;603;451;221;84
Campos Verdes;2009;518;524;514;550;1007;782;808;606;467;231;92
Campos Verdes;2011;;;;;;;;;;;
Campos Verdes;2012;;;;;;;;;;;
Campos Verdes;2013;;;;;;;;;;;
Campos Verdes;2014;;;;;;;;;;;
Campos Verdes;2015;;;;;;;;;;;
Campos Verdes;2016;;;;;;;;;;;
Campos Verdes;2017;;;;;;;;;;;
Campos Verdes;2018;;;;;;;;;;;
Campos Verdes;2019;;;;;;;;;;;
Carmo do Rio Verde;1992;;;;;;;;;;;
Carmo do Rio Verde;1993;;;;;;;;;;;
Carmo do Rio Verde;1994;;;;;;;;;;;
Carmo do Rio Verde;1995;;;;;;;;;;;
Carmo do Rio Verde;1997;;;;;;;;;;;
Carmo do Rio Verde;1998;;;;;;;;;;;
Carmo do Rio Verde;1999;;;;;;;;;;;
Carmo do Rio Verde;2001;658;711;716;736;1324;1243;978;692;463;255;57
Carmo do Rio Verde;2002;658;711;716;736;1323;1242;977;691;463;255;57
Carmo do Rio Verde;2003;653;706;711;731;1315;1234;970;686;461;253;57
Carmo do Rio Verde;2004;651;701;706;725;1305;1226;964;682;457;251;56
Carmo do Rio Verde;2005;640;691;696;714;1286;1208;949;671;450;247;56
Carmo do Rio Verde;2006;635;686;691;709;1276;1198;942;666;447;245;55
Carmo do Rio Verde;2008;641;685;710;725;1487;1426;1374;1045;686;393;161
Carmo do Rio Verde;2009;623;690;697;723;1493;1443;1413;1096;719;411;174
Carmo do Rio Verde;2011;;;;;;;;;;;
Carmo do Rio Verde;2012;;;;;;;;;;;
Carmo do Rio Verde;2013;;;;;;;;;;;
Carmo do Rio Verde;2014;;;;;;;;;;;
Carmo do Rio Verde;2015;;;;;;;;;;;
Carmo do Rio Verde;2016;;;;;;;;;;;
Carmo do Rio Verde;2017;;;;;;;;;;;
Carmo do Rio Verde;2018;;;;;;;;;;;
Carmo do Rio Verde;2019;;;;;;;;;;;
Castelândia;1992;;;;;;;;;;;
Castelândia;1993;;;;;;;;;;;
Castelândia;1994;;;;;;;;;;;
Castelândia;1995;;;;;;;;;;;
Castelândia;1997;;;;;;;;;;;
Castelândia;1998;;;;;;;;;;;
Castelândia;1999;;;;;;;;;;;
Castelândia;2001;368;375;401;420;710;596;458;265;229;123;35
Castelândia;2002;374;380;407;427;722;607;466;268;234;125;35
Castelândia;2003;380;387;415;434;735;618;475;273;238;127;36
Castelândia;2004;386;395;424;444;749;629;483;278;242;130;37
Castelândia;2005;402;410;441;461;779;654;503;290;251;135;38
Castelândia;2006;410;419;448;470;795;667;512;296;256;137;39
Castelândia;2008;273;293;292;301;645;536;448;361;217;158;66
Castelândia;2009;258;287;282;290;632;536;448;364;220;167;71
Castelândia;2011;;;;;;;;;;;
Castelândia;2012;;;;;;;;;;;
Castelândia;2013;;;;;;;;;;;
Castelândia;2014;;;;;;;;;;;
Castelândia;2015;;;;;;;;;;;
Castelândia;2016;;;;;;;;;;;
Castelândia;2017;;;;;;;;;;;
Castelândia;2018;;;;;;;;;;;
Castelândia;2019;;;;;;;;;;;
Catalão;1992;;;;;;;;;;;
Catalão;1993;;;;;;;;;;;
Catalão;1994;;;;;;;;;;;
Catalão;1995;;;;;;;;;;;
Catalão;1997;;;;;;;;;;;
Catalão;1998;;;;;;;;;;;
Catalão;1999;;;;;;;;;;;
Catalão;2001;5197;5565;6169;6854;12221;10689;8329;5135;3228;1552;541
Catalão;2002;5272;5644;6257;6951;12396;10842;8447;5209;3274;1574;549
Catalão;2003;5347;5724;6346;7052;12574;10998;8570;5284;3321;1597;557
Catalão;2004;5429;5812;6445;7159;12767;11166;8701;5365;3372;1621;566
Catalão;2005;5601;5998;6648;7386;13172;11521;8977;5536;3478;1673;583
Catalão;2006;5689;6091;6753;7501;13379;11701;9118;5622;3533;1699;593
Catalão;2008;5509;5885;5961;6463;15115;13269;11224;8135;4570;2496;991
Catalão;2009;5391;5983;5936;6413;15145;13704;11531;8506;4821;2618;1064
Catalão;2011;;;;;;;;;;;
Catalão;2012;;;;;;;;;;;
Catalão;2013;;;;;;;;;;;
Catalão;2014;;;;;;;;;;;
Catalão;2015;;;;;;;;;;;
Catalão;2016;;;;;;;;;;;
Catalão;2017;;;;;;;;;;;
Catalão;2018;;;;;;;;;;;
Catalão;2019;;;;;;;;;;;
Caturaí;1992;;;;;;;;;;;
Caturaí;1993;;;;;;;;;;;
Caturaí;1994;;;;;;;;;;;
Caturaí;1995;;;;;;;;;;;
Caturaí;1997;;;;;;;;;;;
Caturaí;1998;;;;;;;;;;;
Caturaí;1999;;;;;;;;;;;
Caturaí;2001;357;415;448;437;771;714;504;333;242;93;27
Caturaí;2002;362;420;453;442;775;718;507;334;243;94;27
Caturaí;2003;362;420;453;443;779;721;509;336;244;94;27
Caturaí;2004;363;423;457;444;782;724;511;337;246;94;27
Caturaí;2005;367;427;460;449;790;731;517;340;248;96;28
Caturaí;2006;369;429;463;452;794;735;519;342;249;96;28
Caturaí;2008;336;352;380;412;840;733;667;462;258;153;46
Caturaí;2009;325;354;367;401;835;736;691;484;264;161;51
Caturaí;2011;;;;;;;;;;;
Caturaí;2012;;;;;;;;;;;
Caturaí;2013;;;;;;;;;;;
Caturaí;2014;;;;;;;;;;;
Caturaí;2015;;;;;;;;;;;
Caturaí;2016;;;;;;;;;;;
Caturaí;2017;;;;;;;;;;;
Caturaí;2018;;;;;;;;;;;
Caturaí;2019;;;;;;;;;;;
Cavalcante;1992;;;;;;;;;;;
Cavalcante;1993;;;;;;;;;;;
Cavalcante;1994;;;;;;;;;;;
Cavalcante;1995;;;;;;;;;;;
Cavalcante;1997;;;;;;;;;;;
Cavalcante;1998;;;;;;;;;;;
Cavalcante;1999;;;;;;;;;;;
Cavalcante;2001;1243;1279;1233;961;1262;1081;849;605;471;173;98
Cavalcante;2002;1258;1293;1246;970;1277;1093;860;611;477;174;99
Cavalcante;2003;1271;1306;1259;982;1289;1104;869;618;481;177;100
Cavalcante;2004;1285;1319;1272;990;1303;1116;877;625;486;179;101
Cavalcante;2005;1313;1350;1301;1015;1333;1142;897;638;498;182;104
Cavalcante;2006;1329;1366;1315;1025;1348;1155;907;646;503;185;105
Cavalcante;2008;1317;1162;1053;1016;1663;1176;1085;796;550;349;123
Cavalcante;2009;1299;1184;1027;991;1702;1201;1104;831;566;367;129
Cavalcante;2011;;;;;;;;;;;
Cavalcante;2012;;;;;;;;;;;
Cavalcante;2013;;;;;;;;;;;
Cavalcante;2014;;;;;;;;;;;
Cavalcante;2015;;;;;;;;;;;
Cavalcante;2016;;;;;;;;;;;
Cavalcante;2017;;;;;;;;;;;
Cavalcante;2018;;;;;;;;;;;
Cavalcante;2019;;;;;;;;;;;
Ceres;1992;;;;;;;;;;;
Ceres;1993;;;;;;;;;;;
Ceres;1994;;;;;;;;;;;
Ceres;1995;;;;;;;;;;;
Ceres;1997;;;;;;;;;;;
Ceres;1998;;;;;;;;;;;
Ceres;1999;;;;;;;;;;;
Ceres;2001;1529;1746;1882;1896;3348;3180;2433;1510;1035;556;174
Ceres;2002;1528;1745;1878;1891;3345;3176;2430;1508;1035;555;174
Ceres;2003;1523;1739;1873;1886;3335;3166;2423;1504;1032;554;173
Ceres;2004;1520;1733;1868;1881;3325;3157;2416;1499;1029;552;173
Ceres;2005;1510;1722;1855;1870;3302;3136;2400;1490;1022;549;172
Ceres;2006;1505;1716;1849;1863;3291;3125;2391;1484;1018;546;171
Ceres;2008;1278;1369;1501;1628;3373;2957;2823;1974;1212;695;304
Ceres;2009;1230;1356;1440;1587;3339;2961;2826;2052;1238;721;320
Ceres;2011;;;;;;;;;;;
Ceres;2012;;;;;;;;;;;
Ceres;2013;;;;;;;;;;;
Ceres;2014;;;;;;;;;;;
Ceres;2015;;;;;;;;;;;
Ceres;2016;;;;;;;;;;;
Ceres;2017;;;;;;;;;;;
Ceres;2018;;;;;;;;;;;
Ceres;2019;;;;;;;;;;;
Cezarina;1992;;;;;;;;;;;
Cezarina;1993;;;;;;;;;;;
Cezarina;1994;;;;;;;;;;;
Cezarina;1995;;;;;;;;;;;
Cezarina;1997;;;;;;;;;;;
Cezarina;1998;;;;;;;;;;;
Cezarina;1999;;;;;;;;;;;
Cezarina;2001;571;672;643;659;1203;1061;681;515;361;150;62
Cezarina;2002;580;682;653;669;1220;1077;690;522;366;152;63
Cezarina;2003;586;690;662;677;1234;1088;699;529;370;153;63
Cezarina;2004;592;698;669;685;1248;1100;706;535;374;155;64
Cezarina;2005;607;715;684;701;1280;1127;724;547;384;159;66
Cezarina;2006;616;723;693;710;1295;1142;733;554;389;161;66
Cezarina;2008;590;596;656;684;1365;1261;1043;667;475;276;102
Cezarina;2009;575;613;632;693;1368;1283;1084;688;498;292;106
Cezarina;2011;;;;;;;;;;;
Cezarina;2012;;;;;;;;;;;
Cezarina;2013;;;;;;;;;;;
Cezarina;2014;;;;;;;;;;;
Cezarina;2015;;;;;;;;;;;
Cezarina;2016;;;;;;;;;;;
Cezarina;2017;;;;;;;;;;;
Cezarina;2018;;;;;;;;;;;
Cezarina;2019;;;;;;;;;;;
Chapadão do Céu;1992;;;;;;;;;;;
Chapadão do Céu;1993;;;;;;;;;;;
Chapadão do Céu;1994;;;;;;;;;;;
Chapadão do Céu;1995;;;;;;;;;;;
Chapadão do Céu;1997;;;;;;;;;;;
Chapadão do Céu;1998;;;;;;;;;;;
Chapadão do Céu;1999;;;;;;;;;;;
Chapadão do Céu;2001;440;502;436;355;798;843;398;162;64;28;5
Chapadão do Céu;2002;460;525;457;371;835;882;417;170;67;29;6
Chapadão do Céu;2003;483;552;478;390;877;926;438;178;70;31;6
Chapadão do Céu;2004;505;575;502;408;917;969;457;186;74;32;6
Chapadão do Céu;2005;556;635;551;449;1009;1066;503;206;81;35;7
Chapadão do Céu;2006;583;665;577;471;1057;1116;527;214;85;37;7
Chapadão do Céu;2008;521;483;566;642;1111;1053;787;345;109;40;16
Chapadão do Céu;2009;528;495;549;666;1182;1065;832;371;118;40;17
Chapadão do Céu;2011;;;;;;;;;;;
Chapadão do Céu;2012;;;;;;;;;;;
Chapadão do Céu;2013;;;;;;;;;;;
Chapadão do Céu;2014;;;;;;;;;;;
Chapadão do Céu;2015;;;;;;;;;;;
Chapadão do Céu;2016;;;;;;;;;;;
Chapadão do Céu;2017;;;;;;;;;;;
Chapadão do Céu;2018;;;;;;;;;;;
Chapadão do Céu;2019;;;;;;;;;;;
Cidade Ocidental;1992;;;;;;;;;;;
Cidade Ocidental;1993;;;;;;;;;;;
Cidade Ocidental;1994;;;;;;;;;;;
Cidade Ocidental;1995;;;;;;;;;;;
Cidade Ocidental;1997;;;;;;;;;;;
Cidade Ocidental;1998;;;;;;;;;;;
Cidade Ocidental;1999;;;;;;;;;;;
Cidade Ocidental;2001;5038;4557;4247;4700;8518;6733;4314;2022;1018;460;162
Cidade Ocidental;2002;5159;4666;4349;4813;8722;6894;4419;2070;1042;471;166
Cidade Ocidental;2003;5292;4786;4461;4938;8948;7072;4532;2123;1070;483;171
Cidade Ocidental;2004;5425;4909;4575;5063;9174;7251;4647;2177;1096;496;175
Cidade Ocidental;2005;5729;5181;4829;5346;9686;7656;4907;2299;1158;523;185
Cidade Ocidental;2006;5884;5322;4958;5490;9947;7863;5039;2360;1189;538;190
Cidade Ocidental;2008;5332;5276;4942;4859;10807;8655;5535;3404;1536;691;266
Cidade Ocidental;2009;5254;5343;5018;4972;10898;8973;5703;3574;1639;724;281
Cidade Ocidental;2011;;;;;;;;;;;
Cidade Ocidental;2012;;;;;;;;;;;
Cidade Ocidental;2013;;;;;;;;;;;
Cidade Ocidental;2014;;;;;;;;;;;
Cidade Ocidental;2015;;;;;;;;;;;
Cidade Ocidental;2016;;;;;;;;;;;
Cidade Ocidental;2017;;;;;;;;;;;
Cidade Ocidental;2018;;;;;;;;;;;
Cidade Ocidental;2019;;;;;;;;;;;
Cocalzinho de Goiás;1992;;;;;;;;;;;
Cocalzinho de Goiás;1993;;;;;;;;;;;
Cocalzinho de Goiás;1994;;;;;;;;;;;
Cocalzinho de Goiás;1995;;;;;;;;;;;
Cocalzinho de Goiás;1997;;;;;;;;;;;
Cocalzinho de Goiás;1998;;;;;;;;;;;
Cocalzinho de Goiás;1999;;;;;;;;;;;
Cocalzinho de Goiás;2001;1667;1557;1663;1705;2886;2076;1512;1001;628;297;127
Cocalzinho de Goiás;2002;1712;1597;1707;1752;2963;2131;1553;1027;644;305;131
Cocalzinho de Goiás;2003;1757;1642;1753;1798;3043;2188;1595;1055;661;314;134
Cocalzinho de Goiás;2004;1803;1683;1798;1846;3122;2246;1636;1083;679;322;138
Cocalzinho de Goiás;2005;1907;1781;1903;1951;3302;2375;1730;1145;718;340;145
Cocalzinho de Goiás;2006;1961;1831;1955;2006;3394;2441;1779;1176;738;350;150
Cocalzinho de Goiás;2008;1531;1570;1389;1358;2929;2355;1650;1186;735;382;161
Cocalzinho de Goiás;2009;1480;1575;1397;1327;2898;2411;1689;1215;745;393;169
Cocalzinho de Goiás;2011;;;;;;;;;;;
Cocalzinho de Goiás;2012;;;;;;;;;;;
Cocalzinho de Goiás;2013;;;;;;;;;;;
Cocalzinho de Goiás;2014;;;;;;;;;;;
Cocalzinho de Goiás;2015;;;;;;;;;;;
Cocalzinho de Goiás;2016;;;;;;;;;;;
Cocalzinho de Goiás;2017;;;;;;;;;;;
Cocalzinho de Goiás;2018;;;;;;;;;;;
Cocalzinho de Goiás;2019;;;;;;;;;;;
Colinas do Sul;1992;;;;;;;;;;;
Colinas do Sul;1993;;;;;;;;;;;
Colinas do Sul;1994;;;;;;;;;;;
Colinas do Sul;1995;;;;;;;;;;;
Colinas do Sul;1997;;;;;;;;;;;
Colinas do Sul;1998;;;;;;;;;;;
Colinas do Sul;1999;;;;;;;;;;;
Colinas do Sul;2001;428;465;483;394;607;446;364;257;189;69;36
Colinas do Sul;2002;428;465;484;394;610;448;366;259;190;70;36
Colinas do Sul;2003;432;470;488;397;614;451;368;261;190;70;37
Colinas do Sul;2004;434;473;491;399;619;454;370;261;192;71;37
Colinas do Sul;2005;441;479;498;405;627;460;376;265;195;72;37
Colinas do Sul;2006;443;483;501;408;632;464;379;267;196;72;38
Colinas do Sul;2008;442;429;393;396;648;536;415;334;230;129;47
Colinas do Sul;2009;431;438;381;383;661;543;424;347;232;138;51
Colinas do Sul;2011;;;;;;;;;;;
Colinas do Sul;2012;;;;;;;;;;;
Colinas do Sul;2013;;;;;;;;;;;
Colinas do Sul;2014;;;;;;;;;;;
Colinas do Sul;2015;;;;;;;;;;;
Colinas do Sul;2016;;;;;;;;;;;
Colinas do Sul;2017;;;;;;;;;;;
Colinas do Sul;2018;;;;;;;;;;;
Colinas do Sul;2019;;;;;;;;;;;
Córrego do Ouro;1992;;;;;;;;;;;
Córrego do Ouro;1993;;;;;;;;;;;
Córrego do Ouro;1994;;;;;;;;;;;
Córrego do Ouro;1995;;;;;;;;;;;
Córrego do Ouro;1997;;;;;;;;;;;
Córrego do Ouro;1998;;;;;;;;;;;
Córrego do Ouro;1999;;;;;;;;;;;
Córrego do Ouro;2001;227;276;306;242;507;468;364;289;184;56;31
Córrego do Ouro;2002;222;273;303;238;500;461;360;285;182;55;30
Córrego do Ouro;2003;219;270;299;235;494;457;356;282;180;54;30
Córrego do Ouro;2004;217;267;296;232;489;452;352;278;178;53;30
Córrego do Ouro;2005;212;260;288;227;476;441;344;272;174;52;29
Córrego do Ouro;2006;208;256;285;224;471;435;340;268;172;52;29
Córrego do Ouro;2008;176;179;199;228;409;419;394;309;215;107;31
Córrego do Ouro;2009;162;172;177;211;408;414;402;313;215;111;31
Córrego do Ouro;2011;;;;;;;;;;;
Córrego do Ouro;2012;;;;;;;;;;;
Córrego do Ouro;2013;;;;;;;;;;;
Córrego do Ouro;2014;;;;;;;;;;;
Córrego do Ouro;2015;;;;;;;;;;;
Córrego do Ouro;2016;;;;;;;;;;;
Córrego do Ouro;2017;;;;;;;;;;;
Córrego do Ouro;2018;;;;;;;;;;;
Córrego do Ouro;2019;;;;;;;;;;;
Corumbá de Goiás;1992;;;;;;;;;;;
Corumbá de Goiás;1993;;;;;;;;;;;
Corumbá de Goiás;1994;;;;;;;;;;;
Corumbá de Goiás;1995;;;;;;;;;;;
Corumbá de Goiás;1997;;;;;;;;;;;
Corumbá de Goiás;1998;;;;;;;;;;;
Corumbá de Goiás;1999;;;;;;;;;;;
Corumbá de Goiás;2001;930;898;1054;1022;1647;1289;1016;760;514;264;117
Corumbá de Goiás;2002;955;921;1082;1050;1689;1323;1043;779;527;271;120
Corumbá de Goiás;2003;956;923;1085;1053;1696;1327;1048;782;530;272;120
Corumbá de Goiás;2004;960;928;1089;1057;1702;1333;1052;786;532;273;121
Corumbá de Goiás;2005;970;936;1099;1066;1717;1344;1060;792;536;276;122
Corumbá de Goiás;2006;974;940;1104;1071;1724;1350;1065;795;538;277;122
Corumbá de Goiás;2008;883;943;801;782;1618;1360;1111;848;583;325;154
Corumbá de Goiás;2009;846;948;808;744;1595;1365;1126;859;592;339;157
Corumbá de Goiás;2011;;;;;;;;;;;
Corumbá de Goiás;2012;;;;;;;;;;;
Corumbá de Goiás;2013;;;;;;;;;;;
Corumbá de Goiás;2014;;;;;;;;;;;
Corumbá de Goiás;2015;;;;;;;;;;;
Corumbá de Goiás;2016;;;;;;;;;;;
Corumbá de Goiás;2017;;;;;;;;;;;
Corumbá de Goiás;2018;;;;;;;;;;;
Corumbá de Goiás;2019;;;;;;;;;;;
Corumbaíba;1992;;;;;;;;;;;
Corumbaíba;1993;;;;;;;;;;;
Corumbaíba;1994;;;;;;;;;;;
Corumbaíba;1995;;;;;;;;;;;
Corumbaíba;1997;;;;;;;;;;;
Corumbaíba;1998;;;;;;;;;;;
Corumbaíba;1999;;;;;;;;;;;
Corumbaíba;2001;579;640;595;591;1208;1068;795;608;395;205;93
Corumbaíba;2002;589;654;606;602;1228;1086;808;618;401;208;94
Corumbaíba;2003;598;664;615;612;1248;1103;820;628;407;211;96
Corumbaíba;2004;606;674;625;621;1267;1121;833;638;414;215;97
Corumbaíba;2005;630;698;647;643;1312;1160;862;660;428;223;101
Corumbaíba;2006;640;709;658;655;1334;1180;877;672;436;226;102
Corumbaíba;2008;619;600;663;710;1416;1431;1152;823;584;301;148
Corumbaíba;2009;609;609;638;720;1438;1469;1199;853;599;322;156
Corumbaíba;2011;;;;;;;;;;;
Corumbaíba;2012;;;;;;;;;;;
Corumbaíba;2013;;;;;;;;;;;
Corumbaíba;2014;;;;;;;;;;;
Corumbaíba;2015;;;;;;;;;;;
Corumbaíba;2016;;;;;;;;;;;
Corumbaíba;2017;;;;;;;;;;;
Corumbaíba;2018;;;;;;;;;;;
Corumbaíba;2019;;;;;;;;;;;
Cristalina;1992;;;;;;;;;;;
Cristalina;1993;;;;;;;;;;;
Cristalina;1994;;;;;;;;;;;
Cristalina;1995;;;;;;;;;;;
Cristalina;1997;;;;;;;;;;;
Cristalina;1998;;;;;;;;;;;
Cristalina;1999;;;;;;;;;;;
Cristalina;2001;4192;3881;3745;3653;6769;5279;3610;2009;1213;603;246
Cristalina;2002;4294;3977;3834;3741;6931;5405;3698;2057;1242;618;251
Cristalina;2003;4400;4075;3931;3835;7104;5540;3789;2108;1273;634;258
Cristalina;2004;4506;4173;4025;3928;7276;5674;3881;2159;1303;649;264
Cristalina;2005;4748;4397;4240;4137;7666;5978;4089;2275;1373;684;278
Cristalina;2006;4870;4511;4351;4245;7864;6133;4195;2334;1408;701;285
Cristalina;2008;3993;4096;3795;3631;7027;6108;4330;2685;1408;728;324
Cristalina;2009;3903;4112;3828;3647;7056;6225;4425;2780;1445;751;333
Cristalina;2011;;;;;;;;;;;
Cristalina;2012;;;;;;;;;;;
Cristalina;2013;;;;;;;;;;;
Cristalina;2014;;;;;;;;;;;
Cristalina;2015;;;;;;;;;;;
Cristalina;2016;;;;;;;;;;;
Cristalina;2017;;;;;;;;;;;
Cristalina;2018;;;;;;;;;;;
Cristalina;2019;;;;;;;;;;;
Cristianópolis;1992;;;;;;;;;;;
Cristianópolis;1993;;;;;;;;;;;
Cristianópolis;1994;;;;;;;;;;;
Cristianópolis;1995;;;;;;;;;;;
Cristianópolis;1997;;;;;;;;;;;
Cristianópolis;1998;;;;;;;;;;;
Cristianópolis;1999;;;;;;;;;;;
Cristianópolis;2001;245;280;274;281;500;491;329;247;182;106;50
Cristianópolis;2002;250;285;279;286;509;500;335;251;185;108;51
Cristianópolis;2003;254;290;284;292;518;508;340;255;188;110;52
Cristianópolis;2004;257;295;289;297;527;517;346;259;191;111;53
Cristianópolis;2005;267;305;300;308;547;537;359;269;199;116;55
Cristianópolis;2006;273;312;306;314;557;546;366;274;203;118;56
Cristianópolis;2008;230;235;251;263;532;501;447;279;212;134;69
Cristianópolis;2009;226;240;243;262;531;498;461;288;217;136;71
Cristianópolis;2011;;;;;;;;;;;
Cristianópolis;2012;;;;;;;;;;;
Cristianópolis;2013;;;;;;;;;;;
Cristianópolis;2014;;;;;;;;;;;
Cristianópolis;2015;;;;;;;;;;;
Cristianópolis;2016;;;;;;;;;;;
Cristianópolis;2017;;;;;;;;;;;
Cristianópolis;2018;;;;;;;;;;;
Cristianópolis;2019;;;;;;;;;;;
Crixás;1992;;;;;;;;;;;
Crixás;1993;;;;;;;;;;;
Crixás;1994;;;;;;;;;;;
Crixás;1995;;;;;;;;;;;
Crixás;1997;;;;;;;;;;;
Crixás;1998;;;;;;;;;;;
Crixás;1999;;;;;;;;;;;
Crixás;2001;1279;1383;1431;1465;2517;2314;1566;1035;682;280;131
Crixás;2002;1247;1348;1392;1425;2451;2253;1524;1009;664;273;127
Crixás;2003;1205;1305;1347;1381;2372;2180;1475;976;642;264;123
Crixás;2004;1165;1260;1301;1333;2293;2108;1426;943;621;256;119
Crixás;2005;1073;1161;1200;1230;2113;1942;1314;869;572;235;110
Crixás;2006;1027;1110;1148;1176;2021;1858;1257;831;547;225;105
Crixás;2008;1130;1178;1204;1244;2490;2206;2085;1498;1113;605;233
Crixás;2009;1083;1170;1160;1216;2453;2179;2122;1550;1170;659;247
Crixás;2011;;;;;;;;;;;
Crixás;2012;;;;;;;;;;;
Crixás;2013;;;;;;;;;;;
Crixás;2014;;;;;;;;;;;
Crixás;2015;;;;;;;;;;;
Crixás;2016;;;;;;;;;;;
Crixás;2017;;;;;;;;;;;
Crixás;2018;;;;;;;;;;;
Crixás;2019;;;;;;;;;;;
Cromínia;1992;;;;;;;;;;;
Cromínia;1993;;;;;;;;;;;
Cromínia;1994;;;;;;;;;;;
Cromínia;1995;;;;;;;;;;;
Cromínia;1997;;;;;;;;;;;
Cromínia;1998;;;;;;;;;;;
Cromínia;1999;;;;;;;;;;;
Cromínia;2001;297;295;347;339;650;515;462;335;267;120;51
Cromínia;2002;302;300;351;343;656;519;466;338;269;121;52
Cromínia;2003;302;300;354;346;660;522;469;340;270;122;52
Cromínia;2004;307;305;356;347;665;526;472;342;272;122;52
Cromínia;2005;310;308;361;353;675;534;480;348;277;124;53
Cromínia;2006;312;310;365;356;680;537;483;350;279;125;54
Cromínia;2008;270;288;259;276;611;601;470;419;279;181;71
Cromínia;2009;264;288;263;267;604;606;475;426;282;186;76
Cromínia;2011;;;;;;;;;;;
Cromínia;2012;;;;;;;;;;;
Cromínia;2013;;;;;;;;;;;
Cromínia;2014;;;;;;;;;;;
Cromínia;2015;;;;;;;;;;;
Cromínia;2016;;;;;;;;;;;
Cromínia;2017;;;;;;;;;;;
Cromínia;2018;;;;;;;;;;;
Cromínia;2019;;;;;;;;;;;
Cumari;1992;;;;;;;;;;;
Cumari;1993;;;;;;;;;;;
Cumari;1994;;;;;;;;;;;
Cumari;1995;;;;;;;;;;;
Cumari;1997;;;;;;;;;;;
Cumari;1998;;;;;;;;;;;
Cumari;1999;;;;;;;;;;;
Cumari;2001;245;254;280;272;484;499;369;325;220;124;51
Cumari;2002;250;259;283;277;487;503;372;328;221;125;52
Cumari;2003;250;259;283;277;490;505;374;330;223;126;52
Cumari;2004;251;261;287;280;494;509;377;332;225;126;52
Cumari;2005;256;265;290;284;501;517;383;338;228;128;53
Cumari;2006;258;268;292;287;505;521;385;340;230;130;54
Cumari;2008;225;240;231;243;498;459;456;325;257;139;70
Cumari;2009;218;240;230;237;500;456;463;328;257;145;72
Cumari;2011;;;;;;;;;;;
Cumari;2012;;;;;;;;;;;
Cumari;2013;;;;;;;;;;;
Cumari;2014;;;;;;;;;;;
Cumari;2015;;;;;;;;;;;
Cumari;2016;;;;;;;;;;;
Cumari;2017;;;;;;;;;;;
Cumari;2018;;;;;;;;;;;
Cumari;2019;;;;;;;;;;;
Damianópolis;1992;;;;;;;;;;;
Damianópolis;1993;;;;;;;;;;;
Damianópolis;1994;;;;;;;;;;;
Damianópolis;1995;;;;;;;;;;;
Damianópolis;1997;;;;;;;;;;;
Damianópolis;1998;;;;;;;;;;;
