Localidade;Ano;Produtos Minerais não Metálicos;Metalúrgica;Mecânica;Materiais Elétricos e de Comunicação;Materiais de Transporte;Madeira e do Mobiliário;Papel Papelão Editorial e Gráfica;Borracha, Fumo, Couros, Peles, Produtos Similares e Indústria Diversa;Química, Produtos Farmacêuticos, Veterinários, Perfumaria, Sabões, Velas, e Matérias Plásticas;Têxtil do Vestuário e Artefatos de Tecidos;Calçados;Produtos Alimentícios de Bebida e Álcool Etílico
Itauçu;2013;136;;8;;;1;4;;;42;20;185
Itauçu;2014;124;1;;;;1;3;;;40;130;204
Itauçu;2015;89;1;;;;1;5;;;45;;204
Itauçu;2016;83;;;;;;6;;;36;8;201
Itauçu;2017;73;;16;;;;4;;;45;6;190
Itauçu;2018;56;  ;20;  ;  ;  ;3;  ;  ;31;  ;259
Itumbiara;1999;62;172;3;2;2;74;55;7;154;357;14;1313
Itumbiara;2000;64;227;3;4;4;82;45;11;115;409;8;1489
Itumbiara;2001;61;261;14;6;7;45;23;98;126;408;12;1682
Itumbiara;2002;77;320;15;5;7;53;18;434;136;438;15;1936
Itumbiara;2003;81;336;17;7;22;43;36;1032;166;412;13;2076
Itumbiara;2004;89;342;23;6;14;47;24;1387;192;420;14;2298
Itumbiara;2005;97;272;42;6;18;52;42;75;188;443;11;2140
Itumbiara;2006;97;313;86;7;17;29;43;867;189;407;8;2270
Itumbiara;2007;142;384;59;4;20;19;45;837;203;458;5;3098
Itumbiara;2008;96;498;47;6;24;31;48;100;178;402;9;3806
Itumbiara;2009;131;349;133;7;9;35;47;24;174;290;8;3380
Itumbiara;2010;165;356;129;9;8;33;43;743;162;356;7;3509
Itumbiara;2011;203;410;179;12;78;40;43;1350;409;322;6;3449
Itumbiara;2012;190;450;218;48;55;64;40;1501;418;379;6;3950
Itumbiara;2013;198;480;203;201;107;66;44;1659;446;391;8;4071
Itumbiara;2014;168;560;213;604;16;44;40;1176;506;405;7;4462
Itumbiara;2015;159;562;188;513;15;50;38;1048;439;431;9;4442
Itumbiara;2016;102;556;198;409;18;46;40;1096;417;439;10;4245
Itumbiara;2017;81;642;175;268;24;51;32;1189;417;405;11;4119
Itumbiara;2018;109;773;171;305;20;36;29;1285;403;283;11;3891
Ivolândia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;7
Ivolândia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1;10
Ivolândia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1;12
Ivolândia;2002;;;;;;;;;;;;
Ivolândia;2003;;;;;;;;;;;;10
Ivolândia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;23;  ;20
Ivolândia;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Ivolândia;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Ivolândia;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Ivolândia;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Ivolândia;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;12;  ;3
Ivolândia;2010;  ;  ;  ;  ;  ;  ;1;  ;  ;22;  ;2
Ivolândia;2011;;;;;;;;;;22;;1
Ivolândia;2012;;;;;;;;;;19;;1
Ivolândia;2013;;;;;;;;;;34;;4
Ivolândia;2014;;;;;;;;;;20;;5
Ivolândia;2015;;;;;;;;;;20;;5
Ivolândia;2016;;;;;;;;;;9;;5
Ivolândia;2017;;;;;;;;;;9;;1
Ivolândia;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Jandaia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;119
Jandaia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;138
Jandaia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;149
Jandaia;2002;;;;;;;;;;18;;142
Jandaia;2003;;;;;;;;;;15;;543
Jandaia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;181
Jandaia;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;194
Jandaia;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;37;  ;207
Jandaia;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;32;  ;219
Jandaia;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;28;  ;917
Jandaia;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;23;  ;1159
Jandaia;2010;  ;  ;  ;  ;  ;  ;  ;  ;871;61;  ;14
Jandaia;2011;;;;;;;;;840;39;;6
Jandaia;2012;;;;;8;;;;769;44;;6
Jandaia;2013;;;;;6;;;;740;49;;11
Jandaia;2014;;;;;5;;;;1104;47;;8
Jandaia;2015;;;;;3;;;;730;53;;8
Jandaia;2016;;;;;1;;;;807;52;;9
Jandaia;2017;;;;;1;;;;857;42;;8
Jandaia;2018;  ;  ;  ;  ;1;  ;  ;  ;876;47;  ;7
Jaraguá;1999;13;  ;  ;2;  ;12;8;  ;  ;1201;  ;53
Jaraguá;2000;6;1;  ;4;  ;7;4;  ;  ;1396;1;71
Jaraguá;2001;6;1;  ;3;  ;20;7;  ;  ;1599;  ;81
Jaraguá;2002;11;6;;2;;17;8;2;;1615;;71
Jaraguá;2003;9;;;1;;16;7;1;;1650;;76
Jaraguá;2004;8;  ;  ;1;  ;19;9;1;  ;2115;  ;83
Jaraguá;2005;7;  ;  ;4;  ;15;12;1;  ;2151;  ;90
Jaraguá;2006;  ;  ;  ;3;  ;10;14;3;  ;2382;1;215
Jaraguá;2007;1;  ;  ;4;  ;9;15;6;  ;2322;1;299
Jaraguá;2008;  ;  ;  ;2;  ;9;12;11;  ;2143;1;89
Jaraguá;2009;  ;  ;  ;3;  ;17;13;13;  ;2160;1;99
Jaraguá;2010;  ;3;  ;1;  ;9;15;12;4;2276;1;134
Jaraguá;2011;;4;;1;2;10;9;15;9;2419;1;145
Jaraguá;2012;3;7;;1;2;8;8;14;13;2600;2;109
Jaraguá;2013;10;5;;;1;14;11;27;5;2602;;128
Jaraguá;2014;16;12;;;4;16;15;20;3;2570;;117
Jaraguá;2015;23;11;1;;3;14;14;17;;2134;1;107
Jaraguá;2016;13;8;;;;5;14;22;;1780;1;119
Jaraguá;2017;14;6;;;1;7;8;;;1669;;159
Jaraguá;2018;17;13;  ;  ;  ;  ;18;8;1;1556;  ;193
Jataí;1999;78;89;10;  ;12;57;15;48;36;482;12;1116
Jataí;2000;49;90;36;  ;21;43;16;33;54;608;11;1072
Jataí;2001;61;105;45;  ;13;48;30;30;21;628;13;1096
Jataí;2002;62;116;42;;21;56;35;33;86;581;16;768
Jataí;2003;70;117;26;;16;51;48;45;18;634;13;932
Jataí;2004;78;95;28;2;21;55;40;51;18;667;10;1281
Jataí;2005;86;70;29;1;13;40;35;55;66;583;7;1153
Jataí;2006;101;53;55;4;10;29;37;29;62;424;12;993
Jataí;2007;137;69;37;  ;12;27;29;42;73;443;11;1396
Jataí;2008;121;96;73;  ;9;30;37;36;72;460;11;1627
Jataí;2009;142;98;92;  ;8;31;40;43;57;351;6;2003
Jataí;2010;151;113;94;  ;9;34;50;28;1378;355;6;977
Jataí;2011;195;149;106;6;14;24;61;29;1501;424;5;1368
Jataí;2012;217;181;130;19;12;30;71;30;1402;309;5;984
Jataí;2013;211;230;76;11;14;28;68;26;1431;267;5;988
Jataí;2014;203;209;112;17;12;27;40;29;1249;257;5;1268
Jataí;2015;191;206;127;9;11;32;32;57;917;213;4;1266
Jataí;2016;165;183;100;5;4;24;25;51;896;188;3;663
Jataí;2017;139;246;70;;3;24;26;58;917;154;3;1084
Jataí;2018;149;245;108;  ;2;25;25;31;985;127;3;831
Jaupaci;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;13
Jaupaci;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Jaupaci;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Jaupaci;2002;;;;;;;;;;;;10
Jaupaci;2003;;;;;;;;;;;;9
Jaupaci;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Jaupaci;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;8
Jaupaci;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Jaupaci;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Jaupaci;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Jaupaci;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jaupaci;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;17;  ;  
Jaupaci;2011;;;;;;;;;;61;;
Jaupaci;2012;;;;;;;;;;55;;
Jaupaci;2013;;;;;;;;;;76;;
Jaupaci;2014;;;;;;;;;;51;;
Jaupaci;2015;;;;;;;;;;56;;
Jaupaci;2016;;;;;;;;;;85;;
Jaupaci;2017;;;;;;;;;;108;;
Jaupaci;2018;  ;1;  ;  ;  ;  ;  ;  ;  ;97;  ;  
Jesúpolis;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Jesúpolis;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Jesúpolis;2002;12;;;;;;;;;;;
Jesúpolis;2003;18;;;;;;;;;;;
Jesúpolis;2004;14;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2005;19;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2007;25;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2008;34;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2009;41;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Jesúpolis;2010;39;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jesúpolis;2011;15;;;;;;;;;;;
Jesúpolis;2012;48;;;;;;;;;19;;
Jesúpolis;2013;55;;;;;;;;;33;;
Jesúpolis;2014;44;;;;;;;;;;;
Jesúpolis;2015;47;;;;;;;;;;;
Jesúpolis;2016;21;;;;;;;;;;;
Jesúpolis;2017;16;;;;;;;;;;;
Jesúpolis;2018;16;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Joviânia;1999;  ;  ;  ;  ;  ;3;  ;  ;  ;  ;  ;21
Joviânia;2000;  ;  ;  ;  ;  ;3;  ;  ;  ;  ;  ;17
Joviânia;2001;  ;  ;  ;  ;  ;3;  ;  ;  ;  ;  ;18
Joviânia;2002;;1;;;;2;;;;2;;11
Joviânia;2003;;;;;;;;;;7;;10
Joviânia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;7
Joviânia;2005;  ;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;9
Joviânia;2006;  ;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;3
Joviânia;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;10
Joviânia;2008;1;  ;  ;  ;  ;5;  ;  ;  ;  ;  ;4
Joviânia;2009;1;  ;  ;  ;  ;4;  ;  ;  ;  ;  ;2
Joviânia;2010;4;2;  ;  ;  ;4;  ;  ;  ;  ;  ;  
Joviânia;2011;;3;;;;4;;;;13;;
Joviânia;2012;1;4;;;;4;;;;;;
Joviânia;2013;2;;8;;;;;;;;;
Joviânia;2014;3;;4;;;;;;;;;
Joviânia;2015;4;1;4;;;;;;;;;
Joviânia;2016;;1;2;;;;;;;;;
Joviânia;2017;;1;2;;;;;;;;;
Joviânia;2018;1;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Jussara;1999;18;1;  ;  ;  ;  ;  ;2;  ;2;  ;48
Jussara;2000;15;2;  ;  ;  ;  ;1;3;  ;1;  ;117
Jussara;2001;17;1;  ;  ;  ;  ;1;2;  ;1;  ;104
Jussara;2002;21;4;;;;;6;4;3;8;;84
Jussara;2003;25;6;;;;;6;5;7;8;;37
Jussara;2004;23;5;  ;  ;  ;  ;7;7;7;12;  ;22
Jussara;2005;31;2;  ;  ;  ;3;7;4;12;6;  ;46
Jussara;2006;29;2;  ;  ;  ;7;7;5;  ;6;  ;68
Jussara;2007;40;3;  ;  ;4;4;6;4;  ;16;  ;69
Jussara;2008;46;4;  ;  ;  ;  ;6;5;  ;23;  ;63
Jussara;2009;42;3;  ;  ;  ;3;6;4;1;45;  ;45
Jussara;2010;38;7;  ;  ;  ;4;5;7;  ;125;  ;35
Jussara;2011;48;8;2;;;10;6;4;;172;;62
Jussara;2012;51;12;;;;10;4;4;;167;;29
Jussara;2013;49;9;;;;8;7;7;;173;;50
Jussara;2014;53;14;5;;;10;4;2;;118;;43
Jussara;2015;54;11;7;1;;11;5;1;;128;;34
Jussara;2016;44;11;7;;;7;5;1;;130;;89
Jussara;2017;51;9;4;;;8;5;;;144;;104
Jussara;2018;52;7;4;  ;  ;4;4;  ;  ;136;  ;136
Lagoa Santa;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2002;;;;;;;;;;;;
Lagoa Santa;2003;;;;;;;;;;;;
Lagoa Santa;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Lagoa Santa;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
Lagoa Santa;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Lagoa Santa;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Lagoa Santa;2011;;;;;;;;;;;;5
Lagoa Santa;2012;;;;;;;;;;;;6
Lagoa Santa;2013;;;;;;;;;;;;8
Lagoa Santa;2014;;;;;;;;;;;;7
Lagoa Santa;2015;;;;;;;;;;;;6
Lagoa Santa;2016;;;;;;;;;;;;6
Lagoa Santa;2017;;;;;;;;;;;;6
Lagoa Santa;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;5
Leopoldo de Bulhões;1999;42;  ;  ;  ;  ;  ;  ;  ;  ;  ;2;13
Leopoldo de Bulhões;2000;18;  ;  ;  ;  ;  ;  ;2;8;  ;  ;18
Leopoldo de Bulhões;2001;23;  ;  ;  ;  ;  ;  ;1;7;  ;  ;20
Leopoldo de Bulhões;2002;;;;;;;;1;7;;;19
Leopoldo de Bulhões;2003;;;;;;;;;11;;;20
Leopoldo de Bulhões;2004;11;  ;  ;  ;  ;  ;  ;  ;19;  ;  ;20
Leopoldo de Bulhões;2005;  ;  ;  ;  ;  ;  ;  ;  ;26;  ;  ;18
Leopoldo de Bulhões;2006;15;  ;  ;  ;  ;  ;  ;  ;20;  ;  ;18
Leopoldo de Bulhões;2007;13;  ;  ;  ;  ;  ;  ;  ;23;  ;  ;18
Leopoldo de Bulhões;2008;12;12;  ;  ;  ;  ;  ;  ;2;  ;  ;15
Leopoldo de Bulhões;2009;16;17;  ;  ;  ;  ;  ;  ;2;  ;  ;15
Leopoldo de Bulhões;2010;20;28;  ;  ;  ;  ;  ;  ;3;  ;  ;14
Leopoldo de Bulhões;2011;32;26;;;;;;;7;;2;21
Leopoldo de Bulhões;2012;38;17;;;;;;;13;;1;22
Leopoldo de Bulhões;2013;36;;;;;28;;;21;;4;24
Leopoldo de Bulhões;2014;26;;;;;10;;;22;;8;40
Leopoldo de Bulhões;2015;26;;;;;;;;27;;11;35
Leopoldo de Bulhões;2016;19;;;;;;;;46;;13;39
Leopoldo de Bulhões;2017;;;;;;;;;55;;22;23
Leopoldo de Bulhões;2018;28;75;  ;  ;  ;1;  ;  ;66;  ;27;23
Luziânia;1999;62;220;21;  ;4;152;43;38;346;11;  ;920
Luziânia;2000;90;294;1;  ;4;190;74;42;505;8;7;1063
Luziânia;2001;120;206;1;  ;4;204;107;44;666;12;5;1334
Luziânia;2002;148;116;16;2;4;235;137;51;537;11;4;1131
Luziânia;2003;123;204;;2;5;201;140;75;745;18;4;1480
Luziânia;2004;143;150;27;  ;3;183;126;86;664;16;3;2012
Luziânia;2005;135;167;3;  ;  ;191;106;74;833;23;  ;1830
Luziânia;2006;106;206;19;  ;6;156;111;75;1256;28;  ;2032
Luziânia;2007;199;195;39;  ;4;118;112;71;1293;35;2;2509
Luziânia;2008;202;209;34;  ;13;106;119;41;1319;36;2;2524
Luziânia;2009;263;234;36;  ;3;15;126;57;1585;33;1;2414
Luziânia;2010;314;280;72;2;2;13;166;58;920;45;1;2536
Luziânia;2011;291;321;74;1;4;23;152;80;914;51;;1901
Luziânia;2012;301;325;69;2;5;153;152;77;1007;61;;1826
Luziânia;2013;212;341;100;1;8;245;274;70;910;60;;1438
Luziânia;2014;206;369;141;1;26;188;294;74;942;38;;1496
Luziânia;2015;228;317;177;8;17;130;324;93;875;61;3;1514
Luziânia;2016;204;285;148;10;22;112;330;83;916;55;2;1448
Luziânia;2017;215;278;94;18;19;89;313;82;935;52;;1431
Luziânia;2018;211;294;111;19;12;83;173;123;943;54;1;1639
Mairipotaba;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;26
Mairipotaba;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;12;  ;18
Mairipotaba;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;15
Mairipotaba;2002;5;;;;;;;;;;;15
Mairipotaba;2003;5;;;;;;;;;6;;13
Mairipotaba;2004;1;  ;  ;  ;  ;  ;  ;  ;  ;8;  ;13
Mairipotaba;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;9
Mairipotaba;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mairipotaba;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mairipotaba;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mairipotaba;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mairipotaba;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mairipotaba;2011;;;;;;;;;;8;;
Mairipotaba;2012;3;;;;;;;;;;;
Mairipotaba;2013;2;;;;;;;;;;;
Mairipotaba;2014;1;;;;;;;;;;;
Mairipotaba;2015;1;;;;;;;;;;;1
Mairipotaba;2016;;;;;;;;;;;;2
Mairipotaba;2017;;;;;;;;;;;;4
Mairipotaba;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;18;  ;2
Mambaí;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mambaí;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mambaí;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mambaí;2002;;;;;;1;;;;;;
Mambaí;2003;;;;;;;;;;;;
Mambaí;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mambaí;2005;  ;  ;  ;  ;  ;18;  ;  ;  ;  ;  ;  
Mambaí;2006;  ;  ;  ;  ;  ;9;  ;  ;  ;  ;  ;  
Mambaí;2007;  ;  ;  ;  ;  ;10;  ;  ;5;  ;  ;  
Mambaí;2008;  ;  ;  ;  ;  ;  ;  ;  ;3;  ;  ;  
Mambaí;2009;  ;  ;  ;  ;  ;8;  ;  ;3;  ;  ;3
Mambaí;2010;  ;  ;  ;  ;  ;  ;  ;  ;4;  ;  ;  
Mambaí;2011;;;;;;12;;;7;;;
Mambaí;2012;;;;;;;;;7;;;
Mambaí;2013;;;;;;;;;2;;;
Mambaí;2014;;3;;;;;;;;;;
Mambaí;2015;;1;;;;;;;5;;;
Mambaí;2016;;2;;;;;;;6;;;
Mambaí;2017;;1;;;;;;;7;;;
Mambaí;2018;  ;3;8;  ;  ;  ;  ;  ;4;  ;  ;  
Mara Rosa;1999;42;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;14
Mara Rosa;2000;36;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;10
Mara Rosa;2001;39;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;8
Mara Rosa;2002;45;;;;;;;;;;;3
Mara Rosa;2003;50;;;;;2;;;;;;4
Mara Rosa;2004;56;  ;  ;  ;  ;2;  ;  ;  ;  ;  ;6
Mara Rosa;2005;64;  ;  ;  ;  ;1;  ;  ;2;  ;  ;7
Mara Rosa;2006;61;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;8
Mara Rosa;2007;63;  ;  ;  ;  ;2;  ;  ;  ;  ;  ;76
Mara Rosa;2008;64;2;  ;  ;  ;1;2;  ;  ;  ;  ;17
Mara Rosa;2009;65;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;17
Mara Rosa;2010;71;  ;  ;  ;  ;1;  ;  ;  ;  ;  ;24
Mara Rosa;2011;78;;;;;1;;;;2;;26
Mara Rosa;2012;78;2;;;;1;;;;33;;30
Mara Rosa;2013;75;;;;;1;;;;43;;44
Mara Rosa;2014;81;2;;;;;;;;51;;53
Mara Rosa;2015;90;2;;;;;;;;48;;38
Mara Rosa;2016;74;12;;;;;;;;12;;53
Mara Rosa;2017;57;2;;;;;;;;21;;41
Mara Rosa;2018;60;  ;  ;  ;  ;  ;  ;  ;  ;18;  ;35
Marzagão;1999;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2001;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2002;;;;;;;;;;;;
Marzagão;2003;;;;;;;;;;;;
Marzagão;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Marzagão;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;14
Marzagão;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;13
Marzagão;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;6
Marzagão;2010;  ;  ;  ;  ;  ;  ;  ;  ;28;  ;  ;1
Marzagão;2011;;;;;;;;;27;;;2
Marzagão;2012;10;;;;;;;;27;;;7
Marzagão;2013;14;;;;;;;;27;;;2
Marzagão;2014;11;;;;;;;;29;;;2
Marzagão;2015;8;;;;;;;;27;;;
Marzagão;2016;7;;;;;;;;;;;
Marzagão;2017;7;;;;;;;;1;;;
Marzagão;2018;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Matrinchã;1999;10;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11
Matrinchã;2000;10;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;13
Matrinchã;2001;5;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;16
Matrinchã;2002;8;;;;;;;;;;;17
Matrinchã;2003;;;;;;;;;;;;16
Matrinchã;2004;4;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;13
Matrinchã;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;12
Matrinchã;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;7
Matrinchã;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11
Matrinchã;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;27
Matrinchã;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;12;  ;25
Matrinchã;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;32;  ;34
Matrinchã;2011;;;;;;;;;;36;;33
Matrinchã;2012;;;;;;;;;;47;;21
Matrinchã;2013;;;;;;;;;;60;;17
Matrinchã;2014;;;;;;;;;;58;;20
Matrinchã;2015;;;;;;;;;;54;;19
Matrinchã;2016;;;;;;;;;;59;;19
Matrinchã;2017;;;;;;;;;;54;;14
Matrinchã;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;21;  ;15
Maurilândia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Maurilândia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Maurilândia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Maurilândia;2002;;;;;;;;;;;;
Maurilândia;2003;;;;;;;;;;;;
Maurilândia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Maurilândia;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Maurilândia;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;153
Maurilândia;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;800
Maurilândia;2008;27;  ;  ;  ;  ;  ;  ;5;  ;  ;  ;839
Maurilândia;2009;  ;1;  ;  ;  ;  ;  ;6;  ;  ;  ;1155
Maurilândia;2010;  ;15;  ;  ;  ;  ;  ;7;1094;  ;  ;3
Maurilândia;2011;;20;;;;;;6;;5;;7
Maurilândia;2012;;2;;;;;;2;;;;2
Maurilândia;2013;;;;;;;;1;;;;
Maurilândia;2014;;;;;;;;2;;;;
Maurilândia;2015;;3;;;;;;2;;;;4
Maurilândia;2016;;6;;;;;;3;;;;
Maurilândia;2017;4;1;;;;;;2;;;;
Maurilândia;2018;3;  ;  ;  ;  ;  ;  ;2;  ;  ;  ;1
Mimoso de Goiás;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2002;;;;;;;;;;;;
Mimoso de Goiás;2003;;;;;;;;;;;;
Mimoso de Goiás;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2005;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2006;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2007;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2008;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2009;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2010;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Mimoso de Goiás;2011;;;;;;;;;;;;
Mimoso de Goiás;2012;;;;;;;;;;;;
Mimoso de Goiás;2013;;;;;;;;;;;;2
Mimoso de Goiás;2014;;;;;;;;;;;;2
Mimoso de Goiás;2015;;;;;;;;;;;;2
Mimoso de Goiás;2016;;;;;;;;;;;;
Mimoso de Goiás;2017;;;;;;;;;;;;
Mimoso de Goiás;2018;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Minaçu;1999;  ;23;  ;  ;  ;  ;1;  ;19;1;  ;27
Minaçu;2000;1;23;  ;  ;  ;  ;1;  ;11;1;  ;26
