Localidade	Ano	Cursos Presenciais/Federal	Cursos Presenciais/Estadual	Cursos Presenciais/Municipal	Cursos Presenciais/Particular	Cursos Presenciais/Comunitária, Confessional ou Filantrópica	Educação Profissional/Estadual	Educação Profissional/Federal	Educação Profissional/Municipal	Educação Profissional/Particular	Ensino Médio/Estadual	Ensino Médio/Federal	Ensino Médio/Municipal	Ensino Médio/Particular	EJA/Municipal	EJA/Estadual	EJA/Federal	EJA/Particular
Águas Lindas de Goiás	2008		284		88						5390			74	1280	631		76
Águas Lindas de Goiás	2009		311		194						5389			49	1008	599		57
Águas Lindas de Goiás	2010				420		 	 	 	 	5221	 	 	219	806	582	 	40
Águas Lindas de Goiás	2011				510						5192			264	948	382		128
Águas Lindas de Goiás	2012				565						5740			334	868	369		50
Águas Lindas de Goiás	2013				512						6114			419	581	314		102
Águas Lindas de Goiás	2014										6196	27		598	437	479	26	246
Águas Lindas de Goiás	2015							344			6017	112		466	412	379	80	113
Águas Lindas de Goiás	2016							368			6036	203		689	532	477	113	123
Águas Lindas de Goiás	2017							405			5036	251		733	402	1949	148	587
Águas Lindas de Goiás	2018						0	250	0	679	4930	250	0	793	403	2961	169	717
Alexânia	2002										771			19		95		
Alexânia	2003										797			9	116	224		
Alexânia	2004										809			17	213	267		
Alexânia	2005										830			29	320	469		
Alexânia	2006										934			35	262	474		
Alexânia	2007										957			44	233	291		
Alexânia	2008										965			36	238	419		
Alexânia	2009										984			23	160	225		
Alexânia	2010						 	 	 	 	1019	 	 	25	175	173	 	 
Alexânia	2011										1019			30	154	159		
Alexânia	2012										923			41	170	145		
Alexânia	2013										955			63	30	182		
Alexânia	2014										929			73	33	182		
Alexânia	2015										928			112	66	146		
Alexânia	2016										965			81	25	164		
Alexânia	2017										1001			82	21	234		
Alexânia	2018						89	0	0	0	1092	0	0	77	27	249	0	0
Aloândia	2002										75							
Aloândia	2003										74					28		
Aloândia	2004										64					70		
Aloândia	2005										91							
Aloândia	2006										86							
Aloândia	2007										78							
Aloândia	2008										65							
Aloândia	2009										53							
Aloândia	2010						 	 	 	 	58	 	 	 	 	 	 	 
Aloândia	2011										62							
Aloândia	2012										74							
Aloândia	2013										71							
Aloândia	2014										75							
Aloândia	2015										67							
Aloândia	2016										73							
Aloândia	2017										44					22		
Aloândia	2018						0	0	0	0	41	0	0	0	0	19	0	0
Alto Horizonte	2002										119				95			
Alto Horizonte	2003										82				66			
Alto Horizonte	2004										89				20			
Alto Horizonte	2005										103				80			
Alto Horizonte	2006										139				112			
Alto Horizonte	2007										152				77			
Alto Horizonte	2008										174				82			
Alto Horizonte	2009										219				69			
Alto Horizonte	2010						 	 	 	 	219	 	 	 	101	 	 	 
Alto Horizonte	2011										231				113			
Alto Horizonte	2012										227				141			
Alto Horizonte	2013										248				95			
Alto Horizonte	2014										238				107			
Alto Horizonte	2015										204				66			
Alto Horizonte	2016										172				69			
Alto Horizonte	2017										162				84	24		
Alto Horizonte	2018						39	0	0	0	177	0	0	0	110	24	0	0
Alto Paraíso de Goiás	2002										259					89		
Alto Paraíso de Goiás	2003										274				11	195		
Alto Paraíso de Goiás	2004										320					301		
Alto Paraíso de Goiás	2005										308					284		
Alto Paraíso de Goiás	2006										394					277		
Alto Paraíso de Goiás	2007										264				26	132		
Alto Paraíso de Goiás	2008										296			8	55	68		
Alto Paraíso de Goiás	2009										300			7	42	107		
Alto Paraíso de Goiás	2010						 	 	 	 	321	 	 	14	11	61	 	 
Alto Paraíso de Goiás	2011										272			22	31	32		
Alto Paraíso de Goiás	2012										269			27	31	14		
Alto Paraíso de Goiás	2013										268			22				
Alto Paraíso de Goiás	2014										270			17	20			
Alto Paraíso de Goiás	2015										320			25	22			
Alto Paraíso de Goiás	2016										287			30	18			
Alto Paraíso de Goiás	2017										277			35	17	29		
Alto Paraíso de Goiás	2018						0	0	0	0	263	0	0	28	0	83	0	0
Alvorada do Norte	2002										637				105	182		
Alvorada do Norte	2003										608				143	247		
Alvorada do Norte	2004										478				109	254		
Alvorada do Norte	2005										511				106	132		
Alvorada do Norte	2006										494				78	170		
Alvorada do Norte	2007										412				94	136		
Alvorada do Norte	2008										407				33	115		
Alvorada do Norte	2009										411				32	122		
Alvorada do Norte	2010						 	 	 	 	388	 	 	 	42	158	 	 
Alvorada do Norte	2011										431					105		
Alvorada do Norte	2012										427					119		
Alvorada do Norte	2013										425					65		
Alvorada do Norte	2014										396					66		
Alvorada do Norte	2015										405					91		
Alvorada do Norte	2016										380					55		
Alvorada do Norte	2017										396					89		
Alvorada do Norte	2018						0	0	0	0	332	0	0	0	0	161	0	0
Amaralina	2002										150							
Amaralina	2003										136							
Amaralina	2004										161							
Amaralina	2005										155					56		
Amaralina	2006										181					44		
Amaralina	2007										146							
Amaralina	2008										131							
Amaralina	2009										130							
Amaralina	2010						 	 	 	 	138	 	 	 	 	 	 	 
Amaralina	2011										141							
Amaralina	2012										142							
Amaralina	2013										115							
Amaralina	2014										118							
Amaralina	2015										105							
Amaralina	2016										110							
Amaralina	2017										77					21		
Amaralina	2018						0	0	0	0	82	0	0	0	0	24	0	0
Americano do Brasil	2002										257							
Americano do Brasil	2003										240				30			
Americano do Brasil	2004										264				20			
Americano do Brasil	2005										247							
Americano do Brasil	2006										264							
Americano do Brasil	2007										291							
Americano do Brasil	2008										264							
Americano do Brasil	2009										246							
Americano do Brasil	2010						 	 	 	 	277	 	 	 	 	 	 	 
Americano do Brasil	2011										278							
Americano do Brasil	2012										246							
Americano do Brasil	2013										216							
Americano do Brasil	2014										205							
Americano do Brasil	2015										225							
Americano do Brasil	2016										224							
Americano do Brasil	2017										198							
Americano do Brasil	2018						0	0	0	0	196	0	0	0	0	0	0	0
Amorinópolis	2002										128				78			
Amorinópolis	2003										164				74	43		
Amorinópolis	2004										168				49	21		
Amorinópolis	2005										207				63	20		
Amorinópolis	2006										193				22	29		
Amorinópolis	2007										168				16	22		
Amorinópolis	2008										156				10	54		
Amorinópolis	2009										162				9	55		
Amorinópolis	2010						 	 	 	 	162	 	 	 	10	38	 	 
Amorinópolis	2011										180				16	22		
Amorinópolis	2012										174				12	13		
Amorinópolis	2013										137				16	5		
Amorinópolis	2014										124				10			
Amorinópolis	2015										127				8			
Amorinópolis	2016										107							
Amorinópolis	2017										98					15		
Amorinópolis	2018						0	0	0	0	91	0	0	0	0	19	0	0
Anápolis	2002		3893		497	3093					13783			1964	3283	5557		1071
Anápolis	2003		4294		1168	3641					14113			1961	3631	6367		1179
Anápolis	2004		4474		2417	4056				244	13553			2319	3652	7478		913
Anápolis	2005		4238		3981	4438				815	13378			2443	2863	6730		894
Anápolis	2006		3862		5440	4810				1495	14138			2926	2741	5794		436
Anápolis	2007		3809		7823	4816	370			515	14167			2377	2265	3889		64
Anápolis	2008		3570		8359	4885	223			923	13072			2689	2033	3784		45
Anápolis	2009		3089	67	10075	4421	136			1682	12860			2927	1534	3229		
Anápolis	2010	90	3005	70	16006		179	 	 	1850	12905	 	 	2908	1944	3187	 	 
Anápolis	2011	181	2878	59	19091		204	74		1294	12673	168		3120	1771	2526	66	
Anápolis	2012	231	2674		18638		557	101			12142	241		3234	1375	2082	84	32
Anápolis	2013	248	2598		20758		186	97		2069	12679	293		3195	1480	2306	132	488
Anápolis	2014						307	32		3224	12392	291		3035	1415	2494	129	684
Anápolis	2015						428	594		2473	12299	293		3055	1082	2668	144	167
Anápolis	2016						434	491		1562	11787	243		2711	1065	2584	164	394
Anápolis	2017						136	395		1271	11323	253		2246	940	3108	142	520
Anápolis	2018						353	425	0	1317	11363	268	0	2122	897	3753	157	540
Anhanguera	2002										52				38			
Anhanguera	2003										72				24			
Anhanguera	2004										70				26			
Anhanguera	2005										62							
Anhanguera	2006										51							
Anhanguera	2007										43							
Anhanguera	2008										39							
Anhanguera	2009										45							
Anhanguera	2010						 	 	 	 	44	 	 	 	 	 	 	 
Anhanguera	2011										38							
Anhanguera	2012										33							
Anhanguera	2013										40							
Anhanguera	2014										40							
Anhanguera	2015										41							
Anhanguera	2016										29							
Anhanguera	2017										22					16		
Anhanguera	2018						0	0	0	0	7	0	0	0	0	22	0	0
Anicuns	2002			1101							1083			22	254	216		124
Anicuns	2003			1134							1059				306	168		168
Anicuns	2004			1195							943				238	321		53
Anicuns	2005			1235							890				215	295		
Anicuns	2006			1268							886				152	318		
Anicuns	2007			1263							925			34	133	256		
Anicuns	2008			1263							790			46	298	315		
Anicuns	2009			925							820			43	171	274		
Anicuns	2010			732			 	 	 	 	800	 	 	21	152	260	 	 
Anicuns	2011			723							799			19	84	233		
Anicuns	2012			1203							829				71	285		
Anicuns	2013			1245							790				10	230		
Anicuns	2014										780				5	193		
Anicuns	2015										702				10	179		
Anicuns	2016										580				6	216		
Anicuns	2017										586				12	193		
Anicuns	2018						0	0	0	0	583	0	0	0	5	133	0	0
Aparecida de Goiânia	2002		1104		1504						15129			1527	42	3427		3194
Aparecida de Goiânia	2003		1041		2275						15057			1839		6879		2859
Aparecida de Goiânia	2004		1165		2607					43	16484			1964		7877		1871
Aparecida de Goiânia	2005		619		2699						16777			1724		7700		1063
Aparecida de Goiânia	2006		396		3518					46	19819			1910		8515		1196
Aparecida de Goiânia	2007		152		4649						19452			1879		6866		699
Aparecida de Goiânia	2008		267		5654						18545			1992	256	6051		364
Aparecida de Goiânia	2009		113		6067					177	19005			1955	317	5029		421
Aparecida de Goiânia	2010		75		6704		 	 	 	190	19254	 	 	1992	336	5912	 	488
Aparecida de Goiânia	2011		62		8197					161	19053			2400	262	4996		424
Aparecida de Goiânia	2012	56	110		8286						17929	90		2935	69	3779		599
Aparecida de Goiânia	2013	105	166		8688					865	17981	170		2617	60	3427	33	698
Aparecida de Goiânia	2014									1963	17666	250		2799	37	3191	38	780
Aparecida de Goiânia	2015						68	442		2311	17932	277		2998		3513	56	646
Aparecida de Goiânia	2016						40	394		1171	17614	267		2630		3999	48	606
Aparecida de Goiânia	2017						18	333		1363	15680	263		2316		5772	61	616
Aparecida de Goiânia	2018						0	370	0	1243	16377	275	0	2252	0	6601	95	533
Aparecida do Rio Doce	2002										86				65			
Aparecida do Rio Doce	2003										120				88			
Aparecida do Rio Doce	2004										137				49			
Aparecida do Rio Doce	2005										184				48			
Aparecida do Rio Doce	2006										208				48			
Aparecida do Rio Doce	2007										165				29			
Aparecida do Rio Doce	2008										162				17			
Aparecida do Rio Doce	2009										168				13			
Aparecida do Rio Doce	2010						 	 	 	 	177	 	 	 	25	 	 	 
Aparecida do Rio Doce	2011										156							
Aparecida do Rio Doce	2012										132				29			
Aparecida do Rio Doce	2013										110							
Aparecida do Rio Doce	2014										128							
Aparecida do Rio Doce	2015										136							
Aparecida do Rio Doce	2016										129							
Aparecida do Rio Doce	2017										120					9		
Aparecida do Rio Doce	2018						0	0	0	0	120	0	0	0	0	7	0	0
Aporé	2002										119				66			
Aporé	2003										147				32			
Aporé	2004										150				15			
Aporé	2005										126				12			
Aporé	2006										132				17	17		
Aporé	2007										146				18	26		
Aporé	2008										169				15	36		
Aporé	2009										151				13	23		
Aporé	2010						 	 	 	 	142	 	 	 	11	5	 	 
Aporé	2011										156				8			
Aporé	2012										151				1			
Aporé	2013										120				30			
Aporé	2014										107				31			
Aporé	2015										116				39			
Aporé	2016										109				27			
Aporé	2017										124				29	13		
Aporé	2018						0	0	0	0	156	0	0	0	37	66	0	0
Araçu	2002										227					190		
Araçu	2003										253				30	110		
Araçu	2004										335				14	110		
Araçu	2005										301							
Araçu	2006										275							
Araçu	2007										220					33		
Araçu	2008										204					14		
Araçu	2009										161					13		
Araçu	2010						 	 	 	 	162	 	 	 	 	28	 	 
Araçu	2011										180					12		
Araçu	2012										201							
Araçu	2013										194							
Araçu	2014										178							
Araçu	2015										158							
Araçu	2016										124							
Araçu	2017										124							
Araçu	2018						0	0	0	0	133	0	0	0	0	0	0	0
Aragarças	2002										587				227	695		
Aragarças	2003										569				182	790		
Aragarças	2004										596				192	870		
Aragarças	2005										640				223	827		
Aragarças	2006										728				229	788		
Aragarças	2007										766				155	729		
Aragarças	2008										632				194	511		
Aragarças	2009										626				140	578		
Aragarças	2010						 	 	 	 	637	 	 	 	140	594	 	 
Aragarças	2011										600					310		
Aragarças	2012										486					199		
Aragarças	2013										464				54	172		
Aragarças	2014										508				4	244		
Aragarças	2015										470				38	196		
Aragarças	2016						14				454				20	179		
Aragarças	2017						13				368					249		
Aragarças	2018						12	0	0	0	327	0	0	0	0	383	0	0
Aragoiânia	2002										236							296
Aragoiânia	2003										204				114	150		
Aragoiânia	2004										284				84	156		
Aragoiânia	2005										289				110	164		
Aragoiânia	2006										292				73	188		
Aragoiânia	2007										308				53	115		
Aragoiânia	2008										261				55	107		
Aragoiânia	2009										287				91	110		
Aragoiânia	2010						 	 	 	 	335	 	 	 	73	123	 	 
Aragoiânia	2011										305				42	63		
Aragoiânia	2012										355				24			
Aragoiânia	2013										347				47			
Aragoiânia	2014										348				14			
Aragoiânia	2015										383							
Aragoiânia	2016										342							
Aragoiânia	2017										288					72		
Aragoiânia	2018						0	0	0	0	280	0	0	0	0	97	0	0
Araguapaz	2002										463					60		
Araguapaz	2003										490				65	170		
Araguapaz	2004										470				67	99		
Araguapaz	2005										410				71			
Araguapaz	2006										347				18			
Araguapaz	2007										317							
Araguapaz	2008										275							
Araguapaz	2009										293							
Araguapaz	2010						 	 	 	 	316	 	 	 	 	 	 	 
Araguapaz	2011										309							
Araguapaz	2012										297							
Araguapaz	2013										255							
Araguapaz	2014										250							
Araguapaz	2015										231				68			
Araguapaz	2016										215				55			
Araguapaz	2017										187				73			
Araguapaz	2018						0	0	0	0	241	0	0	0	57	0	0	0
Arenópolis	2002										134				91			
Arenópolis	2003										135				73			
Arenópolis	2004										127				107			
Arenópolis	2005										153				84			
Arenópolis	2006										116				87			
Arenópolis	2007										129				74			
Arenópolis	2008										120				70			
Arenópolis	2009										137				64			
Arenópolis	2010						 	 	 	 	109	 	 	 	64	 	 	 
Arenópolis	2011										111				43			
Arenópolis	2012										103				28			
Arenópolis	2013										102				49			
Arenópolis	2014										91				33			
Arenópolis	2015										81				52			
Arenópolis	2016										76				37			
Arenópolis	2017										79				60	10		
Arenópolis	2018						0	0	0	0	87	0	0	0	41	12	0	0
Aruanã	2002		107								276							
Aruanã	2003		105								290							
Aruanã	2004		151								287							
Aruanã	2005		146								281					14		
Aruanã	2006		81								301					15		
Aruanã	2007		88								268							
Aruanã	2008		32								254					4		
Aruanã	2009		32								269					39		
Aruanã	2010						 	 	 	 	294	 	 	 	 	31	 	 
Aruanã	2011										308					19		
Aruanã	2012										318					40		
Aruanã	2013										259					43		84
Aruanã	2014										278					52		166
Aruanã	2015										268					58		
Aruanã	2016										260					87		
Aruanã	2017										239					93		
Aruanã	2018						0	0	0	0	294	0	0	0	0	64	0	0
Aurilândia	2002										242					20		
Aurilândia	2003										264					23		
Aurilândia	2004										260					14		
Aurilândia	2005										236							
Aurilândia	2006										193							
Aurilândia	2007										178							
Aurilândia	2008										185							
Aurilândia	2009										179							
Aurilândia	2010						 	 	 	 	173	 	 	 	 	 	 	 
Aurilândia	2011										156							
Aurilândia	2012										135							
Aurilândia	2013										126							
Aurilândia	2014										97							
Aurilândia	2015										102							
Aurilândia	2016										71							
Aurilândia	2017										48					27		
Aurilândia	2018						0	0	0	0	41	0	0	0	0	25	0	0
Avelinópolis	2002										205							
Avelinópolis	2003										215							
Avelinópolis	2004										249							
Avelinópolis	2005										160							
Avelinópolis	2006										132							
Avelinópolis	2007										115							
Avelinópolis	2008										126							
Avelinópolis	2009										143							
Avelinópolis	2010						 	 	 	 	120	 	 	 	35	 	 	 
Avelinópolis	2011										110				26			
Avelinópolis	2012										103				18			
Avelinópolis	2013										90				14			
Avelinópolis	2014										95				34			
Avelinópolis	2015										103				30			
Avelinópolis	2016										104							
Avelinópolis	2017										109				24	15		
Avelinópolis	2018						0	0	0	0	88	0	0	0	12	45	0	0
Baliza	2002										117				25			
Baliza	2003										87				30			
Baliza	2004										107				9			
Baliza	2005										113							
Baliza	2006										144							
Baliza	2007										159							
Baliza	2008										136							
Baliza	2009										165							
Baliza	2010						 	 	 	 	180	 	 	 	 	 	 	 
Baliza	2011										145							
Baliza	2012										142							
Baliza	2013										143							
Baliza	2014										117							
Baliza	2015										118							
Baliza	2016										120							
Baliza	2017										106					16		
Baliza	2018						0	0	0	0	95	0	0	0	0	14	0	0
Barro Alto	2002										344				192	284		
Barro Alto	2003										358				265	244		
Barro Alto	2004										334				157	241		
Barro Alto	2005										360				100	220		
Barro Alto	2006										364				98	152		
Barro Alto	2007										392				102	155		
Barro Alto	2008										466				34	119		
Barro Alto	2009										439				22	65		
Barro Alto	2010						 	 	 	 	482	 	 	 	29	9	 	 
Barro Alto	2011										450				23			
Barro Alto	2012										445				22			
Barro Alto	2013										403				38			269
Barro Alto	2014										332				66			292
Barro Alto	2015										359				37			252
Barro Alto	2016										341				65			180
Barro Alto	2017										307				42	50		167
Barro Alto	2018						0	0	0	0	368	0	0	0	71	51	0	134
Bela Vista de Goiás	2002										507			87				393
Bela Vista de Goiás	2003										532			84				392
Bela Vista de Goiás	2004										587			105		526		148
Bela Vista de Goiás	2005										563			114		483		99
Bela Vista de Goiás	2006										748			120		428		
Bela Vista de Goiás	2007										842			43		154		
Bela Vista de Goiás	2008										824			47		276		
Bela Vista de Goiás	2009										798			46		253		
Bela Vista de Goiás	2010						 	 	 	 	781	 	 	50	 	246	 	 
Bela Vista de Goiás	2011										797			97	17	116		
Bela Vista de Goiás	2012										745			132	16	101		
Bela Vista de Goiás	2013										785			119	29	73		
Bela Vista de Goiás	2014										832			102	14	84		
Bela Vista de Goiás	2015										900			112	28	125		
Bela Vista de Goiás	2016										921			123	33	193		
Bela Vista de Goiás	2017										729			167	31	189		
Bela Vista de Goiás	2018						0	0	0	0	806	0	0	161	18	262	0	0
Bom Jardim de Goiás	2002										349				53	233		
Bom Jardim de Goiás	2003										304				60	294		
Bom Jardim de Goiás	2004										318				49	259		
Bom Jardim de Goiás	2005										270				36	184		
Bom Jardim de Goiás	2006										317				24	158		
Bom Jardim de Goiás	2007										291				16	116		
Bom Jardim de Goiás	2008										318				26	88		
Bom Jardim de Goiás	2009										307					101		
Bom Jardim de Goiás	2010						 	 	 	 	349	 	 	 	 	73	 	 
Bom Jardim de Goiás	2011										302					33		
Bom Jardim de Goiás	2012										313					58		
Bom Jardim de Goiás	2013										271					48		
Bom Jardim de Goiás	2014										299					61		
Bom Jardim de Goiás	2015										294					55		
Bom Jardim de Goiás	2016										255					70		
Bom Jardim de Goiás	2017										235					83		
Bom Jardim de Goiás	2018						0	0	0	0	226	0	0	0	0	103	0	0
Bom Jesus de Goiás	2002										630			23	739			150
Bom Jesus de Goiás	2003										603			29	789	179		134
Bom Jesus de Goiás	2004										628			26	706	347		101
Bom Jesus de Goiás	2005										715			33	728	265		
Bom Jesus de Goiás	2006										769			33	773	271		
Bom Jesus de Goiás	2007										789			29	606	180		
Bom Jesus de Goiás	2008										624			49	381	134		
Bom Jesus de Goiás	2009										769			54	255	88		
Bom Jesus de Goiás	2010						 	 	 	 	771	 	 	64	258	81	 	 
Bom Jesus de Goiás	2011										631			60	247	86		
Bom Jesus de Goiás	2012										630			53	410	128		
Bom Jesus de Goiás	2013										611			45	294	98		
Bom Jesus de Goiás	2014										638			45	283	84		
Bom Jesus de Goiás	2015										661			35	185	119		
Bom Jesus de Goiás	2016										650			34	270	114		
Bom Jesus de Goiás	2017										627			16	235	179		
Bom Jesus de Goiás	2018						0	0	0	0	673	0	0	29	256	215	0	0
Bonfinópolis	2002										236							
Bonfinópolis	2003										289				60			
Bonfinópolis	2004										300				54			
Bonfinópolis	2005										317				65			
Bonfinópolis	2006										349				41	27		
Bonfinópolis	2007										297				44	87		
Bonfinópolis	2008										284				53	140		
Bonfinópolis	2009										304				36	132		
Bonfinópolis	2010						 	 	 	 	304	 	 	 	38	126	 	 
Bonfinópolis	2011										296				22	67		
Bonfinópolis	2012										351				35	61		
Bonfinópolis	2013										353				21	108		
Bonfinópolis	2014										332				10	96		
Bonfinópolis	2015										313				34	71		
Bonfinópolis	2016										343				35	51		
Bonfinópolis	2017										316				14	103		
Bonfinópolis	2018						0	0	0	0	334	0	0	0	9	107	0	0
Bonópolis	2002										119							
Bonópolis	2003										118				69			
Bonópolis	2004										147				92			
Bonópolis	2005										191				68			
Bonópolis	2006										235				68			
Bonópolis	2007										210				93			
Bonópolis	2008										200				70			
Bonópolis	2009										232				76			
Bonópolis	2010						 	 	 	 	227	 	 	 	67	 	 	 
Bonópolis	2011										203				67			
Bonópolis	2012										150				47			
Bonópolis	2013										145				62			
Bonópolis	2014										152							
Bonópolis	2015										139							
Bonópolis	2016										168							
Bonópolis	2017										137					4		
Bonópolis	2018						0	0	0	0	132	0	0	0	0	11	0	0
Brazabrantes	2002										79							
Brazabrantes	2003										101							
Brazabrantes	2004										117							
Brazabrantes	2005										132							
Brazabrantes	2006										171							
Brazabrantes	2007										128							
Brazabrantes	2008										117							
Brazabrantes	2009										113							
Brazabrantes	2010						 	 	 	 	146	 	 	 	 	 	 	 
Brazabrantes	2011										125							
Brazabrantes	2012										99							
Brazabrantes	2013										89							
Brazabrantes	2014										99							
Brazabrantes	2015										123							
Brazabrantes	2016										113							
Brazabrantes	2017										108					14		
Brazabrantes	2018						0	0	0	0	113	0	0	0	0	17	0	0
Britânia	2002										330				44			
Britânia	2003										299				74			
Britânia	2004										287				69			
Britânia	2005										277				55			
Britânia	2006										315				33			
Britânia	2007										259				40			
Britânia	2008										325				40			
Britânia	2009										308				40			
Britânia	2010						 	 	 	 	280	 	 	 	48	 	 	 
Britânia	2011										266				34			
Britânia	2012										252				13			
Britânia	2013										224				26			
Britânia	2014										221				21			
Britânia	2015										243				10			
Britânia	2016										232				11			
Britânia	2017										226				16	23		
Britânia	2018						0	0	0	0	234	0	0	0	11	27	0	0
Buriti Alegre	2002										312			23		142		
Buriti Alegre	2003										290			33		241		
Buriti Alegre	2004										304			31		289		
Buriti Alegre	2005										283			35		265		
Buriti Alegre	2006										332			37		264		
Buriti Alegre	2007										317			27		142		
Buriti Alegre	2008										277			27		175		
Buriti Alegre	2009										293			26		135		
Buriti Alegre	2010						 	 	 	 	320	 	 	26	 	137	 	 
Buriti Alegre	2011										360					76		
Buriti Alegre	2012										284					70		
Buriti Alegre	2013										260					61		
Buriti Alegre	2014										268					59		
Buriti Alegre	2015										335					57		
Buriti Alegre	2016										343					110		
Buriti Alegre	2017										302					110		
Buriti Alegre	2018						0	0	0	0	285	0	0	0	0	93	0	0
Buriti de Goiás	2002										149							
Buriti de Goiás	2003										156				12			
Buriti de Goiás	2004										155				11			
Buriti de Goiás	2005										142							
Buriti de Goiás	2006										162							
Buriti de Goiás	2007										142							
Buriti de Goiás	2008										132							
Buriti de Goiás	2009										136							
Buriti de Goiás	2010						 	 	 	 	122	 	 	 	 	 	 	 
Buriti de Goiás	2011										117							
Buriti de Goiás	2012										103							
Buriti de Goiás	2013										106							
Buriti de Goiás	2014										125							
Buriti de Goiás	2015										139							
Buriti de Goiás	2016										117							
Buriti de Goiás	2017										95					8		
Buriti de Goiás	2018						0	0	0	0	99	0	0	0	0	13	0	0
Buritinópolis	2002										130					162		
