Localidade;Ano;Instituições de Crédito, Seguro e de Capitalização;Administradoras de Imóveis, Valores Mobiliários, Serviços Técnicos, Profissionais, Auxiliar de Atividade Econômica;Transporte e Comunicações;Serviços de Alojamento, Alimentação, Reparo, Manutenção, Radiodifusão e Televisão;Serviços Médicos, Odontológicos e Veterinários;Ensino
Uruaçu;2008;43;100;61;307;102;93
Uruaçu;2009;48;191;125;400;107;142
Uruaçu;2010;54;363;165;484;126;165
Uruaçu;2011;84;212;168;430;122;228
Uruaçu;2012;88;351;241;406;122;246
Uruaçu;2013;79;256;230;447;123;283
Uruaçu;2014;71;234;239;461;134;304
Uruaçu;2015;76;196;201;421;131;331
Uruaçu;2016;68;248;203;430;112;312
Uruaçu;2017;79;449;221;451;132;304
Uruaçu;2018;77;491;258;480;150;336
Uruana;1999;14;2;35;15;17;1
Uruana;2000;13;5;19;14;19;1
Uruana;2001;10;7;2;13;12;  
Uruana;2002;12;5;27;18;12;1
Uruana;2003;10;4;27;20;14;5
Uruana;2004;10;5;30;21;15;9
Uruana;2005;10;6;32;29;16;8
Uruana;2006;11;2;39;28;18;8
Uruana;2007;11;3;43;24;15;7
Uruana;2008;11;3;34;21;12;11
Uruana;2009;11;15;47;29;13;14
Uruana;2010;12;11;49;28;14;10
Uruana;2011;15;12;30;19;15;10
Uruana;2012;15;8;33;39;5;10
Uruana;2013;21;6;23;38;17;13
Uruana;2014;20;13;9;51;15;13
Uruana;2015;21;10;10;56;13;15
Uruana;2016;20;15;16;54;16;19
Uruana;2017;18;14;19;42;7;20
Uruana;2018;17;17;17;38;7;17
Urutaí;1999;4;  ;1;16;  ;  
Urutaí;2000;5;  ;1;20;  ;  
Urutaí;2001;3;  ;2;34;  ;  
Urutaí;2002;4;;2;39;;
Urutaí;2003;4;;2;7;;117
Urutaí;2004;3;  ;1;9;  ;145
Urutaí;2005;1;  ;1;4;  ;  
Urutaí;2006;1;  ;2;6;  ;176
Urutaí;2007;1;  ;2;5;  ;205
Urutaí;2008;1;  ;5;2;  ;242
Urutaí;2009;1;1;5;4;  ;304
Urutaí;2010;1;1;4;7;  ;203
Urutaí;2011;1;1;2;9;;210
Urutaí;2012;1;1;2;10;3;221
Urutaí;2013;1;1;3;9;1;229
Urutaí;2014;1;1;7;11;1;283
Urutaí;2015;1;2;6;10;2;319
Urutaí;2016;1;1;5;8;2;240
Urutaí;2017;;1;4;11;2;248
Urutaí;2018;4;1;2;21;2;250
Valparaíso de Goiás;1999;34;108;350;386;72;427
Valparaíso de Goiás;2000;46;137;363;361;104;468
Valparaíso de Goiás;2001;63;192;403;394;113;597
Valparaíso de Goiás;2002;68;263;363;429;158;671
Valparaíso de Goiás;2003;68;214;454;463;160;694
Valparaíso de Goiás;2004;61;243;424;496;177;696
Valparaíso de Goiás;2005;68;669;430;824;186;730
Valparaíso de Goiás;2006;71;777;472;450;161;764
Valparaíso de Goiás;2007;70;759;472;518;152;767
Valparaíso de Goiás;2008;82;937;472;496;172;827
Valparaíso de Goiás;2009;101;1106;478;623;180;804
Valparaíso de Goiás;2010;118;1094;688;715;265;832
Valparaíso de Goiás;2011;96;1931;741;787;247;867
Valparaíso de Goiás;2012;125;2240;703;900;274;1035
Valparaíso de Goiás;2013;145;1917;725;1198;357;1039
Valparaíso de Goiás;2014;146;2245;373;1238;312;1006
Valparaíso de Goiás;2015;145;2689;293;1178;348;1027
Valparaíso de Goiás;2016;144;2355;608;1173;367;1021
Valparaíso de Goiás;2017;119;2151;626;1215;434;1086
Valparaíso de Goiás;2018;141;2161;666;1212;487;1170
Varjão;1999;  ;  ;2;3;  ;  
Varjão;2000;  ;  ;2;4;  ;  
Varjão;2001;  ;  ;2;8;  ;  
Varjão;2002;;;4;15;;
Varjão;2003;11;1;5;2;;
Varjão;2004;12;  ;6;2;  ;  
Varjão;2005;  ;  ;6;13;  ;  
Varjão;2006;  ;  ;9;13;  ;  
Varjão;2007;  ;  ;9;19;  ;  
Varjão;2008;  ;  ;17;13;  ;  
Varjão;2009;  ;1;15;10;  ;  
Varjão;2010;  ;7;16;15;  ;  
Varjão;2011;5;4;10;12;;
Varjão;2012;5;5;10;3;;
Varjão;2013;5;6;9;2;;
Varjão;2014;5;6;8;6;;
Varjão;2015;6;3;12;6;;
Varjão;2016;6;3;10;7;;1
Varjão;2017;6;3;6;7;;3
Varjão;2018;7;2;8;5;  ;1
Vianópolis;1999;21;16;2;24;14;10
Vianópolis;2000;20;16;10;37;19;15
Vianópolis;2001;19;14;15;35;19;8
Vianópolis;2002;22;20;14;46;21;13
Vianópolis;2003;23;40;7;78;22;15
Vianópolis;2004;18;21;8;79;18;14
Vianópolis;2005;20;11;6;67;23;14
Vianópolis;2006;21;18;7;68;33;14
Vianópolis;2007;16;11;17;83;37;10
Vianópolis;2008;18;14;15;96;34;11
Vianópolis;2009;19;21;10;95;37;10
Vianópolis;2010;24;29;18;110;25;12
Vianópolis;2011;26;27;19;155;14;11
Vianópolis;2012;19;37;23;176;25;11
Vianópolis;2013;29;45;25;168;25;16
Vianópolis;2014;36;42;30;186;28;15
Vianópolis;2015;38;55;35;128;27;17
Vianópolis;2016;38;58;28;120;29;16
Vianópolis;2017;39;54;74;136;24;14
Vianópolis;2018;40;118;79;126;39;15
Vicentinópolis;1999;13;3;59;2;3;  
Vicentinópolis;2000;15;2;51;3;3;  
Vicentinópolis;2001;11;1;52;2;5;  
Vicentinópolis;2002;14;2;105;13;2;
Vicentinópolis;2003;15;4;23;13;4;1
Vicentinópolis;2004;10;3;22;12;2;  
Vicentinópolis;2005;12;4;48;9;1;1
Vicentinópolis;2006;9;4;40;3;2;  
Vicentinópolis;2007;10;3;40;5;3;  
Vicentinópolis;2008;9;13;38;15;5;  
Vicentinópolis;2009;10;9;48;10;5;2
Vicentinópolis;2010;10;10;48;15;7;2
Vicentinópolis;2011;11;15;129;18;5;2
Vicentinópolis;2012;10;13;125;22;6;2
Vicentinópolis;2013;9;18;158;21;3;3
Vicentinópolis;2014;10;12;233;17;7;4
Vicentinópolis;2015;10;15;300;27;6;1
Vicentinópolis;2016;9;13;173;23;8;3
Vicentinópolis;2017;8;36;181;19;8;1
Vicentinópolis;2018;10;46;174;23;11;1
Vila Boa;1999;  ;  ;  ;4;  ;  
Vila Boa;2000;  ;  ;  ;  ;  ;  
Vila Boa;2001;  ;  ;  ;  ;  ;  
Vila Boa;2002;;;7;;;
Vila Boa;2003;;6;2;8;;
Vila Boa;2004;  ;3;3;9;  ;  
Vila Boa;2005;  ;3;2;13;  ;  
Vila Boa;2006;  ;3;2;18;  ;  
Vila Boa;2007;  ;3;3;23;  ;  
Vila Boa;2008;  ;3;9;2;  ;  
Vila Boa;2009;  ;  ;3;40;  ;  
Vila Boa;2010;  ;  ;4;38;  ;  
Vila Boa;2011;;;3;15;;
Vila Boa;2012;;;4;30;;
Vila Boa;2013;;;4;23;;
Vila Boa;2014;;;4;27;;
Vila Boa;2015;;;3;15;;
Vila Boa;2016;;2;2;23;;1
Vila Boa;2017;;3;2;4;;1
Vila Boa;2018;  ;21;5;26;  ;  
Vila Propício;1999;  ;  ;  ;  ;  ;  
Vila Propício;2000;  ;  ;  ;  ;  ;  
Vila Propício;2001;  ;  ;  ;  ;  ;  
Vila Propício;2002;;;;;;
Vila Propício;2003;;;;1;;
Vila Propício;2004;  ;  ;  ;1;  ;  
Vila Propício;2005;  ;  ;1;8;  ;  
Vila Propício;2006;  ;4;1;7;  ;  
Vila Propício;2007;  ;  ;3;10;  ;  
Vila Propício;2008;  ;  ;2;17;  ;  
Vila Propício;2009;  ;  ;1;17;  ;  
Vila Propício;2010;  ;  ;3;18;  ;  
Vila Propício;2011;;2;1;8;;
Vila Propício;2012;;;2;20;;
Vila Propício;2013;;3;11;41;;4
Vila Propício;2014;;5;6;107;2;9
Vila Propício;2015;;4;3;25;;
Vila Propício;2016;;3;2;23;;
Vila Propício;2017;;4;3;28;;
Vila Propício;2018;  ;29;2;31;  ;  
