Localidade;Ano;PopulacaoContagemTotal;PopulacaoContagemMasculina;PopulacaoContagemFeminina;PopulacaoContagemUrbana;PopulacaoContagemRural;PopulacaoContagem0-4;PopulacaoContagem5-9;PopulacaoContagem10-14;PopulacaoContagem15-19;PopulacaoContagem20-29;PopulacaoContagem30-39;PopulacaoContagem40-49;PopulacaoContagem50-59;PopulacaoContagem60-69;PopulacaoContagem70-79;PopulacaoContagem80;PopulacaoContagemIdadeIgnorada
Bonfinópolis;2014;;;;;;;;;;;;;;;;;
Bonfinópolis;2015;;;;;;;;;;;;;;;;;
Bonfinópolis;2016;;;;;;;;;;;;;;;;;
Bonfinópolis;2017;;;;;;;;;;;;;;;;;
Bonfinópolis;2018;;;;;;;;;;;;;;;;;
Bonfinópolis;2019;;;;;;;;;;;;;;;;;
Bonfinópolis;2020;;;;;;;;;;;;;;;;;
Bonópolis;1996;;;;;;;;;;;;;;;;;
Bonópolis;2007;3160;1655;1505;1265;1895;248;232;257;240;464;387;276;228;127;70;29;
Bonópolis;2011;;;;;;;;;;;;;;;;;
Bonópolis;2012;;;;;;;;;;;;;;;;;
Bonópolis;2013;;;;;;;;;;;;;;;;;
Bonópolis;2014;;;;;;;;;;;;;;;;;
Bonópolis;2015;;;;;;;;;;;;;;;;;
Bonópolis;2016;;;;;;;;;;;;;;;;;
Bonópolis;2017;;;;;;;;;;;;;;;;;
Bonópolis;2018;;;;;;;;;;;;;;;;;
Bonópolis;2019;;;;;;;;;;;;;;;;;
Bonópolis;2020;;;;;;;;;;;;;;;;;
Brazabrantes;1996;2606;1368;1238;1535;1071;265;294;270;231;454;408;269;193;138;60;21;3
Brazabrantes;2007;3142;1568;1487;2096;1046;217;201;282;334;533;498;441;282;210;98;49;
Brazabrantes;2011;;;;;;;;;;;;;;;;;
Brazabrantes;2012;;;;;;;;;;;;;;;;;
Brazabrantes;2013;;;;;;;;;;;;;;;;;
Brazabrantes;2014;;;;;;;;;;;;;;;;;
Brazabrantes;2015;;;;;;;;;;;;;;;;;
Brazabrantes;2016;;;;;;;;;;;;;;;;;
Brazabrantes;2017;;;;;;;;;;;;;;;;;
Brazabrantes;2018;;;;;;;;;;;;;;;;;
Brazabrantes;2019;;;;;;;;;;;;;;;;;
Brazabrantes;2020;;;;;;;;;;;;;;;;;
Britânia;1996;5346;2715;2631;4432;914;547;571;709;586;971;743;532;349;220;87;30;1
Britânia;2007;5073;2568;2458;4085;988;476;469;482;512;1074;920;762;498;334;178;70;
Britânia;2011;;;;;;;;;;;;;;;;;
Britânia;2012;;;;;;;;;;;;;;;;;
Britânia;2013;;;;;;;;;;;;;;;;;
Britânia;2014;;;;;;;;;;;;;;;;;
Britânia;2015;;;;;;;;;;;;;;;;;
Britânia;2016;;;;;;;;;;;;;;;;;
Britânia;2017;;;;;;;;;;;;;;;;;
Britânia;2018;;;;;;;;;;;;;;;;;
Britânia;2019;;;;;;;;;;;;;;;;;
Britânia;2020;;;;;;;;;;;;;;;;;
Buriti Alegre;1996;9057;4599;4458;7703;1354;784;778;756;817;1652;1250;1075;863;583;347;132;20
Buriti Alegre;2007;8287;4134;4120;7525;762;619;648;667;704;1274;1327;1184;910;717;444;215;
Buriti Alegre;2011;;;;;;;;;;;;;;;;;
Buriti Alegre;2012;;;;;;;;;;;;;;;;;
Buriti Alegre;2013;;;;;;;;;;;;;;;;;
Buriti Alegre;2014;;;;;;;;;;;;;;;;;
Buriti Alegre;2015;;;;;;;;;;;;;;;;;
Buriti Alegre;2016;;;;;;;;;;;;;;;;;
Buriti Alegre;2017;;;;;;;;;;;;;;;;;
Buriti Alegre;2018;;;;;;;;;;;;;;;;;
Buriti Alegre;2019;;;;;;;;;;;;;;;;;
Buriti Alegre;2020;;;;;;;;;;;;;;;;;
Buriti de Goiás;1996;2432;1270;1162;1398;1034;214;257;299;237;425;392;237;181;114;49;26;1
Buriti de Goiás;2007;2238;1113;1100;1487;751;225;232;246;264;566;477;481;292;217;129;49;
Buriti de Goiás;2011;;;;;;;;;;;;;;;;;
Buriti de Goiás;2012;;;;;;;;;;;;;;;;;
Buriti de Goiás;2013;;;;;;;;;;;;;;;;;
Buriti de Goiás;2014;;;;;;;;;;;;;;;;;
Buriti de Goiás;2015;;;;;;;;;;;;;;;;;
Buriti de Goiás;2016;;;;;;;;;;;;;;;;;
Buriti de Goiás;2017;;;;;;;;;;;;;;;;;
Buriti de Goiás;2018;;;;;;;;;;;;;;;;;
Buriti de Goiás;2019;;;;;;;;;;;;;;;;;
Buriti de Goiás;2020;;;;;;;;;;;;;;;;;
Buritinópolis;1996;3379;1763;1616;1562;1817;392;445;515;429;515;405;254;224;112;53;24;11
Buritinópolis;2007;3442;1784;1654;1842;1600;389;357;381;380;707;463;414;246;210;81;41;
Buritinópolis;2011;;;;;;;;;;;;;;;;;
Buritinópolis;2012;;;;;;;;;;;;;;;;;
Buritinópolis;2013;;;;;;;;;;;;;;;;;
Buritinópolis;2014;;;;;;;;;;;;;;;;;
Buritinópolis;2015;;;;;;;;;;;;;;;;;
Buritinópolis;2016;;;;;;;;;;;;;;;;;
Buritinópolis;2017;;;;;;;;;;;;;;;;;
Buritinópolis;2018;;;;;;;;;;;;;;;;;
Buritinópolis;2019;;;;;;;;;;;;;;;;;
Buritinópolis;2020;;;;;;;;;;;;;;;;;
Cabeceiras;1996;5973;3113;2860;4385;1588;650;725;730;752;1014;795;581;349;227;90;43;17
Cabeceiras;2007;6610;3315;3195;5261;1349;738;713;643;652;1325;988;830;559;338;155;69;
Cabeceiras;2011;;;;;;;;;;;;;;;;;
Cabeceiras;2012;;;;;;;;;;;;;;;;;
Cabeceiras;2013;;;;;;;;;;;;;;;;;
Cabeceiras;2014;;;;;;;;;;;;;;;;;
Cabeceiras;2015;;;;;;;;;;;;;;;;;
Cabeceiras;2016;;;;;;;;;;;;;;;;;
Cabeceiras;2017;;;;;;;;;;;;;;;;;
Cabeceiras;2018;;;;;;;;;;;;;;;;;
Cabeceiras;2019;;;;;;;;;;;;;;;;;
Cabeceiras;2020;;;;;;;;;;;;;;;;;
Cachoeira Alta;1996;8272;4298;3974;5502;2770;763;719;825;790;1537;1217;892;748;454;229;86;12
Cachoeira Alta;2007;8103;4130;3714;5965;2138;658;695;675;703;1461;1327;1147;873;637;349;161;
Cachoeira Alta;2011;;;;;;;;;;;;;;;;;
Cachoeira Alta;2012;;;;;;;;;;;;;;;;;
Cachoeira Alta;2013;;;;;;;;;;;;;;;;;
Cachoeira Alta;2014;;;;;;;;;;;;;;;;;
Cachoeira Alta;2015;;;;;;;;;;;;;;;;;
Cachoeira Alta;2016;;;;;;;;;;;;;;;;;
Cachoeira Alta;2017;;;;;;;;;;;;;;;;;
Cachoeira Alta;2018;;;;;;;;;;;;;;;;;
Cachoeira Alta;2019;;;;;;;;;;;;;;;;;
Cachoeira Alta;2020;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;1996;1372;721;651;1144;228;95;156;159;112;250;221;150;101;79;30;19;
Cachoeira de Goiás;2007;1410;735;675;1106;304;136;137;126;137;235;239;208;139;101;66;24;
Cachoeira de Goiás;2011;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2012;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2013;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2014;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2015;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2016;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2017;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2018;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2019;;;;;;;;;;;;;;;;;
Cachoeira de Goiás;2020;;;;;;;;;;;;;;;;;
Cachoeira Dourada;1996;8225;4265;3960;3622;4603;763;868;847;824;1429;1291;843;622;441;187;76;34
Cachoeira Dourada;2007;7567;3850;3667;5085;2482;627;630;682;767;1501;1273;1232;813;539;345;131;
Cachoeira Dourada;2011;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2012;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2013;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2014;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2015;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2016;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2017;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2018;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2019;;;;;;;;;;;;;;;;;
Cachoeira Dourada;2020;;;;;;;;;;;;;;;;;
Caçu;1996;10411;5332;5079;8251;2160;902;1008;1066;1017;1889;1605;1199;801;538;280;103;3
Caçu;2007;10892;5533;5282;8543;2349;704;716;760;857;1634;1535;1349;1092;759;421;181;
Caçu;2011;;;;;;;;;;;;;;;;;
Caçu;2012;;;;;;;;;;;;;;;;;
Caçu;2013;;;;;;;;;;;;;;;;;
Caçu;2014;;;;;;;;;;;;;;;;;
Caçu;2015;;;;;;;;;;;;;;;;;
Caçu;2016;;;;;;;;;;;;;;;;;
Caçu;2017;;;;;;;;;;;;;;;;;
Caçu;2018;;;;;;;;;;;;;;;;;
Caçu;2019;;;;;;;;;;;;;;;;;
Caçu;2020;;;;;;;;;;;;;;;;;
Caiapônia;1996;14223;7265;6958;10499;3724;1416;1395;1451;1344;2631;2190;1557;1136;625;331;121;26
Caiapônia;2007;15747;7912;7708;11493;4254;1178;1189;1311;1373;2489;2441;2133;1426;1040;503;238;
Caiapônia;2011;;;;;;;;;;;;;;;;;
Caiapônia;2012;;;;;;;;;;;;;;;;;
Caiapônia;2013;;;;;;;;;;;;;;;;;
Caiapônia;2014;;;;;;;;;;;;;;;;;
Caiapônia;2015;;;;;;;;;;;;;;;;;
Caiapônia;2016;;;;;;;;;;;;;;;;;
Caiapônia;2017;;;;;;;;;;;;;;;;;
Caiapônia;2018;;;;;;;;;;;;;;;;;
Caiapônia;2019;;;;;;;;;;;;;;;;;
Caiapônia;2020;;;;;;;;;;;;;;;;;
Caldas Novas;1996;39635;20418;19217;37057;2578;4236;4054;4094;4143;8354;6496;3989;2272;1244;536;174;43
Caldas Novas;2007;62204;30739;30869;60070;2134;6433;6468;6573;6730;13824;12212;8981;5356;2894;1375;511;
Caldas Novas;2011;;;;;;;;;;;;;;;;;
Caldas Novas;2012;;;;;;;;;;;;;;;;;
Caldas Novas;2013;;;;;;;;;;;;;;;;;
Caldas Novas;2014;;;;;;;;;;;;;;;;;
Caldas Novas;2015;;;;;;;;;;;;;;;;;
Caldas Novas;2016;;;;;;;;;;;;;;;;;
Caldas Novas;2017;;;;;;;;;;;;;;;;;
Caldas Novas;2018;;;;;;;;;;;;;;;;;
Caldas Novas;2019;;;;;;;;;;;;;;;;;
Caldas Novas;2020;;;;;;;;;;;;;;;;;
Caldazinha;1996;2635;1442;1193;846;1789;220;242;260;313;501;374;319;201;129;56;19;1
Caldazinha;2007;3157;1640;1517;1739;1418;298;304;318;323;689;588;442;337;200;106;36;
Caldazinha;2011;;;;;;;;;;;;;;;;;
Caldazinha;2012;;;;;;;;;;;;;;;;;
Caldazinha;2013;;;;;;;;;;;;;;;;;
Caldazinha;2014;;;;;;;;;;;;;;;;;
Caldazinha;2015;;;;;;;;;;;;;;;;;
Caldazinha;2016;;;;;;;;;;;;;;;;;
Caldazinha;2017;;;;;;;;;;;;;;;;;
Caldazinha;2018;;;;;;;;;;;;;;;;;
Caldazinha;2019;;;;;;;;;;;;;;;;;
Caldazinha;2020;;;;;;;;;;;;;;;;;
Campestre de Goiás;1996;2432;1277;1155;1681;751;242;238;267;260;459;381;219;194;111;38;22;1
Campestre de Goiás;2007;3411;1785;1593;2276;1135;358;365;358;356;666;601;518;317;221;97;34;
Campestre de Goiás;2011;;;;;;;;;;;;;;;;;
Campestre de Goiás;2012;;;;;;;;;;;;;;;;;
Campestre de Goiás;2013;;;;;;;;;;;;;;;;;
Campestre de Goiás;2014;;;;;;;;;;;;;;;;;
Campestre de Goiás;2015;;;;;;;;;;;;;;;;;
Campestre de Goiás;2016;;;;;;;;;;;;;;;;;
Campestre de Goiás;2017;;;;;;;;;;;;;;;;;
Campestre de Goiás;2018;;;;;;;;;;;;;;;;;
Campestre de Goiás;2019;;;;;;;;;;;;;;;;;
Campestre de Goiás;2020;;;;;;;;;;;;;;;;;
Campinaçu;1996;3848;2090;1758;1717;2131;368;423;441;402;666;557;414;285;202;71;19;
Campinaçu;2007;3765;2013;1751;2119;1646;252;251;250;249;503;473;420;315;196;105;29;
Campinaçu;2011;;;;;;;;;;;;;;;;;
Campinaçu;2012;;;;;;;;;;;;;;;;;
Campinaçu;2013;;;;;;;;;;;;;;;;;
Campinaçu;2014;;;;;;;;;;;;;;;;;
Campinaçu;2015;;;;;;;;;;;;;;;;;
Campinaçu;2016;;;;;;;;;;;;;;;;;
Campinaçu;2017;;;;;;;;;;;;;;;;;
Campinaçu;2018;;;;;;;;;;;;;;;;;
Campinaçu;2019;;;;;;;;;;;;;;;;;
Campinaçu;2020;;;;;;;;;;;;;;;;;
Campinorte;1996;8669;4364;4305;5726;2943;806;886;1058;997;1547;1260;877;584;409;167;57;21
Campinorte;2007;9697;4981;4706;7448;2249;928;966;907;950;1905;1658;1452;974;597;346;145;
Campinorte;2011;;;;;;;;;;;;;;;;;
Campinorte;2012;;;;;;;;;;;;;;;;;
Campinorte;2013;;;;;;;;;;;;;;;;;
Campinorte;2014;;;;;;;;;;;;;;;;;
Campinorte;2015;;;;;;;;;;;;;;;;;
Campinorte;2016;;;;;;;;;;;;;;;;;
Campinorte;2017;;;;;;;;;;;;;;;;;
Campinorte;2018;;;;;;;;;;;;;;;;;
Campinorte;2019;;;;;;;;;;;;;;;;;
Campinorte;2020;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;1996;4621;2413;2208;2660;1961;454;462;472;455;848;749;493;320;236;94;31;7
Campo Alegre de Goiás;2007;5767;2875;2739;4160;1607;365;361;352;358;800;755;643;429;256;158;52;
Campo Alegre de Goiás;2011;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2012;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2013;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2014;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2015;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2016;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2017;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2018;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2019;;;;;;;;;;;;;;;;;
Campo Alegre de Goiás;2020;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;1996;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2007;5596;2758;2643;4534;1062;512;516;517;514;986;871;693;428;204;93;32;
Campo Limpo de Goiás;2011;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2012;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2013;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2014;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2015;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2016;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2017;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2018;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2019;;;;;;;;;;;;;;;;;
Campo Limpo de Goiás;2020;;;;;;;;;;;;;;;;;
Campos Belos;1996;15392;7693;7699;12809;2583;1533;1950;2302;1931;2493;1953;1355;840;575;306;103;51
Campos Belos;2007;18238;9054;9171;15926;2312;1957;1878;1848;1992;3815;2553;2084;1329;851;477;212;
Campos Belos;2011;;;;;;;;;;;;;;;;;
Campos Belos;2012;;;;;;;;;;;;;;;;;
Campos Belos;2013;;;;;;;;;;;;;;;;;
Campos Belos;2014;;;;;;;;;;;;;;;;;
Campos Belos;2015;;;;;;;;;;;;;;;;;
Campos Belos;2016;;;;;;;;;;;;;;;;;
Campos Belos;2017;;;;;;;;;;;;;;;;;
Campos Belos;2018;;;;;;;;;;;;;;;;;
Campos Belos;2019;;;;;;;;;;;;;;;;;
Campos Belos;2020;;;;;;;;;;;;;;;;;
Campos Verdes;1996;13055;6834;6221;11994;1061;1686;1591;1597;1571;2628;1904;1081;585;264;107;33;8
Campos Verdes;2007;6331;3290;3020;5789;542;70;66;69;73;123;100;98;69;50;24;9;
Campos Verdes;2011;;;;;;;;;;;;;;;;;
Campos Verdes;2012;;;;;;;;;;;;;;;;;
Campos Verdes;2013;;;;;;;;;;;;;;;;;
Campos Verdes;2014;;;;;;;;;;;;;;;;;
Campos Verdes;2015;;;;;;;;;;;;;;;;;
Campos Verdes;2016;;;;;;;;;;;;;;;;;
Campos Verdes;2017;;;;;;;;;;;;;;;;;
Campos Verdes;2018;;;;;;;;;;;;;;;;;
Campos Verdes;2019;;;;;;;;;;;;;;;;;
Campos Verdes;2020;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;1996;9464;4859;4605;4946;4518;878;886;1007;967;1627;1461;1076;767;476;244;67;8
Carmo do Rio Verde;2007;8897;4583;4297;6777;2120;528;550;572;578;1191;1126;1072;801;530;298;117;
Carmo do Rio Verde;2011;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2012;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2013;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2014;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2015;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2016;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2017;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2018;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2019;;;;;;;;;;;;;;;;;
Carmo do Rio Verde;2020;;;;;;;;;;;;;;;;;
Castelândia;1996;3653;1937;1716;3275;378;357;383;414;384;691;533;384;231;181;77;16;2
Castelândia;2007;3530;1877;1639;3205;325;363;375;376;393;826;673;558;444;270;187;79;
Castelândia;2011;;;;;;;;;;;;;;;;;
Castelândia;2012;;;;;;;;;;;;;;;;;
Castelândia;2013;;;;;;;;;;;;;;;;;
Castelândia;2014;;;;;;;;;;;;;;;;;
Castelândia;2015;;;;;;;;;;;;;;;;;
Castelândia;2016;;;;;;;;;;;;;;;;;
Castelândia;2017;;;;;;;;;;;;;;;;;
Castelândia;2018;;;;;;;;;;;;;;;;;
Castelândia;2019;;;;;;;;;;;;;;;;;
Castelândia;2020;;;;;;;;;;;;;;;;;
Catalão;1996;58507;29226;29281;51822;6685;4874;5579;6398;6415;10583;9313;6967;4132;2662;1148;382;54
Catalão;2007;75623;37513;37547;70212;5411;5234;5383;5577;6081;14005;11979;10167;7229;4050;2212;858;
Catalão;2011;;;;;;;;;;;;;;;;;
Catalão;2012;;;;;;;;;;;;;;;;;
Catalão;2013;;;;;;;;;;;;;;;;;
Catalão;2014;;;;;;;;;;;;;;;;;
Catalão;2015;;;;;;;;;;;;;;;;;
Catalão;2016;;;;;;;;;;;;;;;;;
Catalão;2017;;;;;;;;;;;;;;;;;
Catalão;2018;;;;;;;;;;;;;;;;;
Catalão;2019;;;;;;;;;;;;;;;;;
Catalão;2020;;;;;;;;;;;;;;;;;
Caturaí;1996;4105;2148;1957;2798;1307;382;433;439;419;780;604;437;271;237;84;16;3
Caturaí;2007;4477;2318;2159;3341;1136;337;344;382;408;817;714;628;434;252;140;41;
Caturaí;2011;;;;;;;;;;;;;;;;;
Caturaí;2012;;;;;;;;;;;;;;;;;
Caturaí;2013;;;;;;;;;;;;;;;;;
Caturaí;2014;;;;;;;;;;;;;;;;;
Caturaí;2015;;;;;;;;;;;;;;;;;
Caturaí;2016;;;;;;;;;;;;;;;;;
Caturaí;2017;;;;;;;;;;;;;;;;;
Caturaí;2018;;;;;;;;;;;;;;;;;
Caturaí;2019;;;;;;;;;;;;;;;;;
Caturaí;2020;;;;;;;;;;;;;;;;;
Cavalcante;1996;9510;5013;4497;3062;6448;1393;1383;1397;991;1288;1038;787;577;386;152;60;58
Cavalcante;2007;9875;5094;4451;3976;5899;1302;1128;1063;1018;1584;1136;1046;750;534;324;115;
Cavalcante;2011;;;;;;;;;;;;;;;;;
Cavalcante;2012;;;;;;;;;;;;;;;;;
Cavalcante;2013;;;;;;;;;;;;;;;;;
Cavalcante;2014;;;;;;;;;;;;;;;;;
Cavalcante;2015;;;;;;;;;;;;;;;;;
Cavalcante;2016;;;;;;;;;;;;;;;;;
Cavalcante;2017;;;;;;;;;;;;;;;;;
Cavalcante;2018;;;;;;;;;;;;;;;;;
Cavalcante;2019;;;;;;;;;;;;;;;;;
Cavalcante;2020;;;;;;;;;;;;;;;;;
Ceres;1996;21951;11036;10915;17051;4900;1891;2117;2244;2242;3990;3562;2482;1600;1058;541;197;27
Ceres;2007;18637;9051;9469;17732;905;1307;1366;1535;1645;3349;2921;2779;1869;1177;659;284;
Ceres;2011;;;;;;;;;;;;;;;;;
Ceres;2012;;;;;;;;;;;;;;;;;
Ceres;2013;;;;;;;;;;;;;;;;;
Ceres;2014;;;;;;;;;;;;;;;;;
Ceres;2015;;;;;;;;;;;;;;;;;
Ceres;2016;;;;;;;;;;;;;;;;;
Ceres;2017;;;;;;;;;;;;;;;;;
Ceres;2018;;;;;;;;;;;;;;;;;
Ceres;2019;;;;;;;;;;;;;;;;;
Ceres;2020;;;;;;;;;;;;;;;;;
Cezarina;1996;6236;3272;2964;3145;3091;653;642;663;703;1211;880;612;428;279;122;39;4
Cezarina;2007;7361;3647;3432;5127;2234;564;558;638;636;1282;1169;946;613;432;242;93;
Cezarina;2011;;;;;;;;;;;;;;;;;
Cezarina;2012;;;;;;;;;;;;;;;;;
Cezarina;2013;;;;;;;;;;;;;;;;;
Cezarina;2014;;;;;;;;;;;;;;;;;
Cezarina;2015;;;;;;;;;;;;;;;;;
Cezarina;2016;;;;;;;;;;;;;;;;;
Cezarina;2017;;;;;;;;;;;;;;;;;
Cezarina;2018;;;;;;;;;;;;;;;;;
Cezarina;2019;;;;;;;;;;;;;;;;;
Cezarina;2020;;;;;;;;;;;;;;;;;
Chapadão do Céu;1996;2630;1406;1224;2016;614;403;311;249;260;612;463;206;76;36;6;3;5
Chapadão do Céu;2007;5289;2686;2508;4355;934;520;486;583;622;1067;1057;752;326;102;41;16;
Chapadão do Céu;2011;;;;;;;;;;;;;;;;;
Chapadão do Céu;2012;;;;;;;;;;;;;;;;;
Chapadão do Céu;2013;;;;;;;;;;;;;;;;;
Chapadão do Céu;2014;;;;;;;;;;;;;;;;;
Chapadão do Céu;2015;;;;;;;;;;;;;;;;;
Chapadão do Céu;2016;;;;;;;;;;;;;;;;;
Chapadão do Céu;2017;;;;;;;;;;;;;;;;;
Chapadão do Céu;2018;;;;;;;;;;;;;;;;;
Chapadão do Céu;2019;;;;;;;;;;;;;;;;;
Chapadão do Céu;2020;;;;;;;;;;;;;;;;;
Cidade Ocidental;1996;33147;16284;16863;28263;4884;3903;3593;3982;3837;6489;5414;3214;1419;762;359;114;61
Cidade Ocidental;2007;48589;22774;23838;45990;2599;5381;5170;4847;4736;10664;8334;5352;3218;1440;655;252;
Cidade Ocidental;2011;;;;;;;;;;;;;;;;;
Cidade Ocidental;2012;;;;;;;;;;;;;;;;;
Cidade Ocidental;2013;;;;;;;;;;;;;;;;;
Cidade Ocidental;2014;;;;;;;;;;;;;;;;;
Cidade Ocidental;2015;;;;;;;;;;;;;;;;;
Cidade Ocidental;2016;;;;;;;;;;;;;;;;;
Cidade Ocidental;2017;;;;;;;;;;;;;;;;;
Cidade Ocidental;2018;;;;;;;;;;;;;;;;;
Cidade Ocidental;2019;;;;;;;;;;;;;;;;;
Cidade Ocidental;2020;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;1996;12780;6672;6108;5752;7028;1393;1466;1603;1458;2241;1722;1195;823;511;231;67;70
Cocalzinho de Goiás;2007;14762;7273;6838;6096;8666;1897;1862;1665;1681;3557;2760;1939;1387;870;449;184;
Cocalzinho de Goiás;2011;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2012;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2013;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2014;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2015;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2016;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2017;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2018;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2019;;;;;;;;;;;;;;;;;
Cocalzinho de Goiás;2020;;;;;;;;;;;;;;;;;
Colinas do Sul;1996;3469;1852;1617;1821;1648;449;438;461;388;494;414;316;246;132;52;19;60
Colinas do Sul;2007;3856;2131;1725;2489;1367;443;415;394;398;633;523;400;312;228;117;43;
Colinas do Sul;2011;;;;;;;;;;;;;;;;;
Colinas do Sul;2012;;;;;;;;;;;;;;;;;
Colinas do Sul;2013;;;;;;;;;;;;;;;;;
Colinas do Sul;2014;;;;;;;;;;;;;;;;;
Colinas do Sul;2015;;;;;;;;;;;;;;;;;
Colinas do Sul;2016;;;;;;;;;;;;;;;;;
Colinas do Sul;2017;;;;;;;;;;;;;;;;;
Colinas do Sul;2018;;;;;;;;;;;;;;;;;
Colinas do Sul;2019;;;;;;;;;;;;;;;;;
Colinas do Sul;2020;;;;;;;;;;;;;;;;;
Córrego do Ouro;1996;3204;1653;1551;1612;1592;298;334;309;332;584;439;386;294;145;63;17;3
Córrego do Ouro;2007;2633;1325;1284;1571;1062;181;179;209;242;424;427;383;307;216;103;29;
Córrego do Ouro;2011;;;;;;;;;;;;;;;;;
Córrego do Ouro;2012;;;;;;;;;;;;;;;;;
Córrego do Ouro;2013;;;;;;;;;;;;;;;;;
Córrego do Ouro;2014;;;;;;;;;;;;;;;;;
Córrego do Ouro;2015;;;;;;;;;;;;;;;;;
Córrego do Ouro;2016;;;;;;;;;;;;;;;;;
Córrego do Ouro;2017;;;;;;;;;;;;;;;;;
Córrego do Ouro;2018;;;;;;;;;;;;;;;;;
Córrego do Ouro;2019;;;;;;;;;;;;;;;;;
Córrego do Ouro;2020;;;;;;;;;;;;;;;;;
Corumbá de Goiás;1996;8643;4500;4143;4534;4109;809;932;1126;956;1359;1092;918;667;438;224;96;26
Corumbá de Goiás;2007;9190;4664;4340;5448;3742;970;985;850;881;1731;1432;1157;890;610;330;162;
Corumbá de Goiás;2011;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2012;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2013;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2014;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2015;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2016;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2017;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2018;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2019;;;;;;;;;;;;;;;;;
Corumbá de Goiás;2020;;;;;;;;;;;;;;;;;
Corumbaíba;1996;5970;3146;2824;4044;1926;578;577;534;540;1062;909;676;537;331;159;58;9
Corumbaíba;2007;8001;4026;3708;6107;1894;574;547;621;639;1285;1282;1015;732;530;258;130;
Corumbaíba;2011;;;;;;;;;;;;;;;;;
Corumbaíba;2012;;;;;;;;;;;;;;;;;
Corumbaíba;2013;;;;;;;;;;;;;;;;;
Corumbaíba;2014;;;;;;;;;;;;;;;;;
Corumbaíba;2015;;;;;;;;;;;;;;;;;
Corumbaíba;2016;;;;;;;;;;;;;;;;;
Corumbaíba;2017;;;;;;;;;;;;;;;;;
Corumbaíba;2018;;;;;;;;;;;;;;;;;
