Localidade	Ano	Existentes/Federal	Existentes/Estadual	Existentes/Municipal	Existentes/Particular	Utilizadas/Federal	Utilizadas/Estadual	Utilizadas/Municipal	Utilizadas/Particular
Goiás	2012	2	96	105	43	2	84	101	44
Goiás	2013	5	93	103	52	5	96	100	43
Goiás	2014	7	94	91	60	7	89	92	49
Goiás	2015	9	107	99	55	9	105	87	51
Goiás	2016	9	109	106	55	9	87	105	47
Goiás	2017	16	97	98	43	1	78	97	38
Goiás	2018	13	100	93	54	1	78	93	46
Hidrolândia	2015	6	39	86	9	6	34	86	8
Hidrolândia	2016	6	40	88		6	33	86	
Hidrolândia	2017	8	40	87		8	33	87	
Hidrolândia	2018	9	41	93	0	9	33	90	0
Inhumas	2007	19	103	121	90				
Inhumas	2008	19	109	115	89	19	99	115	85
Inhumas	2009	19	111	109	117	18	94	109	98
Inhumas	2010	19	123	108	109	18	91	108	93
Inhumas	2011	19	108	110	126	18	81	110	101
Inhumas	2012	19	93	115	119	18	80	115	98
Inhumas	2013	19	84	139	119	18	86	123	101
Inhumas	2014	19	85	140	127	18	94	121	104
Inhumas	2015	19	95	129	114	18	98	125	95
Inhumas	2016	19	99	125	115	18	92	122	97
Inhumas	2017	15	89	127	100	15	81	124	87
Inhumas	2018	18	100	124	99	15	82	121	86
Ipameri	2015	8	57	125	43	5	51	116	47
Ipameri	2016	8	58	128	41	5	48	118	40
Ipameri	2017	7	59	129	34	6	48	119	34
Ipameri	2018	10	61	130	34	6	51	118	34
Iporá	2011	12	115	46	52	12	98	46	50
Iporá	2012	12	89	47	68	12	87	70	65
Iporá	2013	12	84	57	66	12	88	68	65
Iporá	2014	12	84	57	85	12	87	62	83
Iporá	2015	30	109	63	86	28	108	56	85
Iporá	2016	30	110	66	87	28	105	60	86
Iporá	2017	30	89	71	87	52	82	66	86
Iporá	2018	29	87	70	82	1	83	63	82
Itumbiara	2009	12	166	210	322	6	154	212	222
Itumbiara	2010	16	156	234	350	16	162	232	209
Itumbiara	2011	15	158	254	331	15	158	254	207
Itumbiara	2012	20	157	263	324	20	161	245	233
Itumbiara	2013	20	146	304	309	15	155	272	247
Itumbiara	2014	19	155	290	345	19	161	273	243
Itumbiara	2015	17	161	320	322	17	163	309	259
Itumbiara	2016	22	180	319	303	22	145	302	234
Itumbiara	2017	35	188	345	309	17	147	325	232
Itumbiara	2018	35	213	358	354	17	155	341	234
Jataí	2002	13	152	218	104				
Jataí	2003	14	118	228	150				
Jataí	2004	17	101	227	189				
Jataí	2005	17	92	242	211				
Jataí	2006	23	92	260	207				
Jataí	2007	23	92	270	222				
Jataí	2008	23	100	264	244	23	87	280	213
Jataí	2009	17	117	260	260	17	132	277	227
Jataí	2010	16	115	278	270	16	124	290	231
Jataí	2011	21	116	300	244	25	127	300	182
Jataí	2012	21	118	325	229	25	133	269	174
Jataí	2013	21	98	315	235	25	137	282	173
Jataí	2014	39	125	329	225	31	149	315	177
Jataí	2015	39	105	351	243	31	129	337	197
Jataí	2016	39	185	418	240	31	106	306	187
Jataí	2017	39	144	453	203	31	114	362	158
Jataí	2018	39	156	456	220	31	118	334	173
Luziânia	2011	12	473	578	234	12	341	578	202
Luziânia	2012	19	379	577	246	19	331	565	215
Luziânia	2013	19	368	542	243	19	309	547	224
Luziânia	2014	27	365	540	262	20	332	535	243
Luziânia	2015	35	364	549	267	16	311	522	244
Luziânia	2016	35	381	590	291	18	278	526	257
Luziânia	2017	35	403	596	304	18	306	552	273
Luziânia	2018	35	406	616	329	16	310	574	298
Morrinhos	2002	18	78	75	71				
Morrinhos	2003	18	80	79	75				
Morrinhos	2004	20	64	84	87				
Morrinhos	2005	20	62	99	90				
Morrinhos	2006	20	62	93	95				
Morrinhos	2007	25	63	100	112				
Morrinhos	2008	27	90	103	120	27	64	102	112
Morrinhos	2009	27	77	105	125	27	57	104	106
Morrinhos	2010	27	78	108	125	27	63	110	100
Morrinhos	2011	34	79	93	114	34	59	93	89
Morrinhos	2012	34	76	90	106	34	55	90	89
Morrinhos	2013	34	66	88	101	34	60	84	90
Morrinhos	2014	34	62	85	100	34	62	82	92
Morrinhos	2015	34	63	98	103	34	62	91	94
Morrinhos	2016	34	69	106	104	34	67	98	97
Morrinhos	2017	34	81	105	105	34	80	98	98
Morrinhos	2018	34	81	116	106	34	80	109	99
Posse	2015	2	65	94	27	2	61	104	27
Posse	2016	2	65	97	30	2	60	109	30
Posse	2017	3	65	108	30	3	60	108	30
Posse	2018	3	67	105	32	3	63	109	32
Rio Verde	2002	27	232	294	264				
Rio Verde	2003	27	202	312	312				
Rio Verde	2004	38	194	331	299				
Rio Verde	2005	39	206	341	292				
Rio Verde	2006	38	199	377	288				
Rio Verde	2007	38	206	397	273				
Rio Verde	2008	38	229	403	310	38	204	415	278
Rio Verde	2009	44	227	423	324	40	192	441	289
Rio Verde	2010	44	245	454	340	40	202	471	288
Rio Verde	2011	44	248	466	313	40	197	466	265
Rio Verde	2012	44	196	480	326	40	205	493	265
Rio Verde	2013	50	187	482	395	46	203	503	368
Rio Verde	2014	50	193	481	411	46	210	498	388
Rio Verde	2015	60	200	485	434	65	207	495	421
Rio Verde	2016	65	208	509	466	65	193	507	408
Rio Verde	2017	65	225	554	422	65	216	576	352
Rio Verde	2018	65	236	573	441	65	226	598	382
Senador Canedo	2015	3	55	390	71	1	67	387	70
Senador Canedo	2016	4	66	404	95	4	54	398	85
Senador Canedo	2017	4	77	455	104	4	66	453	92
Senador Canedo	2018	4	76	499	108	4	61	491	88
Trindade	2015	12	208	209	225	12	208	223	191
Trindade	2016	12	208	244	235	12	200	211	162
Trindade	2017	12	204	279	181	12	187	234	129
Trindade	2018	14	253	332	260	12	231	254	170
Uruaçu	2009	7	153	79	66	6	123	77	66
Uruaçu	2010	11	156	79	63	15	127	77	63
Uruaçu	2011	11	142	74	68	15	104	74	68
Uruaçu	2012	19	142	78	84	20	102	74	68
Uruaçu	2013	19	142	77	84	19	102	75	73
Uruaçu	2014	19	141	75	79	16	99	81	72
Uruaçu	2015	19	172	73	80	19	119	81	73
Uruaçu	2016	19	164	81	78	19	112	79	69
Uruaçu	2017	19	136	84	78	19	92	91	69
Uruaçu	2018	19	132	86	77	19	92	89	67
Urutaí	2002	23	14	9					
Urutaí	2003	41	14	9					
Urutaí	2004	43	14	9					
Urutaí	2005	43	14	9					
Urutaí	2006	43	14	8					
Urutaí	2007	41	14	8					
Urutaí	2008	41	15	11		41	12	10	
Urutaí	2009	41	16	11		41	12	11	
Urutaí	2010	41	16	11		41	11	11	
Urutaí	2011	49	17	11		36	10	11	
Urutaí	2012	49	9	11		43	7	11	
Urutaí	2013	49	7	11		43	7	11	
Urutaí	2014	49	7	12		43	7	13	
Urutaí	2015	50	7	12		43	7	12	
Urutaí	2016	50	8	16		43	8	13	
Urutaí	2017	50	7	16		43	7	13	
Urutaí	2018	50	7	16	0	43	7	13	0
Valparaíso de Goiás	2015	11	154	447	348	8	125	471	315
Valparaíso de Goiás	2016	11	155	458	425	8	119	444	364
Valparaíso de Goiás	2017	11	166	461	378	11	124	465	359
Valparaíso de Goiás	2018	12	214	463	691	12	156	459	380
Abadia de Goiás	2018	0	8	53	6	0	8	49	5
Abadiânia	2018	0	25	32	45	0	27	32	39
Acreúna	2018	0	32	75	37	0	32	65	37
Adelândia	2018	0	9	14	0	0	9	11	0
Água Fria de Goiás	2018	0	15	19	0	0	13	16	0
Água Limpa	2018	0	8	11	0	0	7	11	0
Alexânia	2018	0	59	107	49	0	37	89	41
Aloândia	2018	0	10	4	0	0	10	4	0
Alto Horizonte	2018	0	9	38	0	0	9	37	0
Alto Paraíso de Goiás	2018	0	30	51	46	0	11	48	30
Alvorada do Norte	2018	0	25	36	0	0	25	32	0
Amaralina	2018	0	18	30	0	0	6	28	0
Americano do Brasil	2018	0	14	15	0	0	14	15	0
Amorinópolis	2018	0	16	12	0	0	14	9	0
Anhanguera	2018	0	5	9	0	0	4	9	0
Anicuns	2018	0	65	61	13	0	54	60	8
Aparecida do Rio Doce	2018	0	4	22	0	0	4	18	0
Aporé	2018	0	13	33	0	0	9	33	0
Araçu	2018	0	17	10	0	0	11	8	0
Aragarças	2018	0	52	63	7	0	46	62	7
Aragoiânia	2018	0	16	33	8	0	13	33	8
Araguapaz	2018	0	15	32	0	0	14	32	0
Arenópolis	2018	0	7	18	0	0	7	18	0
Aruanã	2018	0	21	37	0	0	16	32	0
Aurilândia	2018	0	9	7	0	0	6	7	0
Avelinópolis	2018	0	10	20	0	0	10	19	0
Baliza	2018	0	17	22	0	0	14	18	0
Barro Alto	2018	0	20	65	13	0	13	65	13
Bela Vista de Goiás	2018	0	59	69	49	0	49	67	45
Bom Jardim de Goiás	2018	0	21	20	9	0	18	20	9
Bom Jesus de Goiás	2018	0	25	90	30	0	25	85	30
Bonfinópolis	2018	0	16	37	0	0	16	26	0
Bonópolis	2018	0	8	22	0	0	7	14	0
Brazabrantes	2018	0	18	17	0	0	12	12	0
Britânia	2018	0	12	24	0	0	12	18	0
Buriti Alegre	2018	0	29	40	8	0	29	40	8
Buriti de Goiás	2018	0	8	12	0	0	7	10	0
Buritinópolis	2018	0	7	26	0	0	7	20	0
Cabeceiras	2018	0	26	31	5	0	24	31	5
Cachoeira Alta	2018	0	22	31	6	0	19	31	6
Cachoeira de Goiás	2018	0	5	3	0	0	5	3	0
Cachoeira Dourada	2018	0	34	59	0	0	19	56	0
Caçu	2018	0	8	51	19	0	8	38	19
Caiapônia	2018	0	43	66	9	0	42	61	8
Caldas Novas	2018	0	113	268	272	0	110	268	235
Caldazinha	2018	0	7	13	0	0	7	13	0
Campestre de Goiás	2018	0	9	25	0	0	9	25	0
Campinaçu	2018	0	17	21	0	0	13	21	0
Campinorte	2018	0	43	35	7	0	24	32	7
Campo Alegre de Goiás	2018	0	13	30	0	0	13	30	0
Campo Limpo de Goiás	2018	0	15	39	0	0	9	29	0
Campos Verdes	2018	0	32	17	0	0	19	15	0
Carmo do Rio Verde	2018	0	24	47	5	0	19	47	5
Castelândia	2018	0	6	15	0	0	6	13	0
Caturaí	2018	0	9	11	0	0	9	11	0
Cavalcante	2018	0	20	80	4	0	57	70	3
Cezarina	2018	0	16	28	0	0	15	25	0
Chapadão do Céu	2018	0	15	61	21	0	9	61	19
Cidade Ocidental	2018	0	122	253	145	0	70	224	124
Cocalzinho de Goiás	2018	0	40	87	7	0	28	82	5
Colinas do Sul	2018	0	28	19	0	0	20	18	0
Córrego do Ouro	2018	0	14	12	0	0	7	12	0
Corumbá de Goiás	2018	0	21	53	9	0	19	45	9
Corumbaíba	2018	0	14	69	0	0	14	66	0
Cristianópolis	2018	0	7	24	0	0	7	20	0
Crixás	2018	0	38	84	31	0	36	86	30
Cromínia	2018	0	16	22	0	0	14	17	0
Cumari	2018	0	16	5	0	0	14	5	0
Damianópolis	2018	0	10	8	0	0	9	10	0
Damolândia	2018	0	10	10	0	0	6	10	0
Davinópolis	2018	0	8	16	0	0	4	14	0
Diorama	2018	0	15	10	0	0	11	8	0
Divinópolis de Goiás	2018	0	24	33	0	0	17	28	0
Doverlândia	2018	0	4	21	0	0	4	20	0
Edealina	2018	0	20	39	11	0	18	36	9
Edéia	2018	0	11	22	0	0	10	20	0
Estrela do Norte	2018	0	23	51	0	0	18	48	0
Faina	2018	0	34	15	0	0	26	15	0
Fazenda Nova	2018	0	26	26	10	0	23	22	7
Firminópolis	2018	0	25	76	0	0	15	61	0
Flores de Goiás	2018	19	197	401	299	19	151	360	238
Formoso	2018	0	8	42	0	0	5	34	0
Gameleira de Goiás	2018	0	15	39	0	0	12	31	0
Goianápolis	2018	0	25	44	7	0	25	42	5
Goiandira	2018	0	16	25	0	0	16	25	0
Goianésia	2018	0	116	217	86	0	103	204	84
Goianira	2018	0	71	140	35	0	61	135	34
Goiatuba	2018	0	71	100	44	0	66	87	43
Gouvelândia	2018	0	13	26	0	0	9	22	0
Guapó	2018	0	47	54	8	0	44	50	8
Guaraíta	2018	0	6	8	0	0	6	8	0
Guarani de Goiás	2018	0	15	16	0	0	14	18	0
Guarinos	2018	0	10	6	0	0	8	7	0
Heitoraí	2018	0	28	17	0	0	20	17	0
Hidrolina	2018	0	12	10	0	0	9	10	0
Iaciara	2018	0	26	48	6	0	26	45	5
Inaciolândia	2018	0	11	33	6	0	10	31	4
Indiara	2018	0	20	58	9	0	20	51	9
Ipiranga de Goiás	2018	0	6	18	0	0	6	18	0
Israelândia	2018	0	7	9	0	0	7	9	0
Itaberaí	2018	0	65	164	44	0	49	144	42
Itaguari	2018	0	19	22	0	0	15	20	0
Itaguaru	2018	0	14	13	10	0	14	11	10
Itajá	2018	0	8	34	0	0	8	33	0
Itapaci	2018	0	58	83	56	0	43	72	49
Itapirapuã	2018	0	28	20	20	0	22	18	19
Itapuranga	2018	0	71	88	40	0	65	87	39
Itarumã	2018	0	11	40	0	0	11	33	0
Itauçu	2018	0	20	25	11	0	17	24	11
Ivolândia	2018	0	12	7	0	0	10	7	0
Jandaia	2018	0	8	25	7	0	5	25	7
Jaraguá	2018	0	75	143	41	0	72	138	39
Jaupaci	2018	0	7	21	0	0	7	15	0
Jesúpolis	2018	0	7	11	0	0	7	9	0
Joviânia	2018	0	15	38	0	0	11	36	0
Jussara	2018	0	60	92	24	0	51	59	24
Lagoa Santa	2018	0	8	11	0	0	7	13	0
Leopoldo de Bulhões	2018	0	12	43	11	0	12	41	11
Mairipotaba	2018	0	6	12	0	0	6	8	0
Mambaí	2018	0	13	28	14	0	13	28	14
Mara Rosa	2018	0	47	36	0	0	33	35	0
Marzagão	2018	0	9	6	0	0	9	6	0
Matrinchã	2018	0	14	27	0	0	13	16	0
Maurilândia	2018	0	19	43	13	0	18	41	13
Mimoso de Goiás	2018	0	10	30	0	0	9	19	0
Minaçu	2018	0	65	143	62	0	60	120	49
Mineiros	2018	0	98	244	117	0	93	223	102
Moiporá	2018	0	12	11	0	0	10	11	0
Monte Alegre de Goiás	2018	0	43	35	0	0	43	35	0
Montes Claros de Goiás	2018	0	24	44	6	0	15	37	6
Montividiu	2018	0	6	87	29	0	6	70	21
Montividiu do Norte	2018	0	10	22	0	0	10	22	0
Morro Agudo de Goiás	2018	0	7	23	0	0	5	20	0
Mossâmedes	2018	0	17	28	0	0	17	28	0
Mozarlândia	2018	0	25	60	18	0	21	46	17
Mundo Novo	2018	0	20	29	0	0	20	28	0
Mutunópolis	2018	0	11	15	0	0	9	13	0
Nazário	2018	0	21	18	0	0	19	18	0
Nerópolis	2018	0	47	90	32	0	36	69	32
Niquelândia	2018	0	73	185	69	0	80	165	61
Nova América	2018	0	6	12	0	0	6	12	0
Nova Aurora	2018	0	12	8	0	0	9	8	0
Nova Crixás	2018	0	24	83	11	0	18	83	9
Nova Glória	2018	0	43	31	5	0	42	27	5
Nova Iguaçu de Goiás	2018	0	18	12	0	0	6	11	0
Nova Roma	2018	0	7	25	0	0	7	24	0
Nova Veneza	2018	0	18	17	0	0	17	16	0
Novo Brasil	2018	0	13	10	8	0	12	10	8
Novo Gama	2018	0	124	221	191	0	114	205	177
Novo Planalto	2018	0	8	25	0	0	8	22	0
Orizona	2018	0	39	102	18	0	35	88	17
Ouro Verde de Goiás	2018	0	8	32	0	0	4	19	0
Ouvidor	2018	0	16	20	0	0	14	20	0
Padre Bernardo	2018	0	26	143	17	0	25	136	15
Palestina de Goiás	2018	0	8	17	0	0	7	12	0
Palmeiras de Goiás	2018	0	54	53	44	0	43	52	41
Palmelo	2018	0	13	8	10	0	8	8	5
Palminópolis	2018	0	8	26	0	0	8	18	0
Panamá	2018	0	8	13	0	0	7	11	0
Paranaiguara	2018	0	28	35	0	0	22	34	0
Paraúna	2018	0	24	71	4	0	21	65	4
Perolândia	2018	0	7	19	0	0	7	17	0
Petrolina de Goiás	2018	0	11	25	24	0	10	22	24
Pilar de Goiás	2018	0	10	12	0	0	10	12	0
Piracanjuba	2018	0	67	100	25	0	55	99	20
Piranhas	2018	0	38	33	17	0	32	29	15
Pirenópolis	2018	0	64	94	14	0	59	84	10
Pires do Rio	2018	0	43	71	134	0	42	65	116
Planaltina	2018	0	95	405	105	0	87	390	97
Pontalina	2018	0	28	64	25	0	25	55	20
Porangatu	2018	0	82	166	92	0	71	152	83
Porteirão	2018	0	6	17	0	0	6	17	0
Portelândia	2018	0	15	12	0	0	10	12	0
Professor Jamil	2018	0	17	5	0	0	14	5	0
Quirinópolis	2018	0	96	200	126	0	68	186	114
Rialma	2018	0	28	47	0	0	22	38	0
Rianápolis	2018	0	19	20	0	0	19	20	0
Rio Quente	2018	0	7	18	5	0	7	15	5
Rubiataba	2018	0	81	82	7	0	69	62	7
Sanclerlândia	2018	0	29	35	0	0	24	25	0
Santa Bárbara de Goiás	2018	0	15	21	0	0	14	21	0
Santa Cruz de Goiás	2018	0	23	17	0	0	7	16	0
Santa Fé de Goiás	2018	0	12	18	0	0	9	18	0
Santa Helena de Goiás	2018	0	73	102	82	0	62	102	81
Santa Isabel	2018	0	24	8	0	0	16	11	0
Santa Rita do Araguaia	2018	0	18	21	0	0	15	21	0
Santa Rita do Novo Destino	2018	0	14	21	0	0	10	21	0
Santa Rosa de Goiás	2018	0	7	7	0	0	6	7	0
Santa Tereza de Goiás	2018	0	16	18	0	0	16	15	0
Santa Terezinha de Goiás	2018	0	36	51	17	0	28	47	17
Santo Antônio da Barra	2018	0	12	27	0	0	9	24	0
Santo Antônio de Goiás	2018	0	8	20	9	0	8	20	5
Santo Antônio do Descoberto	2018	0	63	256	105	0	48	254	83
São Domingos	2018	0	28	51	0	0	27	51	0
São Francisco de Goiás	2018	0	17	9	6	0	12	14	6
São João d'Aliança	2018	0	13	66	8	0	13	77	8
São João da Paraúna	2018	0	10	7	0	0	7	7	0
São Luis de Montes Belos	2018	0	65	117	82	0	58	110	65
São Luiz do Norte	2018	0	21	22	0	0	8	22	0
São Miguel do Araguaia	2018	0	63	87	21	0	42	86	18
São Miguel do Passa Quatro	2018	0	7	33	0	0	7	32	0
São Patrício	2018	0	7	8	0	0	6	8	0
São Simão	2018	0	31	73	0	0	23	72	0
Serranópolis	2018	0	10	42	4	0	13	38	4
Silvânia	2018	0	20	91	62	0	16	81	54
Simolândia	2018	0	14	31	6	0	14	26	6
Sítio d'Abadia	2018	0	12	16	0	0	12	16	0
Taquaral de Goiás	2018	0	9	11	0	0	8	11	0
Teresina de Goiás	2018	0	11	15	0	0	11	15	0
Terezópolis de Goiás	2018	0	13	30	9	0	12	28	1
Três Ranchos	2018	0	13	13	0	0	9	13	0
Trombas	2018	0	7	13	0	0	7	12	0
Turvânia	2018	0	18	26	0	0	12	9	0
Turvelândia	2018	0	7	30	0	0	7	26	0
Uirapuru	2018	0	10	22	4	0	9	19	3
Uruana	2018	0	51	43	10	0	50	40	10
Varjão	2018	0	8	9	0	0	8	9	0
Vianópolis	2018	0	39	62	17	0	28	62	15
Vicentinópolis	2018	0	14	35	0	0	9	30	0
Vila Boa	2018	0	10	27	0	0	10	22	0
Vila Propício	2018	0	12	27	0	0	10	27	0
Abadia de Goiás	2002		9	19					
Abadia de Goiás	2003		9	21					
Abadia de Goiás	2004		9	28	5				
Abadia de Goiás	2005		9	25	7				
Abadia de Goiás	2006		9	33					
Abadia de Goiás	2007		9	25					
Abadia de Goiás	2008		19	28			15	29	
Abadia de Goiás	2009		22	27	7		22	32	7
Abadia de Goiás	2010		8	33	6		9	44	6
Abadia de Goiás	2011		8	34	6		8	34	5
Abadia de Goiás	2012		23	33	6		8	37	5
Abadia de Goiás	2013		8	38	6		8	43	5
Abadia de Goiás	2014		8	39	6		8	44	5
Abadia de Goiás	2015		8	45	6		8	44	5
Abadia de Goiás	2016		8	47	6		8	46	5
Abadia de Goiás	2017		9	49	6		9	48	5
Abadiânia	2002		25	35	27				
Abadiânia	2003		25	36	28				
Abadiânia	2004		25	37	28				
Abadiânia	2005		25	37	20				
Abadiânia	2006		25	37	20				
Abadiânia	2007		25	37	25				
Abadiânia	2008		24	43	34		24	38	33
Abadiânia	2009		24	39	34		24	38	33
Abadiânia	2010		25	35	34		25	44	34
Abadiânia	2011		24	35	35		25	35	34
Abadiânia	2012		24	37	35		23	42	32
Abadiânia	2013		24	32	41		23	32	37
Abadiânia	2014		24	33	41		24	32	38
Abadiânia	2015		24	31	79		24	30	78
Abadiânia	2016		27	31	80		23	29	79
Abadiânia	2017		26	30	80		24	32	79
Acreúna	2002		27	62	31				
Acreúna	2003		29	56	26				
Acreúna	2004		29	56	49				
Acreúna	2005		29	59	52				
Acreúna	2006		30	52	54				
Acreúna	2007		31	58	54				
Acreúna	2008		30	71	31		43	58	31
Acreúna	2009		31	90	39		30	82	38
Acreúna	2010		31	90	41		29	79	39
Acreúna	2011		31	68	31		29	68	30
Acreúna	2012		31	75	42		29	68	41
Acreúna	2013		32	67	38		28	60	38
Acreúna	2014		32	76	28		29	68	29
Acreúna	2015		32	77	29		29	60	29
Acreúna	2016		32	77	37		29	59	37
Acreúna	2017		32	80	41		29	62	40
Adelândia	2002		9	10					
Adelândia	2003		9	7					
Adelândia	2004		9	6					
Adelândia	2005		9	7					
Adelândia	2006		9	10					
Adelândia	2007		9	8					
Adelândia	2008		10	8			8	8	
Adelândia	2009		8	8			8	8	
Adelândia	2010		8	10			8	9	
Adelândia	2011		9	10			9	10	
Adelândia	2012		8	10			8	7	
Adelândia	2013		8	10			8	8	
Adelândia	2014		8	14			8	10	
Adelândia	2015		8	14			8	11	
Adelândia	2016		9	14			5	11	
Adelândia	2017		9	14			7	11	
Água Fria de Goiás	2002		13	21					
Água Fria de Goiás	2003		12	22					
Água Fria de Goiás	2004		12	24					
Água Fria de Goiás	2005		13	23					
Água Fria de Goiás	2006		12	25					
Água Fria de Goiás	2007		12	22					
Água Fria de Goiás	2008		17	20			12	20	
Água Fria de Goiás	2009		18	21			13	22	
Água Fria de Goiás	2010		18	21			13	22	
Água Fria de Goiás	2011		19	21			14	21	
Água Fria de Goiás	2012		14	22			14	24	
Água Fria de Goiás	2013		14	20			14	21	
Água Fria de Goiás	2014		14	20			14	21	
Água Fria de Goiás	2015		14	20			14	20	
Água Fria de Goiás	2016		15	19			15	19	
Água Fria de Goiás	2017		15	19			15	19	
Água Limpa	2002		7	7					
Água Limpa	2003		7	4					
Água Limpa	2004		8	12					
Água Limpa	2005		7	5					
Água Limpa	2006		7	5					
Água Limpa	2007		6	5					
Água Limpa	2008		15	5			14	6	
Água Limpa	2009		18	5			14	5	
Água Limpa	2010		12	5			12	5	
Água Limpa	2011		13	5			11	5	
Água Limpa	2012		14	5			4	6	
Água Limpa	2013		7	5			7	7	
Água Limpa	2014		7	8			7	9	
Água Limpa	2015		7	15			7	15	
Água Limpa	2016		7	9			7	9	
Água Limpa	2017		8	10			7	10	
Águas Lindas de Goiás	2002		161	212	87				
Águas Lindas de Goiás	2003		168	240	148				
Águas Lindas de Goiás	2004		168	251	96				
Águas Lindas de Goiás	2005		176	265	73				
Águas Lindas de Goiás	2006		192	274	135				
Águas Lindas de Goiás	2007		172	278	83				
Águas Lindas de Goiás	2008		244	288	128		257	362	126
Águas Lindas de Goiás	2009		254	291	104		221	370	89
Águas Lindas de Goiás	2010		260	334	282		231	399	232
Águas Lindas de Goiás	2011		263	355	312		195	355	264
Águas Lindas de Goiás	2012		202	356	302		183	415	270
Águas Lindas de Goiás	2013		174	362	363		178	394	326
Alexânia	2002		24	68	20				
Alexânia	2003		27	69	12				
Alexânia	2004		33	67	21				
Alexânia	2005		31	72	16				
Alexânia	2006		33	76	23				
Alexânia	2007		29	77	28				
Alexânia	2008		31	78	32		35	72	24
Alexânia	2009		27	84	34		36	83	26
Alexânia	2010		28	84	36		29	81	27
Alexânia	2011		29	81	31		39	81	21
Alexânia	2012		29	81	27		42	77	18
Alexânia	2013		30	80	32		39	84	24
