Localidade;Ano;Varejo;Atacado
Caiapônia;2015;422;41
Caiapônia;2016;420;53
Caiapônia;2017;408;75
Caiapônia;2018;367;73
Caldas Novas;1999;1050;85
Caldas Novas;2000;1213;77
Caldas Novas;2001;1377;92
Caldas Novas;2002;1636;59
Caldas Novas;2003;1982;72
Caldas Novas;2004;2247;
Caldas Novas;2005;2449;
Caldas Novas;2006;2423;
Caldas Novas;2007;2561;
Caldas Novas;2008;2636;
Caldas Novas;2009;3079;
Caldas Novas;2010;3246;7210
Caldas Novas;2011;3626;144
Caldas Novas;2012;3775;184
Caldas Novas;2013;4011;189
Caldas Novas;2014;4212;207
Caldas Novas;2015;4158;224
Caldas Novas;2016;4078;226
Caldas Novas;2017;4167;340
Caldas Novas;2018;4208;594
Caldazinha;1999;5;  
Caldazinha;2000;5;  
Caldazinha;2001;5;  
Caldazinha;2002;16;1
Caldazinha;2003;13;
Caldazinha;2004;23;
Caldazinha;2005;35;
Caldazinha;2006;22;
Caldazinha;2007;31;
Caldazinha;2008;17;
Caldazinha;2009;26;
Caldazinha;2010;26;20
Caldazinha;2011;27;5
Caldazinha;2012;43;
Caldazinha;2013;27;1
Caldazinha;2014;51;
Caldazinha;2015;54;
Caldazinha;2016;44;12
Caldazinha;2017;57;4
Caldazinha;2018;50;13
Campestre de Goiás;1999;3;  
Campestre de Goiás;2000;7;  
Campestre de Goiás;2001;7;  
Campestre de Goiás;2002;4;
Campestre de Goiás;2003;7;
Campestre de Goiás;2004;5;
Campestre de Goiás;2005;8;
Campestre de Goiás;2006;6;
Campestre de Goiás;2007;7;
Campestre de Goiás;2008;9;
Campestre de Goiás;2009;17;
Campestre de Goiás;2010;13;9
Campestre de Goiás;2011;13;
Campestre de Goiás;2012;21;
Campestre de Goiás;2013;29;5
Campestre de Goiás;2014;29;3
Campestre de Goiás;2015;20;
Campestre de Goiás;2016;25;2
Campestre de Goiás;2017;26;1
Campestre de Goiás;2018;32;2
Campinaçu;1999;1;1
Campinaçu;2000;2;  
Campinaçu;2001;2;  
Campinaçu;2002;2;
Campinaçu;2003;1;
Campinaçu;2004;5;
Campinaçu;2005;3;
Campinaçu;2006;3;
Campinaçu;2007;4;
Campinaçu;2008;6;
Campinaçu;2009;11;
Campinaçu;2010;11;7
Campinaçu;2011;16;
Campinaçu;2012;28;
Campinaçu;2013;24;
Campinaçu;2014;23;1
Campinaçu;2015;23;
Campinaçu;2016;35;1
Campinaçu;2017;26;1
Campinaçu;2018;29;1
Campinorte;1999;39;11
Campinorte;2000;55;4
Campinorte;2001;68;  
Campinorte;2002;101;
Campinorte;2003;172;
Campinorte;2004;194;
Campinorte;2005;193;
Campinorte;2006;253;
Campinorte;2007;294;
Campinorte;2008;296;
Campinorte;2009;287;
Campinorte;2010;275;124
Campinorte;2011;284;31
Campinorte;2012;342;43
Campinorte;2013;355;37
Campinorte;2014;366;44
Campinorte;2015;366;53
Campinorte;2016;350;47
Campinorte;2017;355;37
Campinorte;2018;388;43
Campo Alegre de Goiás;1999;36;  
Campo Alegre de Goiás;2000;31;1
Campo Alegre de Goiás;2001;64;  
Campo Alegre de Goiás;2002;76;3
Campo Alegre de Goiás;2003;59;3
Campo Alegre de Goiás;2004;73;
Campo Alegre de Goiás;2005;79;
Campo Alegre de Goiás;2006;75;
Campo Alegre de Goiás;2007;88;
Campo Alegre de Goiás;2008;71;
Campo Alegre de Goiás;2009;76;
Campo Alegre de Goiás;2010;72;79
Campo Alegre de Goiás;2011;101;30
Campo Alegre de Goiás;2012;84;38
Campo Alegre de Goiás;2013;71;39
Campo Alegre de Goiás;2014;73;38
Campo Alegre de Goiás;2015;99;64
Campo Alegre de Goiás;2016;106;58
Campo Alegre de Goiás;2017;97;57
Campo Alegre de Goiás;2018;130;47
Campo Limpo de Goiás;1999;  ;  
Campo Limpo de Goiás;2000;  ;  
Campo Limpo de Goiás;2001;1;  
Campo Limpo de Goiás;2002;12;
Campo Limpo de Goiás;2003;10;
Campo Limpo de Goiás;2004;16;
Campo Limpo de Goiás;2005;19;
Campo Limpo de Goiás;2006;23;
Campo Limpo de Goiás;2007;21;
Campo Limpo de Goiás;2008;36;
Campo Limpo de Goiás;2009;34;
Campo Limpo de Goiás;2010;34;70
Campo Limpo de Goiás;2011;47;3
Campo Limpo de Goiás;2012;62;
Campo Limpo de Goiás;2013;76;6
Campo Limpo de Goiás;2014;77;16
Campo Limpo de Goiás;2015;97;22
Campo Limpo de Goiás;2016;89;26
Campo Limpo de Goiás;2017;90;17
Campo Limpo de Goiás;2018;90;11
Campos Belos;1999;131;23
Campos Belos;2000;143;16
Campos Belos;2001;187;25
Campos Belos;2002;247;24
Campos Belos;2003;262;25
Campos Belos;2004;352;
Campos Belos;2005;393;
Campos Belos;2006;453;
Campos Belos;2007;478;
Campos Belos;2008;469;
Campos Belos;2009;541;
Campos Belos;2010;645;258
Campos Belos;2011;715;73
Campos Belos;2012;756;24
Campos Belos;2013;756;25
Campos Belos;2014;791;42
Campos Belos;2015;783;75
Campos Belos;2016;725;63
Campos Belos;2017;708;45
Campos Belos;2018;761;18
Campos Verdes;1999;4;  
Campos Verdes;2000;12;  
Campos Verdes;2001;15;  
Campos Verdes;2002;18;
Campos Verdes;2003;17;
Campos Verdes;2004;24;
Campos Verdes;2005;23;
Campos Verdes;2006;23;
Campos Verdes;2007;21;
Campos Verdes;2008;23;
Campos Verdes;2009;18;
Campos Verdes;2010;24;15
Campos Verdes;2011;35;
Campos Verdes;2012;33;
Campos Verdes;2013;36;
Campos Verdes;2014;38;
Campos Verdes;2015;41;
Campos Verdes;2016;28;
Campos Verdes;2017;36;
Campos Verdes;2018;36;  
Carmo do Rio Verde;1999;25;2
Carmo do Rio Verde;2000;19;5
Carmo do Rio Verde;2001;31;4
Carmo do Rio Verde;2002;41;3
Carmo do Rio Verde;2003;58;4
Carmo do Rio Verde;2004;63;
Carmo do Rio Verde;2005;64;
Carmo do Rio Verde;2006;68;
Carmo do Rio Verde;2007;86;
Carmo do Rio Verde;2008;85;
Carmo do Rio Verde;2009;99;
Carmo do Rio Verde;2010;96;65
Carmo do Rio Verde;2011;111;2
Carmo do Rio Verde;2012;108;
Carmo do Rio Verde;2013;109;9
Carmo do Rio Verde;2014;128;13
Carmo do Rio Verde;2015;107;14
Carmo do Rio Verde;2016;118;14
Carmo do Rio Verde;2017;113;15
Carmo do Rio Verde;2018;116;14
Castelândia;1999;15;  
Castelândia;2000;19;  
Castelândia;2001;19;  
Castelândia;2002;24;
Castelândia;2003;16;
Castelândia;2004;21;
Castelândia;2005;15;
Castelândia;2006;30;
Castelândia;2007;22;
Castelândia;2008;27;
Castelândia;2009;22;
Castelândia;2010;32;20
Castelândia;2011;29;16
Castelândia;2012;42;11
Castelândia;2013;47;11
Castelândia;2014;40;10
Castelândia;2015;38;12
Castelândia;2016;38;8
Castelândia;2017;41;9
Castelândia;2018;47;9
Catalão;1999;1523;161
Catalão;2000;1795;174
Catalão;2001;1902;223
Catalão;2002;2089;259
Catalão;2003;2268;276
Catalão;2004;2479;
Catalão;2005;2917;
Catalão;2006;2992;
Catalão;2007;3378;
Catalão;2008;3991;
Catalão;2009;4177;
Catalão;2010;4546;4949
Catalão;2011;4758;757
Catalão;2012;4982;905
Catalão;2013;5091;981
Catalão;2014;5126;828
Catalão;2015;5072;749
Catalão;2016;4889;782
Catalão;2017;4704;774
Catalão;2018;5015;870
Caturaí;1999;3;  
Caturaí;2000;6;2
Caturaí;2001;8;2
Caturaí;2002;7;4
Caturaí;2003;13;4
Caturaí;2004;7;
Caturaí;2005;23;
Caturaí;2006;36;
Caturaí;2007;58;
Caturaí;2008;47;
Caturaí;2009;53;
Caturaí;2010;49;7
Caturaí;2011;68;1
Caturaí;2012;56;1
Caturaí;2013;97;1
Caturaí;2014;47;1
Caturaí;2015;74;1
Caturaí;2016;69;7
Caturaí;2017;59;5
Caturaí;2018;55;6
Cavalcante;1999;14;  
Cavalcante;2000;13;  
Cavalcante;2001;20;  
Cavalcante;2002;30;
Cavalcante;2003;48;
Cavalcante;2004;44;
Cavalcante;2005;36;
Cavalcante;2006;35;
Cavalcante;2007;42;
Cavalcante;2008;34;
Cavalcante;2009;45;
Cavalcante;2010;43;53
Cavalcante;2011;61;9
Cavalcante;2012;40;8
Cavalcante;2013;58;
Cavalcante;2014;73;8
Cavalcante;2015;70;8
Cavalcante;2016;89;
Cavalcante;2017;97;
Cavalcante;2018;106;  
Ceres;1999;469;111
Ceres;2000;522;211
Ceres;2001;624;92
Ceres;2002;613;145
Ceres;2003;604;150
Ceres;2004;646;
Ceres;2005;742;
Ceres;2006;828;
Ceres;2007;897;
Ceres;2008;1048;
Ceres;2009;1039;
Ceres;2010;1095;1274
Ceres;2011;1177;253
Ceres;2012;1263;272
Ceres;2013;1419;263
Ceres;2014;1293;262
Ceres;2015;1418;235
Ceres;2016;1422;235
Ceres;2017;1310;252
Ceres;2018;1269;241
Cezarina;1999;48;6
Cezarina;2000;44;11
Cezarina;2001;109;7
Cezarina;2002;210;8
Cezarina;2003;114;5
Cezarina;2004;134;
Cezarina;2005;166;
Cezarina;2006;131;
Cezarina;2007;78;
Cezarina;2008;263;
Cezarina;2009;87;
Cezarina;2010;85;397
Cezarina;2011;97;
Cezarina;2012;116;
Cezarina;2013;101;4
Cezarina;2014;103;6
Cezarina;2015;104;6
Cezarina;2016;104;6
Cezarina;2017;76;10
Cezarina;2018;75;5
Chapadão do Céu;1999;36;5
Chapadão do Céu;2000;44;10
Chapadão do Céu;2001;69;12
Chapadão do Céu;2002;65;20
Chapadão do Céu;2003;121;30
Chapadão do Céu;2004;114;
Chapadão do Céu;2005;108;
Chapadão do Céu;2006;104;
Chapadão do Céu;2007;121;
Chapadão do Céu;2008;189;
Chapadão do Céu;2009;194;
Chapadão do Céu;2010;208;262
Chapadão do Céu;2011;211;45
Chapadão do Céu;2012;237;63
Chapadão do Céu;2013;297;63
Chapadão do Céu;2014;304;75
Chapadão do Céu;2015;350;74
Chapadão do Céu;2016;348;63
Chapadão do Céu;2017;403;66
Chapadão do Céu;2018;300;89
Cidade Ocidental;1999;221;1
Cidade Ocidental;2000;264;5
Cidade Ocidental;2001;272;26
Cidade Ocidental;2002;336;2
Cidade Ocidental;2003;331;3
Cidade Ocidental;2004;353;
Cidade Ocidental;2005;366;
Cidade Ocidental;2006;413;
Cidade Ocidental;2007;514;
Cidade Ocidental;2008;454;
Cidade Ocidental;2009;558;
Cidade Ocidental;2010;621;1035
Cidade Ocidental;2011;668;6
Cidade Ocidental;2012;721;7
Cidade Ocidental;2013;908;17
Cidade Ocidental;2014;935;23
Cidade Ocidental;2015;958;7
Cidade Ocidental;2016;841;11
Cidade Ocidental;2017;777;13
Cidade Ocidental;2018;796;20
Cocalzinho de Goiás;1999;24;  
Cocalzinho de Goiás;2000;14;3
Cocalzinho de Goiás;2001;45;3
Cocalzinho de Goiás;2002;77;3
Cocalzinho de Goiás;2003;69;4
Cocalzinho de Goiás;2004;74;
Cocalzinho de Goiás;2005;71;
Cocalzinho de Goiás;2006;119;
Cocalzinho de Goiás;2007;133;
Cocalzinho de Goiás;2008;210;
Cocalzinho de Goiás;2009;232;
Cocalzinho de Goiás;2010;278;127
Cocalzinho de Goiás;2011;272;
Cocalzinho de Goiás;2012;286;
Cocalzinho de Goiás;2013;291;
Cocalzinho de Goiás;2014;303;
Cocalzinho de Goiás;2015;293;9
Cocalzinho de Goiás;2016;285;2
Cocalzinho de Goiás;2017;286;
Cocalzinho de Goiás;2018;244;  
Colinas do Sul;1999;11;  
Colinas do Sul;2000;16;  
Colinas do Sul;2001;14;  
Colinas do Sul;2002;12;
Colinas do Sul;2003;18;
Colinas do Sul;2004;19;
Colinas do Sul;2005;20;
Colinas do Sul;2006;14;
Colinas do Sul;2007;17;
Colinas do Sul;2008;20;
Colinas do Sul;2009;27;
Colinas do Sul;2010;20;12
Colinas do Sul;2011;17;
Colinas do Sul;2012;20;
Colinas do Sul;2013;29;
Colinas do Sul;2014;29;
Colinas do Sul;2015;33;
Colinas do Sul;2016;36;
Colinas do Sul;2017;54;
Colinas do Sul;2018;45;  
Córrego do Ouro;1999;15;  
Córrego do Ouro;2000;14;  
Córrego do Ouro;2001;22;3
Córrego do Ouro;2002;21;7
Córrego do Ouro;2003;34;
Córrego do Ouro;2004;31;
Córrego do Ouro;2005;30;
Córrego do Ouro;2006;34;
Córrego do Ouro;2007;31;
Córrego do Ouro;2008;36;
Córrego do Ouro;2009;43;
Córrego do Ouro;2010;41;8
Córrego do Ouro;2011;58;
Córrego do Ouro;2012;50;
Córrego do Ouro;2013;56;
Córrego do Ouro;2014;47;
Córrego do Ouro;2015;43;4
Córrego do Ouro;2016;34;3
Córrego do Ouro;2017;35;2
Córrego do Ouro;2018;29;  
Corumbá de Goiás;1999;36;4
Corumbá de Goiás;2000;42;3
Corumbá de Goiás;2001;46;2
Corumbá de Goiás;2002;69;4
Corumbá de Goiás;2003;59;2
Corumbá de Goiás;2004;93;
Corumbá de Goiás;2005;61;
Corumbá de Goiás;2006;59;
Corumbá de Goiás;2007;54;
Corumbá de Goiás;2008;60;
Corumbá de Goiás;2009;65;
Corumbá de Goiás;2010;75;143
Corumbá de Goiás;2011;82;34
Corumbá de Goiás;2012;92;1
Corumbá de Goiás;2013;108;1
Corumbá de Goiás;2014;108;8
Corumbá de Goiás;2015;115;19
Corumbá de Goiás;2016;114;7
Corumbá de Goiás;2017;106;5
Corumbá de Goiás;2018;111;10
Corumbaíba;1999;36;5
Corumbaíba;2000;32;5
Corumbaíba;2001;54;5
Corumbaíba;2002;69;11
Corumbaíba;2003;77;11
Corumbaíba;2004;75;
Corumbaíba;2005;86;
Corumbaíba;2006;114;
Corumbaíba;2007;106;
Corumbaíba;2008;143;
Corumbaíba;2009;115;
Corumbaíba;2010;135;117
Corumbaíba;2011;149;16
Corumbaíba;2012;164;17
Corumbaíba;2013;172;17
Corumbaíba;2014;165;13
Corumbaíba;2015;190;11
Corumbaíba;2016;194;11
Corumbaíba;2017;181;11
Corumbaíba;2018;215;9
Cristalina;1999;543;89
Cristalina;2000;615;83
Cristalina;2001;658;73
Cristalina;2002;764;95
Cristalina;2003;896;152
Cristalina;2004;925;
Cristalina;2005;992;
Cristalina;2006;969;
Cristalina;2007;1048;
Cristalina;2008;1214;
Cristalina;2009;1282;
Cristalina;2010;1473;1035
Cristalina;2011;1569;365
Cristalina;2012;1712;381
Cristalina;2013;1758;334
Cristalina;2014;1798;436
Cristalina;2015;1803;504
Cristalina;2016;1724;516
Cristalina;2017;1701;576
Cristalina;2018;1745;565
Cristianópolis;1999;16;2
Cristianópolis;2000;54;2
Cristianópolis;2001;52;3
Cristianópolis;2002;43;4
Cristianópolis;2003;45;2
Cristianópolis;2004;51;
Cristianópolis;2005;54;
Cristianópolis;2006;54;
Cristianópolis;2007;52;
Cristianópolis;2008;42;
Cristianópolis;2009;47;
Cristianópolis;2010;43;41
Cristianópolis;2011;46;17
Cristianópolis;2012;48;19
Cristianópolis;2013;57;19
Cristianópolis;2014;62;19
Cristianópolis;2015;75;19
Cristianópolis;2016;85;13
Cristianópolis;2017;89;16
Cristianópolis;2018;98;9
Crixás;1999;96;4
Crixás;2000;126;6
Crixás;2001;114;5
Crixás;2002;132;5
Crixás;2003;172;5
Crixás;2004;172;
Crixás;2005;173;
Crixás;2006;225;
Crixás;2007;234;
Crixás;2008;241;
Crixás;2009;272;
Crixás;2010;319;1060
Crixás;2011;373;1
Crixás;2012;405;10
Crixás;2013;435;2
Crixás;2014;516;15
Crixás;2015;529;4
Crixás;2016;497;3
Crixás;2017;502;4
Crixás;2018;518;  
Cromínia;1999;17;4
Cromínia;2000;24;  
Cromínia;2001;28;  
Cromínia;2002;32;1
Cromínia;2003;31;1
Cromínia;2004;39;
Cromínia;2005;49;
Cromínia;2006;51;
Cromínia;2007;48;
Cromínia;2008;57;
Cromínia;2009;65;
Cromínia;2010;82;28
Cromínia;2011;69;3
Cromínia;2012;83;2
Cromínia;2013;91;
Cromínia;2014;96;2
Cromínia;2015;105;2
Cromínia;2016;102;2
Cromínia;2017;103;2
Cromínia;2018;131;2
Cumari;1999;4;  
Cumari;2000;8;  
Cumari;2001;7;  
Cumari;2002;17;
Cumari;2003;18;
Cumari;2004;14;
Cumari;2005;16;
Cumari;2006;14;
Cumari;2007;13;
Cumari;2008;13;
Cumari;2009;13;
Cumari;2010;18;13
Cumari;2011;14;14
Cumari;2012;21;1
Cumari;2013;21;
Cumari;2014;31;
Cumari;2015;30;
Cumari;2016;26;24
Cumari;2017;26;1
Cumari;2018;31;1
Damianópolis;1999;1;  
Damianópolis;2000;3;  
Damianópolis;2001;1;  
Damianópolis;2002;2;
Damianópolis;2003;2;
Damianópolis;2004;4;
Damianópolis;2005;5;
Damianópolis;2006;9;
Damianópolis;2007;15;
Damianópolis;2008;16;
Damianópolis;2009;18;
Damianópolis;2010;17;7
Damianópolis;2011;16;
Damianópolis;2012;19;
Damianópolis;2013;27;
Damianópolis;2014;28;
Damianópolis;2015;32;
Damianópolis;2016;33;
Damianópolis;2017;39;
Damianópolis;2018;50;  
Damolândia;1999;5;1
Damolândia;2000;5;1
Damolândia;2001;9;  
Damolândia;2002;6;
Damolândia;2003;13;
Damolândia;2004;15;
Damolândia;2005;17;
Damolândia;2006;15;
Damolândia;2007;12;
Damolândia;2008;18;
Damolândia;2009;21;
Damolândia;2010;17;23
Damolândia;2011;11;
Damolândia;2012;13;
Damolândia;2013;17;
Damolândia;2014;20;
Damolândia;2015;20;
Damolândia;2016;30;
Damolândia;2017;21;
Damolândia;2018;20;  
Davinópolis;1999;3;  
Davinópolis;2000;3;  
Davinópolis;2001;3;  
Davinópolis;2002;4;
Davinópolis;2003;3;
Davinópolis;2004;5;
Davinópolis;2005;9;
Davinópolis;2006;9;
Davinópolis;2007;8;
Davinópolis;2008;6;
Davinópolis;2009;7;
Davinópolis;2010;10;8
Davinópolis;2011;9;
Davinópolis;2012;7;
Davinópolis;2013;14;2
Davinópolis;2014;14;1
Davinópolis;2015;17;2
Davinópolis;2016;15;2
Davinópolis;2017;19;2
Davinópolis;2018;20;3
Diorama;1999;3;  
Diorama;2000;4;  
Diorama;2001;3;  
Diorama;2002;3;
Diorama;2003;5;
Diorama;2004;5;
Diorama;2005;7;
Diorama;2006;5;
Diorama;2007;5;
Diorama;2008;6;
Diorama;2009;8;
Diorama;2010;11;4
Diorama;2011;11;6
Diorama;2012;16;7
Diorama;2013;14;5
Diorama;2014;15;4
Diorama;2015;15;5
Diorama;2016;13;5
Diorama;2017;14;7
Diorama;2018;10;8
Divinópolis de Goiás;1999;11;  
Divinópolis de Goiás;2000;19;  
Divinópolis de Goiás;2001;20;  
Divinópolis de Goiás;2002;25;
Divinópolis de Goiás;2003;24;
Divinópolis de Goiás;2004;26;
Divinópolis de Goiás;2005;20;
Divinópolis de Goiás;2006;23;
Divinópolis de Goiás;2007;27;
Divinópolis de Goiás;2008;21;
Divinópolis de Goiás;2009;20;
Divinópolis de Goiás;2010;23;9
Divinópolis de Goiás;2011;26;
Divinópolis de Goiás;2012;40;
Divinópolis de Goiás;2013;45;
Divinópolis de Goiás;2014;56;
Divinópolis de Goiás;2015;57;
Divinópolis de Goiás;2016;58;
Divinópolis de Goiás;2017;51;
Divinópolis de Goiás;2018;135;2
Doverlândia;1999;23;1
Doverlândia;2000;36;1
Doverlândia;2001;38;  
Doverlândia;2002;48;
Doverlândia;2003;60;
Doverlândia;2004;63;
Doverlândia;2005;55;
Doverlândia;2006;60;
Doverlândia;2007;70;
Doverlândia;2008;74;
Doverlândia;2009;84;
Doverlândia;2010;103;53
Doverlândia;2011;103;
Doverlândia;2012;119;
Doverlândia;2013;112;
Doverlândia;2014;126;
Doverlândia;2015;146;
Doverlândia;2016;114;
Doverlândia;2017;120;1
Doverlândia;2018;62;32
Edealina;1999;4;  
Edealina;2000;4;  
Edealina;2001;7;  
Edealina;2002;14;
Edealina;2003;14;
Edealina;2004;22;
Edealina;2005;29;
Edealina;2006;25;
Edealina;2007;22;
Edealina;2008;42;
Edealina;2009;58;
Edealina;2010;60;7
Edealina;2011;60;
Edealina;2012;74;2
Edealina;2013;79;
Edealina;2014;69;5
Edealina;2015;84;8
Edealina;2016;93;2
Edealina;2017;53;14
Edealina;2018;265;22
Edéia;1999;84;10
Edéia;2000;118;8
Edéia;2001;128;7
Edéia;2002;231;13
Edéia;2003;165;10
Edéia;2004;168;
Edéia;2005;166;
Edéia;2006;180;
Edéia;2007;188;
Edéia;2008;232;
Edéia;2009;232;
Edéia;2010;303;329
Edéia;2011;328;9
Edéia;2012;327;13
Edéia;2013;275;24
Edéia;2014;304;29
Edéia;2015;310;15
Edéia;2016;253;14
Edéia;2017;238;22
Edéia;2018;48;4
Estrela do Norte;1999;7;  
Estrela do Norte;2000;9;  
Estrela do Norte;2001;10;  
Estrela do Norte;2002;20;
Estrela do Norte;2003;8;
Estrela do Norte;2004;17;
Estrela do Norte;2005;26;
Estrela do Norte;2006;17;
Estrela do Norte;2007;20;
Estrela do Norte;2008;17;
Estrela do Norte;2009;21;
Estrela do Norte;2010;25;20
Estrela do Norte;2011;28;1
Estrela do Norte;2012;32;
Estrela do Norte;2013;35;
Estrela do Norte;2014;34;
Estrela do Norte;2015;29;
Estrela do Norte;2016;46;
Estrela do Norte;2017;54;2
Estrela do Norte;2018;98;  
Faina;1999;6;  
Faina;2000;8;  
Faina;2001;14;  
Faina;2002;9;
Faina;2003;16;66
Faina;2004;11;
Faina;2005;25;
Faina;2006;30;
Faina;2007;42;
Faina;2008;48;
Faina;2009;53;
Faina;2010;72;58
Faina;2011;78;4
Faina;2012;73;
Faina;2013;100;
Faina;2014;97;1
Faina;2015;86;
Faina;2016;80;
Faina;2017;88;
Faina;2018;72;3
Fazenda Nova;1999;7;  
Fazenda Nova;2000;11;  
Fazenda Nova;2001;19;  
Fazenda Nova;2002;19;
Fazenda Nova;2003;18;
Fazenda Nova;2004;23;
Fazenda Nova;2005;26;
Fazenda Nova;2006;25;
Fazenda Nova;2007;25;
Fazenda Nova;2008;146;
Fazenda Nova;2009;41;
Fazenda Nova;2010;48;79
Fazenda Nova;2011;49;
Fazenda Nova;2012;57;32
Fazenda Nova;2013;69;
Fazenda Nova;2014;82;
Fazenda Nova;2015;70;2
Fazenda Nova;2016;81;2
Fazenda Nova;2017;63;3
Fazenda Nova;2018;141;34
Firminópolis;1999;64;32
Firminópolis;2000;125;47
Firminópolis;2001;201;83
Firminópolis;2002;179;42
Firminópolis;2003;95;4
Firminópolis;2004;90;
Firminópolis;2005;117;
Firminópolis;2006;112;
Firminópolis;2007;154;
Firminópolis;2008;168;
Firminópolis;2009;128;
Firminópolis;2010;153;112
Firminópolis;2011;169;
Firminópolis;2012;186;
Firminópolis;2013;180;4
Firminópolis;2014;184;12
Firminópolis;2015;160;56
Firminópolis;2016;144;34
Firminópolis;2017;129;32
Firminópolis;2018;53;  
Flores de Goiás;1999;18;  
Flores de Goiás;2000;19;  
Flores de Goiás;2001;20;  
Flores de Goiás;2002;31;
Flores de Goiás;2003;29;1
Flores de Goiás;2004;17;
Flores de Goiás;2005;8;
Flores de Goiás;2006;26;
Flores de Goiás;2007;32;
Flores de Goiás;2008;28;
Flores de Goiás;2009;30;
Flores de Goiás;2010;44;31
Flores de Goiás;2011;50;1
Flores de Goiás;2012;49;1
Flores de Goiás;2013;55;
Flores de Goiás;2014;59;1
Flores de Goiás;2015;61;
Flores de Goiás;2016;66;
Flores de Goiás;2017;55;
Flores de Goiás;2018;3996;744
Formosa;1999;991;199
Formosa;2000;1221;160
Formosa;2001;1296;221
Formosa;2002;1478;215
Formosa;2003;1664;235
Formosa;2004;1960;
Formosa;2005;2008;
Formosa;2006;2158;
Formosa;2007;2350;
Formosa;2008;2667;
Formosa;2009;2707;
Formosa;2010;3675;2669
Formosa;2011;3801;545
Formosa;2012;3987;643
Formosa;2013;4083;630
Formosa;2014;4169;585
Formosa;2015;4241;609
Formosa;2016;4164;675
Formosa;2017;4055;698
Formosa;2018;86;5
Formoso;1999;16;  
Formoso;2000;30;  
Formoso;2001;29;  
Formoso;2002;24;
Formoso;2003;22;
Formoso;2004;35;
Formoso;2005;33;
Formoso;2006;33;
Formoso;2007;33;
Formoso;2008;31;
Formoso;2009;37;
Formoso;2010;50;16
Formoso;2011;57;
Formoso;2012;56;
Formoso;2013;74;
Formoso;2014;76;2
Formoso;2015;82;6
Formoso;2016;89;5
Formoso;2017;89;6
Formoso;2018;32;3
Gameleira de Goiás;1999;  ;  
Gameleira de Goiás;2000;  ;  
Gameleira de Goiás;2001;  ;  
Gameleira de Goiás;2002;1;
Gameleira de Goiás;2003;2;
Gameleira de Goiás;2004;11;
Gameleira de Goiás;2005;16;
Gameleira de Goiás;2006;15;
Gameleira de Goiás;2007;15;
Gameleira de Goiás;2008;14;
Gameleira de Goiás;2009;9;
Gameleira de Goiás;2010;18;1
Gameleira de Goiás;2011;20;
Gameleira de Goiás;2012;26;
Gameleira de Goiás;2013;26;1
Gameleira de Goiás;2014;31;
Gameleira de Goiás;2015;30;
Gameleira de Goiás;2016;25;
Gameleira de Goiás;2017;25;4
Gameleira de Goiás;2018;49;  
Goianápolis;1999;57;  
Goianápolis;2000;58;1
Goianápolis;2001;57;1
Goianápolis;2002;48;5
Goianápolis;2003;51;3
Goianápolis;2004;50;
Goianápolis;2005;62;
Goianápolis;2006;66;
Goianápolis;2007;51;
Goianápolis;2008;101;
Goianápolis;2009;127;
Goianápolis;2010;151;54
Goianápolis;2011;194;8
Goianápolis;2012;138;6
Goianápolis;2013;187;4
Goianápolis;2014;144;30
Goianápolis;2015;185;33
Goianápolis;2016;178;22
Goianápolis;2017;193;33
Goianápolis;2018;225;44
Goiandira;1999;13;  
Goiandira;2000;26;  
Goiandira;2001;27;1
Goiandira;2002;30;2
Goiandira;2003;28;1
Goiandira;2004;42;
Goiandira;2005;44;
Goiandira;2006;40;
Goiandira;2007;49;
Goiandira;2008;49;
Goiandira;2009;52;
Goiandira;2010;51;70
Goiandira;2011;55;4
Goiandira;2012;65;2
Goiandira;2013;68;
Goiandira;2014;66;
Goiandira;2015;88;
Goiandira;2016;88;
Goiandira;2017;78;4
Goiandira;2018;72;3
Goianésia;1999;583;62
Goianésia;2000;710;66
Goianésia;2001;756;65
Goianésia;2002;818;78
Goianésia;2003;923;63
Goianésia;2004;1037;
Goianésia;2005;1182;
Goianésia;2006;1295;
Goianésia;2007;1315;
Goianésia;2008;1566;
Goianésia;2009;1633;
Goianésia;2010;4243;1722
Goianésia;2011;2039;57
Goianésia;2012;2103;76
Goianésia;2013;2177;72
Goianésia;2014;2450;132
Goianésia;2015;2593;110
Goianésia;2016;2527;138
Goianésia;2017;2659;204
Goianésia;2018;2787;269
Goiânia;1999;40280;11217
Goiânia;2000;45751;12128
Goiânia;2001;49259;12330
Goiânia;2002;54410;13439
Goiânia;2003;58168;14326
Goiânia;2004;61442;
Goiânia;2005;63353;
Goiânia;2006;67571;
Goiânia;2007;71355;
Goiânia;2008;76056;
Goiânia;2009;77956;
Goiânia;2010;85680;176145
Goiânia;2011;88914;19145
Goiânia;2012;92619;21912
Goiânia;2013;94068;23041
Goiânia;2014;96086;23549
Goiânia;2015;93231;23220
Goiânia;2016;88201;22702
Goiânia;2017;88503;22439
Goiânia;2018;87171;22988
Goianira;1999;115;237
Goianira;2000;100;339
Goianira;2001;98;143
Goianira;2002;256;44
Goianira;2003;295;59
Goianira;2004;210;
Goianira;2005;264;
Goianira;2006;300;
Goianira;2007;400;
Goianira;2008;331;
Goianira;2009;412;
Goianira;2010;535;421
Goianira;2011;548;85
Goianira;2012;626;100
Goianira;2013;672;147
Goianira;2014;770;118
Goianira;2015;810;150
