Localidade;Ano;IDM Economia;EquilibrioOrcamentarioMunicipio;EvolucaoPIB;RecursosProprios;PIBperCapita;SetorAgropecuario;SetorIndustrial;SetorServicos
Abadia de Goiás;2012;1,09428571428571;2,45;2,35;2,54;0,23;0,06;0,02;0,01
Abadia de Goiás;2014;2,53285714285714;6,85;6,56;3,33;0,88;0,05;0,03;0,03
Abadia de Goiás;2016;1,79857142857143;4,02;3,22;3,96;1,27;0,05;0,04;0,03
Abadia de Goiás;2018;1,38428571428571;4,02;0,68;3,96;0,93;0,04;0,04;0,02
Abadiânia;2012;1,19;2,81;2,43;2,56;0,23;0,24;0,03;0,03
Abadiânia;2014;1,84571428571429;6,18;3,33;2,65;0,34;0,36;0,02;0,04
Abadiânia;2016;1,86142857142857;3,93;5,16;2,81;0,6;0,46;0,02;0,05
Abadiânia;2018;1,3;3,93;1,38;2,81;0,58;0,33;0,02;0,05
Acreúna;2012;1,59571428571429;2,4;1,8;4,15;0,85;1,83;0,07;0,07
Acreúna;2014;2,30142857142857;7,22;3,26;3,15;0,96;1,37;0,08;0,07
Acreúna;2016;2,00714285714286;3,97;3,61;3,46;1,47;1,39;0,07;0,08
Acreúna;2018;1,86142857142857;3,97;2,2;3,46;1,46;1,8;0,07;0,07
Adelândia;2012;1,08857142857143;4,77;2,07;0,42;0,29;0,06;0,01;0
Adelândia;2014;1,44571428571429;6,53;2,34;0,91;0,29;0,05;0;0
Adelândia;2016;1,22;4,5;3,46;0,18;0,35;0,05;0;0
Adelândia;2018;0,945714285714286;4,5;1,53;0,18;0,35;0,06;0;0
Água Fria de Goiás;2012;1,20428571428571;3,83;1,72;0,9;1,01;0,95;0,01;0,01
Água Fria de Goiás;2014;1,98142857142857;7,05;2,82;1,4;1,53;1,05;0,01;0,01
Água Fria de Goiás;2016;1,87;3,94;4,91;0,99;2,24;0,98;0,02;0,01
Água Fria de Goiás;2018;1,99571428571429;3,94;4,57;0,99;3;1,44;0,02;0,01
Água Limpa;2012;1,36571428571429;6,18;2,05;0,55;0,6;0,18;0;0
Água Limpa;2014;1,61428571428571;7,27;2,37;0,78;0,73;0,15;0;0
Água Limpa;2016;1,38428571428571;3,85;4,2;0,17;1,3;0,17;0;0
Água Limpa;2018;0,862857142857143;3,85;0,87;0,17;1,03;0,12;0;0
Águas Lindas de Goiás;2012;1,31857142857143;4,07;2,17;2,63;0;0,01;0,15;0,2
Águas Lindas de Goiás;2014;1,83142857142857;6,26;2,94;3,19;0,02;0,01;0,19;0,21
Águas Lindas de Goiás;2016;1,77571428571429;3,71;4,8;3,25;0,05;0,06;0,2;0,36
Águas Lindas de Goiás;2018;1,35857142857143;3,71;2;3,25;0,07;0,02;0,2;0,26
Alexânia;2012;1,28714285714286;2,57;1,45;3,91;0,56;0,3;0,15;0,07
Alexânia;2014;2,04571428571429;6,02;2,88;3,97;0,81;0,4;0,15;0,09
Alexânia;2016;2,31571428571429;3;7,09;3,54;1,78;0,49;0,17;0,14
Alexânia;2018;2,40714285714286;3;6,17;3,54;3,23;0,38;0,22;0,31
Aloândia;2012;1,12714285714286;5,3;1,64;0,53;0,36;0,06;0;0
Aloândia;2014;1,53;6,91;2,68;0,59;0,47;0,06;0;0
Aloândia;2016;1,58142857142857;4,21;4,54;1,46;0,79;0,07;0;0
Aloândia;2018;1,21714285714286;4,21;1,98;1,46;0,79;0,08;0;0
Alto Horizonte;2012;2,81857142857143;3,12;2,56;2,86;10;0,13;0,98;0,08
Alto Horizonte;2014;3,37857142857143;6,96;1,76;3,84;10;0,11;0,91;0,07
Alto Horizonte;2016;2,28285714285714;4,03;0,06;1,63;9,57;0,11;0,53;0,05
Alto Horizonte;2018;1,54714285714286;4,03;0,28;1,63;4,42;0,08;0,36;0,03
Alto Paraíso de Goiás;2012;1,24142857142857;4,18;1,79;2,15;0,33;0,21;0,01;0,02
Alto Paraíso de Goiás;2014;2,01;6,1;3,26;4,01;0,45;0,22;0,01;0,02
Alto Paraíso de Goiás;2016;1,94428571428571;4,64;4,7;3,26;0,75;0,23;0,01;0,02
Alto Paraíso de Goiás;2018;1,75714285714286;4,64;3,01;3,26;0,99;0,37;0,01;0,02
Alvorada do Norte;2012;0,898571428571429;3,36;1,5;1,06;0,22;0,12;0,01;0,02
Alvorada do Norte;2014;1,57;6,62;2,4;1,52;0,31;0,11;0,01;0,02
Alvorada do Norte;2016;1,46428571428571;3,56;4,19;1,92;0,42;0,13;0,01;0,02
Alvorada do Norte;2018;1,09857142857143;3,56;1,66;1,92;0,4;0,12;0,01;0,02
Amaralina;2012;1,18857142857143;5,68;1,4;0,72;0,29;0,23;0;0
Amaralina;2014;1,52142857142857;6,11;2,5;1,45;0,37;0,22;0;0
Amaralina;2016;1,43714285714286;4,46;4,48;0,26;0,63;0,23;0;0
Amaralina;2018;1,04571428571429;4,46;1,97;0,26;0,44;0,19;0;0
Americano do Brasil;2012;1,22;4,27;2,48;0,79;0,76;0,16;0,07;0,01
Americano do Brasil;2014;1,58285714285714;6,89;2,66;0,69;0,66;0,12;0,05;0,01
Americano do Brasil;2016;0,83;4,63;0,29;0,29;0,49;0,07;0,03;0,01
Americano do Brasil;2018;1,26714285714286;4,63;3,25;0,29;0,44;0,24;0,01;0,01
Amorinópolis;2012;1,08714285714286;4,56;1,64;0,88;0,37;0,15;0,01;0
Amorinópolis;2014;1,54;6,4;2,65;1,13;0,47;0,12;0,01;0
Amorinópolis;2016;1,45714285714286;3,69;4,76;0,75;0,83;0,15;0,01;0,01
Amorinópolis;2018;0,94;3,69;1,37;0,75;0,59;0,18;0;0
Anápolis;2012;2,71142857142857;2,23;1,85;5,44;1,68;0,35;5,31;2,12
Anápolis;2014;3,37142857142857;7,1;1,5;5,46;1,68;0,41;5,43;2,02
Anápolis;2016;3,17571428571429;3,12;2,77;5,83;2,51;0,52;5,42;2,06
Anápolis;2018;2,93428571428571;3,12;1,42;5,83;1,98;0,42;5,7;2,07
Anhanguera;2012;1,03714285714286;5,85;0,78;0,23;0,38;0,02;0;0
Anhanguera;2014;1,31714285714286;6,28;2,06;0,44;0,42;0,02;0;0
Anhanguera;2016;1,38285714285714;3,35;3,65;2,06;0,6;0,02;0;0
Anhanguera;2018;1,06142857142857;3,35;1,53;2,06;0,48;0,01;0;0
Anicuns;2012;1,19142857142857;3,63;1,33;1,79;0,57;0,84;0,13;0,05
Anicuns;2014;1,48428571428571;5,68;1,42;1,94;0,57;0,63;0,1;0,05
Anicuns;2016;1,58142857142857;2,88;3,54;2,88;0,9;0,7;0,11;0,06
Anicuns;2018;1,33714285714286;2,88;1,87;2,88;0,81;0,75;0,13;0,04
Aparecida de Goiânia;2012;2,53857142857143;3,52;2,11;6,54;0,58;0,09;3,16;1,77
Aparecida de Goiânia;2014;3,16714285714286;5,99;3,13;7,28;0,7;0,08;3,13;1,86
Aparecida de Goiânia;2016;2,90285714285714;4,35;4,39;4,73;1,22;0,14;3,28;2,21
Aparecida de Goiânia;2018;2,50714285714286;4,35;1,4;4,73;1,07;0,08;3,79;2,13
Aparecida do Rio Doce;2012;1,45285714285714;5,48;1,16;2,36;0,86;0,31;0;0
Aparecida do Rio Doce;2014;1,59857142857143;6,26;2,41;1,22;1,05;0,25;0;0
Aparecida do Rio Doce;2016;1,56714285714286;3,26;3,36;2,71;1,4;0,24;0;0
Aparecida do Rio Doce;2018;1,37;3,26;1,81;2,71;1,55;0,26;0;0
Aporé;2012;2,05285714285714;5,91;1,25;5,44;1,21;0,52;0,03;0,01
Aporé;2014;2,37142857142857;6,49;2,5;5,85;1,35;0,36;0,04;0,01
Aporé;2016;2,31;4,6;5,51;3;2,47;0,55;0,03;0,01
Aporé;2018;2,54;4,6;4,44;3;4,69;0,85;0,19;0,01
Araçu;2012;1,05428571428571;3,03;1,59;2,42;0,21;0,13;0;0
Araçu;2014;1,47571428571429;6,67;2,38;0,89;0,28;0,11;0;0
Araçu;2016;1,43;3,44;4,04;2;0,42;0,1;0;0,01
Araçu;2018;1,12285714285714;3,44;1,85;2;0,45;0,11;0,01;0
Aragarças;2012;0,751428571428572;1,71;1,49;1,88;0,08;0,06;0,01;0,03
Aragarças;2014;1,57142857142857;6,28;2,59;1,92;0,11;0,06;0,01;0,03
Aragarças;2016;1,45571428571429;4,1;4,83;0,89;0,24;0,06;0,02;0,05
Aragarças;2018;1,01285714285714;4,1;1,73;0,89;0,24;0,07;0,02;0,04
Aragoiânia;2012;1,15142857142857;3,13;1,68;3,02;0,12;0,08;0,02;0,01
Aragoiânia;2014;1,63285714285714;6,28;2,13;2,82;0,11;0,06;0,02;0,01
Aragoiânia;2016;1,70714285714286;3,47;4,2;3,99;0,18;0,08;0,02;0,01
Aragoiânia;2018;1,34142857142857;3,47;1,62;3,99;0,2;0,08;0,02;0,01
Araguapaz;2012;1,4;4,76;1,77;2,61;0,29;0,36;0;0,01
Araguapaz;2014;1,57285714285714;6,44;2,12;1,84;0,32;0,27;0,01;0,01
Araguapaz;2016;1,33;4,14;3,46;0,99;0,44;0,27;0;0,01
Araguapaz;2018;1,12428571428571;4,14;1,9;0,99;0,51;0,31;0,01;0,01
Arenópolis;2012;1,67714285714286;4,41;3,9;2,08;1;0,3;0,05;0
Arenópolis;2014;1,93571428571429;6,49;2,63;2,57;1,48;0,33;0,05;0
Arenópolis;2016;2,22714285714286;4,29;6,51;2,72;1,71;0,33;0,02;0,01
Arenópolis;2018;1,33714285714286;4,29;0,31;2,72;1,65;0,38;0,01;0
Aruanã;2012;1,25428571428571;3,23;1,9;2,7;0,44;0,49;0,01;0,01
Aruanã;2014;1,94;6,23;2,31;4,15;0,49;0,38;0,01;0,01
Aruanã;2016;1,93857142857143;4,51;3,74;4,19;0,72;0,38;0,01;0,02
Aruanã;2018;1,7;4,51;1,97;4,19;0,76;0,44;0,01;0,02
Aurilândia;2012;1,16428571428571;5,21;1,58;0,89;0,3;0,17;0;0
Aurilândia;2014;1,47428571428571;6,62;2,32;0,91;0,34;0,13;0;0
Aurilândia;2016;1,48714285714286;4,13;4,26;1,24;0,61;0,16;0;0,01
Aurilândia;2018;1,08;4,13;1,44;1,24;0,61;0,14;0;0
Avelinópolis;2012;1,09857142857143;4,03;2,32;0,45;0,69;0,18;0,02;0
Avelinópolis;2014;1,63428571428571;6,92;2,53;1,12;0,71;0,15;0,01;0
Avelinópolis;2016;1,39;4,35;3,73;0,34;1,15;0,15;0,01;0
Avelinópolis;2018;0,951428571428572;4,35;1,04;0,34;0,78;0,15;0;0
Baliza;2012;1,21857142857143;5,2;2,02;0,97;0,16;0,18;0;0
Baliza;2014;1,74142857142857;7,56;2,56;1,59;0,27;0,21;0;0
Baliza;2016;2,00571428571429;3,49;7,08;2,52;0,67;0,28;0;0
Baliza;2018;1,31714285714286;3,49;2,32;2,52;0,59;0,3;0;0
Barro Alto;2012;2,02;2,58;3,48;6,78;0,9;0,29;0,09;0,02
Barro Alto;2014;3,84428571428571;6,04;10;7,34;2,8;0,25;0,44;0,04
Barro Alto;2016;3,65285714285714;3,36;7,7;9,1;4,69;0,25;0,42;0,05
Barro Alto;2018;3,13285714285714;3,36;3,41;9,1;4,98;0,31;0,72;0,05
Bela Vista de Goiás;2012;1,52571428571429;3,17;1,87;3,79;0,69;0,91;0,18;0,07
Bela Vista de Goiás;2014;2,18571428571429;6,22;3,01;4,01;0,94;0,78;0,26;0,08
Bela Vista de Goiás;2016;2,52142857142857;3,93;6,71;3,61;1,93;0,99;0,38;0,1
Bela Vista de Goiás;2018;1,71857142857143;3,93;1,44;3,61;1,52;1,12;0,32;0,09
Bom Jardim de Goiás;2012;1,54714285714286;5,76;1,74;2,63;0,3;0,37;0,01;0,02
Bom Jardim de Goiás;2014;1,59571428571429;5,84;2,13;2,51;0,36;0,32;0;0,01
Bom Jardim de Goiás;2016;1,64285714285714;3,32;4,5;2,66;0,62;0,37;0,01;0,02
Bom Jardim de Goiás;2018;1,23571428571429;3,32;1,62;2,66;0,62;0,41;0,01;0,01
Bom Jesus de Goiás;2012;1,43142857142857;3,44;1,45;2,44;0,7;1,89;0,04;0,06
Bom Jesus de Goiás;2014;2,32428571428572;6,23;3,73;3,25;1,01;1,93;0,05;0,07
Bom Jesus de Goiás;2016;2,44571428571429;2,33;6;4,32;1,85;2,47;0,06;0,09
Bom Jesus de Goiás;2018;1,98857142857143;2,33;2,94;4,32;1,77;2,4;0,07;0,09
Bonfinópolis;2012;0,917142857142857;3,17;2,02;1,04;0,09;0,08;0,01;0,01
Bonfinópolis;2014;1,37;5,85;2,61;0,92;0,12;0,07;0,01;0,01
Bonfinópolis;2016;1,39428571428571;3,58;3,84;2,14;0,11;0,07;0,01;0,01
Bonfinópolis;2018;1,01428571428571;3,58;1,27;2,14;0,04;0,05;0,01;0,01
Bonópolis;2012;1,11714285714286;4,68;1,56;0,91;0,37;0,3;0;0
Bonópolis;2014;1,89571428571429;7,7;2,99;1,71;0,56;0,31;0;0
Bonópolis;2016;1,9;4,77;5,55;1,74;0,9;0,34;0;0
Bonópolis;2018;1,50714285714286;4,77;2,57;1,74;1,06;0,41;0;0
Brazabrantes;2012;1,78571428571429;7,39;1,45;3,17;0,38;0,09;0,02;0
Brazabrantes;2014;1,42142857142857;5,9;1,41;2,2;0,35;0,07;0,02;0
Brazabrantes;2016;1,81285714285714;4,11;6,25;1,07;1,14;0,08;0,04;0
Brazabrantes;2018;1,53285714285714;4,11;3,65;1,07;1,73;0,08;0,08;0,01
Britânia;2012;1,43857142857143;5,96;2,07;1,25;0,43;0,35;0;0,01
Britânia;2014;1,6;6,64;2,46;1,34;0,48;0,27;0;0,01
Britânia;2016;1,24857142857143;3,97;3,52;0,28;0,69;0,27;0;0,01
Britânia;2018;1,02571428571429;3,97;1,87;0,28;0,74;0,3;0,01;0,01
Buriti Alegre;2012;1,16285714285714;3,42;1,66;1,61;0,82;0,54;0,06;0,03
Buriti Alegre;2014;1,86;6,74;2,67;1,83;1,13;0,54;0,08;0,03
Buriti Alegre;2016;1,89142857142857;3,57;4,5;2,88;1,62;0,57;0,07;0,03
Buriti Alegre;2018;1,79428571428571;3,57;3,55;2,88;1,71;0,74;0,08;0,03
Buriti de Goiás;2012;1,10857142857143;4,34;2,12;0,96;0,27;0,07;0;0
Buriti de Goiás;2014;1,55;7,31;2,33;0,81;0,34;0,06;0;0
Buriti de Goiás;2016;1,43;3,72;4,11;1,64;0,48;0,06;0;0
Buriti de Goiás;2018;1,06142857142857;3,72;1,53;1,64;0,48;0,06;0;0
Buritinópolis;2012;1,00714285714286;4,42;1,97;0,59;0,04;0,03;0;0
Buritinópolis;2014;1,46571428571429;7,58;1,99;0,64;0,02;0,03;0;0
Buritinópolis;2016;1,23;3,4;3,26;1,91;0,01;0,03;0;0
Buritinópolis;2018;2,37857142857143;3,4;10;1,91;1,23;0,03;0,08;0
Cabeceiras;2012;1,10285714285714;2,63;2,02;0,91;0,95;1,17;0,03;0,01
Cabeceiras;2014;1,89142857142857;5,89;3,42;1,34;1,29;1,26;0,03;0,01
Cabeceiras;2016;1,97571428571429;4,53;4,24;2,07;1,84;1,09;0,04;0,02
Cabeceiras;2018;1,81142857142857;4,53;2,88;2,07;1,91;1,24;0,03;0,02
Cachoeira Alta;2012;1,44;4,41;0,88;3,86;0,39;0,51;0,01;0,02
Cachoeira Alta;2014;1,71571428571429;6,03;2,26;2,85;0,44;0,4;0,01;0,02
Cachoeira Alta;2016;2,05142857142857;3,93;6,73;1,75;1,28;0,57;0,07;0,03
Cachoeira Alta;2018;1,27142857142857;3,93;1,61;1,75;1,01;0,51;0,06;0,03
Cachoeira de Goiás;2012;1,84714285714286;4,94;2,28;5,2;0,45;0,06;0;0
Cachoeira de Goiás;2014;1,74428571428571;6,81;2,3;2,55;0,5;0,05;0;0
Cachoeira de Goiás;2016;1,32714285714286;3,95;2,79;1,82;0,67;0,06;0;0
Cachoeira de Goiás;2018;1,14285714285714;3,95;1,45;1,82;0,72;0,06;0;0
Cachoeira Dourada;2012;1,51428571428571;3,84;1,31;0,93;3,36;0,5;0,64;0,02
Cachoeira Dourada;2014;2,44857142857143;6,91;2,98;1,26;4,71;0,46;0,8;0,02
Cachoeira Dourada;2016;2,88571428571429;4,09;3,86;4,05;6,94;0,53;0,7;0,03
Cachoeira Dourada;2018;3,19714285714286;4,09;4,91;4,05;7,62;0,63;1,06;0,02
Caçu;2012;1,86285714285714;3,41;3,57;3,84;1,26;0,64;0,28;0,04
Caçu;2014;2,12142857142857;6,3;1,91;4,3;1,45;0,56;0,29;0,04
Caçu;2016;2,22428571428571;3,41;4,27;4,17;2,54;0,82;0,31;0,05
Caçu;2018;2,41285714285714;3,41;4,41;4,17;3,28;0,87;0,7;0,05
Caiapônia;2012;1,98428571428571;6,42;1,48;2,73;0,84;2,35;0,03;0,04
Caiapônia;2014;1,98428571428571;6,66;1,52;2,76;0,96;1,92;0,03;0,04
Caiapônia;2016;2,42857142857143;3,82;5,96;1,95;2,2;2,96;0,05;0,06
Caiapônia;2018;1,87;3,82;2,5;1,95;1,93;2,79;0,05;0,05
Caldas Novas;2012;1,86285714285714;3,24;1,82;5,33;0,83;0,84;0,62;0,36
Caldas Novas;2014;2,53142857142857;5,72;2,77;6,52;0,96;0,82;0,55;0,38
Caldas Novas;2016;2,29142857142857;3,32;3,97;5,21;1,4;1,28;0,47;0,39
Caldas Novas;2018;1,99;3,32;1,93;5,21;1,36;1,05;0,66;0,4
Caldazinha;2012;1,11;5,1;1,76;0,68;0,15;0,08;0;0
Caldazinha;2014;1,48285714285714;6,85;2,01;1,27;0,18;0,07;0;0
Caldazinha;2016;1,39714285714286;4,53;4,43;0,43;0,31;0,08;0;0
Caldazinha;2018;0,981428571428572;4,53;1,5;0,43;0,33;0,08;0;0
Campestre de Goiás;2012;1,13428571428571;4,39;1,81;1,33;0,28;0,12;0,01;0
Campestre de Goiás;2014;1,56285714285714;6,78;2,61;1,17;0,28;0,1;0;0
Campestre de Goiás;2016;1,32857142857143;4,18;4,22;0,31;0,48;0,1;0,01;0
Campestre de Goiás;2018;0,92;4,18;1,41;0,31;0,43;0,11;0;0
Campinaçu;2012;0,802857142857143;3,07;1,58;0,54;0,26;0,17;0;0
Campinaçu;2014;1,41857142857143;6,13;2,71;0,61;0,33;0,15;0;0
Campinaçu;2016;1,40857142857143;4,08;4,56;0,48;0,57;0,16;0;0,01
Campinaçu;2018;0,865714285714286;4,08;0,91;0,48;0,41;0,18;0;0
Campinorte;2012;1,39;5,22;2,03;1,69;0,41;0,33;0,02;0,03
Campinorte;2014;1,82428571428571;6,54;2,99;2,38;0,49;0,32;0,02;0,03
Campinorte;2016;1,67;3,94;4,18;2,33;0,82;0,36;0,02;0,04
Campinorte;2018;1,17714285714286;3,94;1,08;2,33;0,6;0,24;0,02;0,03
Campo Alegre de Goiás;2012;1,38714285714286;2,03;1,45;2,4;1,9;1,88;0,02;0,03
Campo Alegre de Goiás;2014;2,46142857142857;6,07;3,38;3,34;2,52;1,86;0,03;0,03
Campo Alegre de Goiás;2016;2,79;3,29;5,27;4,56;4,26;2,08;0,04;0,03
Campo Alegre de Goiás;2018;2,17285714285714;3,29;2,01;4,56;3,44;1,85;0,03;0,03
Campo Limpo de Goiás;2012;1,04571428571429;2,91;2,93;1,06;0,27;0,1;0,04;0,01
Campo Limpo de Goiás;2014;1,49714285714286;6,59;2,24;1,31;0,22;0,09;0,02;0,01
Campo Limpo de Goiás;2016;1,47714285714286;4,15;4,62;1,02;0,38;0,15;0,01;0,01
Campo Limpo de Goiás;2018;0,938571428571429;4,15;1,01;1,02;0,27;0,09;0,02;0,01
Campos Belos;2012;1,24857142857143;5,26;1,95;1,13;0,22;0,12;0,02;0,04
Campos Belos;2014;1,71142857142857;6,53;2,76;2,24;0,28;0,1;0,03;0,04
Campos Belos;2016;1,65428571428571;3,4;4,07;3,51;0,41;0,11;0,02;0,06
Campos Belos;2018;1,27714285714286;3,4;1,49;3,51;0,36;0,12;0,02;0,04
Campos Verdes;2012;0,83;3,48;1,42;0,7;0,12;0,09;0;0
Campos Verdes;2014;1,31285714285714;6,36;2,12;0,47;0,16;0,08;0;0
Campos Verdes;2016;1,29571428571429;3,46;4,12;1,1;0,3;0,08;0;0,01
Campos Verdes;2018;0,8;3,46;0,65;1,1;0,32;0,07;0;0
Carmo do Rio Verde;2012;1,02857142857143;3,59;1,44;0,96;0,74;0,37;0,08;0,02
Carmo do Rio Verde;2014;1,37285714285714;6,54;0,81;1,28;0,68;0,22;0,06;0,02
Carmo do Rio Verde;2016;1,44;3,63;2,4;2,72;0,95;0,31;0,05;0,02
Carmo do Rio Verde;2018;1,59714285714286;3,63;3,01;2,72;1,3;0,34;0,16;0,02
Castelândia;2012;0,948571428571429;3,58;1,19;0,87;0,69;0,3;0;0,01
Castelândia;2014;1,69428571428571;6,59;2,83;1,43;0,77;0,23;0;0,01
Castelândia;2016;1,61571428571429;3,79;4,02;1,89;1,3;0,29;0,01;0,01
Castelândia;2018;1,32142857142857;3,79;2,19;1,89;1,13;0,24;0;0,01
Catalão;2012;2,49714285714286;3,78;1,23;3,14;3,09;2,76;2,65;0,83
Catalão;2014;3,39;5,74;2,61;3,73;4,06;3,13;3,65;0,81
Catalão;2016;3,37428571428571;3,95;3,37;4,3;5,44;2,83;2,99;0,74
Catalão;2018;2,80714285714286;3,95;1,42;4,3;3,63;2,84;2,78;0,73
Caturaí;2012;1,12;4,51;1,47;1,51;0,2;0,14;0,01;0
Caturaí;2014;1,49428571428571;6,42;2,61;1,05;0,25;0,12;0;0,01
Caturaí;2016;1,35857142857143;4,14;4,17;0,68;0,39;0,12;0;0,01
Caturaí;2018;1,16285714285714;4,14;2,67;0,68;0,48;0,15;0,01;0,01
Cavalcante;2012;1,35;4,98;2,05;0,4;1,5;0,14;0,37;0,01
Cavalcante;2014;2,12714285714286;7,12;3,61;0,7;2,72;0,1;0,63;0,01
Cavalcante;2016;1,52285714285714;4,4;2,92;0,33;2,53;0,11;0,35;0,02
Cavalcante;2018;1,23;4,4;2,24;0,33;1,26;0,14;0,23;0,01
Ceres;2012;1,15142857142857;2,36;1,64;3,29;0,52;0,11;0,05;0,09
Ceres;2014;1,92285714285714;5,65;2,83;3,98;0,75;0,08;0,07;0,1
Ceres;2016;1,69;3,43;4,41;2,67;1,04;0,11;0,07;0,1
Ceres;2018;1,30285714285714;3,43;1,65;2,67;1,08;0,09;0,1;0,1
Cezarina;2012;2,30428571428571;3,64;3,43;5,01;3,3;0,16;0,57;0,02
Cezarina;2014;2,02857142857143;6,14;1,66;4,07;1,93;0,13;0,25;0,02
Cezarina;2016;1,76714285714286;3,32;1,58;4,14;2,95;0,14;0,21;0,03
Cezarina;2018;1,53714285714286;3,32;1,17;4,14;1,77;0,16;0,18;0,02
Chapadão do Céu;2012;3,03428571428571;4,2;2;3,5;5,66;5,63;0,16;0,09
Chapadão do Céu;2014;2,95142857142857;8,15;0;3,56;5,2;3,54;0,13;0,08
Chapadão do Céu;2016;3,81142857142857;4,84;3,86;3,04;10;4,68;0,18;0,08
Chapadão do Céu;2018;3,18571428571429;4,84;2,88;3,04;8,06;2,9;0,49;0,09
Cidade Ocidental;2012;1,78857142857143;5,04;2,32;4,8;0,07;0,12;0,09;0,08
Cidade Ocidental;2014;1,98857142857143;5,9;2,55;5,11;0,08;0,11;0,09;0,08
Cidade Ocidental;2016;1,96571428571429;4,92;4,74;3,55;0,18;0,11;0,12;0,14
Cidade Ocidental;2018;1,62571428571429;4,92;2,27;3,55;0,23;0,12;0,19;0,1
Cocalzinho de Goiás;2012;1,22142857142857;3,42;2,05;1,97;0,58;0,28;0,23;0,02
Cocalzinho de Goiás;2014;1,80285714285714;6,07;3,46;2,11;0,43;0,43;0,09;0,03
Cocalzinho de Goiás;2016;1,38714285714286;4,05;3,3;1,12;0,67;0,45;0,08;0,04
Cocalzinho de Goiás;2018;1,10428571428571;4,05;1,52;1,12;0,52;0,42;0,07;0,03
Colinas do Sul;2012;1,18142857142857;3,83;1,58;2,63;0,16;0,07;0;0
Colinas do Sul;2014;1,75142857142857;6,05;2,41;3,54;0,2;0,06;0;0
Colinas do Sul;2016;1,32857142857143;3,42;4,29;1,19;0,33;0,06;0;0,01
Colinas do Sul;2018;0,868571428571429;3,42;1,12;1,19;0,29;0,06;0;0
Córrego do Ouro;2012;1,08428571428571;3,94;1,84;1,15;0,46;0,2;0;0
Córrego do Ouro;2014;1,80142857142857;8,17;2,21;1,53;0,54;0,16;0;0
Córrego do Ouro;2016;1,55857142857143;3,76;3,96;2,18;0,85;0,16;0;0
Córrego do Ouro;2018;1,15571428571429;3,76;1,28;2,18;0,72;0,15;0;0
Corumbá de Goiás;2012;0,96;3,47;1,75;1,17;0,11;0,21;0;0,01
Corumbá de Goiás;2014;1,68142857142857;6,9;3,12;1,25;0,2;0,28;0,01;0,01
Corumbá de Goiás;2016;1,58857142857143;4,05;5,56;0,77;0,36;0,35;0,01;0,02
Corumbá de Goiás;2018;0,995714285714286;4,05;1,43;0,77;0,39;0,3;0,01;0,02
Corumbaíba;2012;1,14571428571429;3,29;1,2;1,02;1,65;0,68;0,13;0,05
Corumbaíba;2014;2,06428571428571;7,04;3,36;0,83;2,38;0,6;0,18;0,06
Corumbaíba;2016;2,43142857142857;4,14;6,22;1,76;3,97;0,66;0,21;0,06
Corumbaíba;2018;1,56714285714286;4,14;1,34;1,76;2,93;0,55;0,2;0,05
Cristalina;2012;2,54285714285714;5,27;1,73;2,45;1,12;6,87;0,17;0,19
Cristalina;2014;3,28142857142857;7,07;3,33;3,16;1,62;7,38;0,21;0,2
Cristalina;2016;3,3;4,18;5,33;3,36;2,59;7,13;0,27;0,24
Cristalina;2018;2,88571428571429;4,18;2,6;3,36;2,47;6,91;0,43;0,25
Cristianópolis;2012;1,14571428571429;4,45;1,7;1,18;0,56;0,11;0,01;0,01
Cristianópolis;2014;1,46571428571429;6,17;2,19;1,1;0,67;0,11;0,01;0,01
Cristianópolis;2016;1,32571428571429;3,11;4,33;0,42;1,27;0,13;0,01;0,01
Cristianópolis;2018;0,677142857142857;3,11;0;0,42;1,06;0,13;0,01;0,01
Crixás;2012;1,57857142857143;4,3;1,93;2,99;0,99;0,55;0,24;0,05
Crixás;2014;2,29428571428571;6,27;3,83;3,93;1,23;0,47;0,28;0,05
Crixás;2016;1,68142857142857;3,66;2,71;3,22;1,45;0,48;0,19;0,06
Crixás;2018;1,46285714285714;3,66;1,59;3,22;1,13;0,42;0,18;0,04
Cromínia;2012;1,22;5,35;2,11;0,49;0,4;0,18;0;0,01
Cromínia;2014;1,46857142857143;6,83;2,44;0,37;0,47;0,16;0;0,01
Cromínia;2016;1,26;4,02;3,63;0,27;0,7;0,19;0;0,01
Cromínia;2018;0,997142857142857;4,02;1,77;0,27;0,73;0,19;0;0
Cumari;2012;1,24571428571429;4,55;2,03;1,18;0,64;0,32;0;0
Cumari;2014;1,54428571428571;6,78;2,19;0,81;0,75;0,28;0;0
Cumari;2016;1,82571428571429;3,95;4,79;2,28;1,42;0,33;0,01;0
Cumari;2018;1,20142857142857;3,95;1,07;2,28;0,9;0,21;0;0
Damianópolis;2012;1,14714285714286;5,99;1,55;0,38;0,06;0,05;0;0
Damianópolis;2014;1,47142857142857;7,26;2,59;0,32;0,09;0,04;0;0
Damianópolis;2016;1,22428571428571;4,12;3,65;0,7;0,06;0,04;0;0
Damianópolis;2018;0,96;4,12;1,74;0,7;0,11;0,05;0;0
Damolândia;2012;1,58428571428571;6,44;1,81;2,51;0,27;0,05;0,01;0
Damolândia;2014;1,58285714285714;6,06;2,28;2,45;0,24;0,05;0;0
Damolândia;2016;1,64714285714286;4,44;4,74;1,81;0,48;0,05;0,01;0
Damolândia;2018;1,15;4,44;1,39;1,81;0,36;0,05;0;0
